number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.1746005117893219,2026-02-23 02:33:39.363901,2026-02-23 02:33:40.159488,0 days 00:00:00.795587,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.1370338797569275, 'RMSE_15m': 0.20779892009448994, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.2121671438217163, 'RMSE_30m': 0.2222151150825243, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.1746005117893219, 'RMSE_avg': 0.21500701758850713, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.4813416004180908,,COMPLETE
1,0.14360108226537704,2026-02-23 02:33:40.160027,2026-02-23 02:33:40.901510,0 days 00:00:00.741483,0.2,64,3,0.0002692655251486473,"{'MAE_15m': 0.18059639632701874, 'RMSE_15m': 0.20182153742329195, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.10660576820373535, 'RMSE_30m': 0.1537797022735626, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.14360108226537704, 'RMSE_avg': 0.17780061984842727, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.3024434745311737,,COMPLETE
2,0.7696666121482849,2026-02-23 02:33:40.902042,2026-02-23 02:33:41.544901,0 days 00:00:00.642859,0.3,32,7,0.000117115099555241,,0.7696666121482849,,PRUNED
3,0.3965908885002136,2026-02-23 02:33:41.545411,2026-02-23 02:33:42.179886,0 days 00:00:00.634475,0.3,32,5,0.00044684675025045853,,0.3965908885002136,,PRUNED
4,0.15766321122646332,2026-02-23 02:33:42.180478,2026-02-23 02:33:42.859626,0 days 00:00:00.679148,0.3,64,3,0.00018752209455786411,"{'MAE_15m': 0.12872642278671265, 'RMSE_15m': 0.14976360847018988, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.186599999666214, 'RMSE_30m': 0.20178825429416097, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.15766321122646332, 'RMSE_avg': 0.17577593138217543, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.25525611639022827,,COMPLETE
5,0.1497172862291336,2026-02-23 02:33:42.860194,2026-02-23 02:33:43.587651,0 days 00:00:00.727457,0.2,32,7,0.0003023795012558478,"{'MAE_15m': 0.1622745394706726, 'RMSE_15m': 0.19545339270928752, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.1371600329875946, 'RMSE_30m': 0.20916398966324942, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.1497172862291336, 'RMSE_avg': 0.20230869118626849, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.16027624905109406,,COMPLETE
6,0.002180145471356809,2026-02-23 02:33:43.588210,2026-02-23 02:33:44.725371,0 days 00:00:01.137161,0.2,96,7,0.002869139536545374,"{'MAE_15m': 0.001062929630279541, 'RMSE_15m': 0.0013802217723698049, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0032973613124340773, 'RMSE_30m': 0.004001569474899313, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.002180145471356809, 'RMSE_avg': 0.0026908956236345594, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.23585514724254608,0.004122118465602398,COMPLETE
7,0.788159191608429,2026-02-23 02:33:44.725906,2026-02-23 02:33:45.273064,0 days 00:00:00.547158,0.0,32,3,0.0001483039268456802,,0.788159191608429,,PRUNED
8,0.22359517216682434,2026-02-23 02:33:45.273571,2026-02-23 02:33:45.975748,0 days 00:00:00.702177,0.3,32,7,0.0004983319160125723,"{'MAE_15m': 0.16504934430122375, 'RMSE_15m': 0.24373652775531088, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.2821410000324249, 'RMSE_30m': 0.34840916958919255, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.22359517216682434, 'RMSE_avg': 0.2960728486722517, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.24141860008239746,,COMPLETE
9,0.09517911076545715,2026-02-23 02:33:45.976295,2026-02-23 02:33:46.711827,0 days 00:00:00.735532,0.0,96,5,0.00014433402406338895,"{'MAE_15m': 0.10231269896030426, 'RMSE_15m': 0.13005138872786332, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.08804552257061005, 'RMSE_30m': 0.09998045316779136, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.09517911076545715, 'RMSE_avg': 0.11501592094782734, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.09989315271377563,,COMPLETE
