number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.04662457853555679,2026-02-23 02:33:07.278010,2026-02-23 02:33:10.043426,0 days 00:00:02.765416,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.04362214356660843, 'RMSE_15m': 0.06936343077793708, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.04962701350450516, 'RMSE_30m': 0.06392560730982448, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.04662457853555679, 'RMSE_avg': 0.06664451904388077, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06935849040746689,,COMPLETE
1,0.11975506693124771,2026-02-23 02:33:10.043972,2026-02-23 02:33:12.381633,0 days 00:00:02.337661,0.2,64,0.0002692655251486473,32,,0.11975506693124771,,PRUNED
2,0.008453882299363613,2026-02-23 02:33:12.382158,2026-02-23 02:33:15.540659,0 days 00:00:03.158501,0.3,32,0.000117115099555241,96,"{'MAE_15m': 0.005854577757418156, 'RMSE_15m': 0.0070858332862953, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.01105318684130907, 'RMSE_30m': 0.013603987059191353, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.008453882299363613, 'RMSE_avg': 0.010344910172743325, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.028132636100053787,0.012688624672591686,COMPLETE
3,0.09334763139486313,2026-02-23 02:33:15.541205,2026-02-23 02:33:19.575899,0 days 00:00:04.034694,0.3,32,0.00044684675025045853,64,,0.09334763139486313,,PRUNED
4,0.07213328778743744,2026-02-23 02:33:19.576432,2026-02-23 02:33:22.345202,0 days 00:00:02.768770,0.3,64,0.00018752209455786411,32,,0.07213328778743744,,PRUNED
5,0.024495787918567657,2026-02-23 02:33:22.345718,2026-02-23 02:33:25.296647,0 days 00:00:02.950929,0.2,32,0.0003023795012558478,96,"{'MAE_15m': 0.02551506832242012, 'RMSE_15m': 0.041667403025875634, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.023476507514715195, 'RMSE_30m': 0.04205736657530626, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.024495787918567657, 'RMSE_avg': 0.04186238480059094, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.034531667828559875,,COMPLETE
6,0.03896598145365715,2026-02-23 02:33:25.297218,2026-02-23 02:33:27.686618,0 days 00:00:02.389400,0.2,96,0.002869139536545374,96,,0.03896598145365715,,PRUNED
7,0.2752338945865631,2026-02-23 02:33:27.687120,2026-02-23 02:33:29.951951,0 days 00:00:02.264831,0.0,32,0.0001483039268456802,32,,0.2752338945865631,,PRUNED
8,0.018678014166653156,2026-02-23 02:33:29.952472,2026-02-23 02:33:32.658975,0 days 00:00:02.706503,0.3,32,0.0004983319160125723,96,"{'MAE_15m': 0.01650756224989891, 'RMSE_15m': 0.026074765946150654, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.020848466083407402, 'RMSE_30m': 0.0239883936783256, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.018678014166653156, 'RMSE_avg': 0.02503157981223813, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.01867801323533058,,COMPLETE
9,0.05585412308573723,2026-02-23 02:33:32.659572,2026-02-23 02:33:36.364380,0 days 00:00:03.704808,0.0,96,0.00014433402406338895,64,,0.05585412308573723,,PRUNED
