number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.00842845905572176,2026-02-23 02:32:37.090278,2026-02-23 02:32:40.070651,0 days 00:00:02.980373,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.0039948709309101105, 'RMSE_15m': 0.005387956728888747, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.012862047180533409, 'RMSE_30m': 0.015625940607488602, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.00842845905572176, 'RMSE_avg': 0.010506948668188675, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.020504649728536606,0.013822942972183228,COMPLETE
1,0.05462544411420822,2026-02-23 02:32:40.071225,2026-02-23 02:32:44.550099,0 days 00:00:04.478874,0.0,0.00018659959624904942,2,64,,0.05462544411420822,,PRUNED
2,0.18796005845069885,2026-02-23 02:32:44.550631,2026-02-23 02:32:46.112958,0 days 00:00:01.562327,0.0,0.0003476649150592621,1,64,,0.18796005845069885,,PRUNED
3,0.09524800628423691,2026-02-23 02:32:46.113474,2026-02-23 02:32:48.660251,0 days 00:00:02.546777,0.3,0.0001786013788939711,2,64,,0.09524800628423691,,PRUNED
4,0.07622154802083969,2026-02-23 02:32:48.660755,2026-02-23 02:32:51.100329,0 days 00:00:02.439574,0.3,0.00044684675025045853,2,96,,0.07622154802083969,,PRUNED
5,0.03136785887181759,2026-02-23 02:32:51.100905,2026-02-23 02:32:53.984530,0 days 00:00:02.883625,0.2,0.000586412916969653,2,64,"{'MAE_15m': 0.030807211995124817, 'RMSE_15m': 0.03643609685797134, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.03192850574851036, 'RMSE_30m': 0.040050286952705516, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03136785887181759, 'RMSE_avg': 0.038243191905338425, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.046612657606601715,,COMPLETE
6,0.017616601660847664,2026-02-23 02:32:53.985077,2026-02-23 02:32:56.476699,0 days 00:00:02.491622,0.0,0.002299958642814372,2,96,,0.031152084469795227,0.017616601660847664,PRUNED
7,0.05691392347216606,2026-02-23 02:32:56.477199,2026-02-23 02:32:57.837779,0 days 00:00:01.360580,0.3,0.0003364867144187955,1,64,,0.05691392347216606,,PRUNED
8,0.08764204382896423,2026-02-23 02:32:57.838291,2026-02-23 02:33:02.009317,0 days 00:00:04.171026,0.2,0.00019657448966046135,2,64,,0.08764204382896423,,PRUNED
9,0.06430269777774811,2026-02-23 02:33:02.009826,2026-02-23 02:33:04.698878,0 days 00:00:02.689052,0.0,0.0001483039268456802,2,64,,0.06430269777774811,,PRUNED
