number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.08068447932600975,2026-02-23 02:33:47.385561,2026-02-23 02:33:49.639140,0 days 00:00:02.253579,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.06114736199378967, 'RMSE_15m': 0.08320371567153807, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.10022159665822983, 'RMSE_30m': 0.1597375863801081, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.08068447932600975, 'RMSE_avg': 0.12147065102582308, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.11310464143753052,0.08735432475805283,COMPLETE
1,0.1559372991323471,2026-02-23 02:33:49.639692,2026-02-23 02:33:51.147738,0 days 00:00:01.508046,0.3,96,7,0.000117115099555241,gru,96,,0.1559372991323471,,PRUNED
2,0.06740298122167587,2026-02-23 02:33:51.148277,2026-02-23 02:33:53.011618,0 days 00:00:01.863341,0.3,32,5,0.00024112898115291975,lstm,96,"{'MAE_15m': 0.042038775980472565, 'RMSE_15m': 0.06339898504066593, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.09276718646287918, 'RMSE_30m': 0.13033278398883802, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.06740298122167587, 'RMSE_avg': 0.09686588451475198, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06740298122167587,,COMPLETE
3,0.22833561897277832,2026-02-23 02:33:53.012301,2026-02-23 02:33:54.459606,0 days 00:00:01.447305,0.2,32,7,0.0003023795012558478,gru,64,,0.22833561897277832,,PRUNED
4,0.07149834930896759,2026-02-23 02:33:54.460184,2026-02-23 02:33:55.959134,0 days 00:00:01.498950,0.3,96,7,0.0011069143219393448,lstm,64,,0.07149834930896759,,PRUNED
5,0.2024185210466385,2026-02-23 02:33:55.959673,2026-02-23 02:33:58.798248,0 days 00:00:02.838575,0.3,64,7,0.0004983319160125723,gru,32,,0.2024185210466385,,PRUNED
6,0.10257209837436676,2026-02-23 02:33:58.798802,2026-02-23 02:34:00.407695,0 days 00:00:01.608893,0.0,96,5,0.0021907142272152816,lstm,32,,0.10257209837436676,,PRUNED
7,0.109544537961483,2026-02-23 02:34:00.408253,2026-02-23 02:34:01.953596,0 days 00:00:01.545343,0.3,96,7,0.0006261435181296009,gru,64,,0.109544537961483,,PRUNED
8,0.007174260215833783,2026-02-23 02:34:01.954103,2026-02-23 02:34:04.241941,0 days 00:00:02.287838,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 0.006705862935632467, 'RMSE_15m': 0.010558783659275, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.007642657496035099, 'RMSE_30m': 0.011460215971432755, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.007174260215833783, 'RMSE_avg': 0.011009499815353877, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.03734562546014786,0.011579637415707111,COMPLETE
9,0.09560925513505936,2026-02-23 02:34:04.242480,2026-02-23 02:34:05.733343,0 days 00:00:01.490863,0.0,96,5,0.00025798509464504095,lstm,64,,0.09560925513505936,,PRUNED
