number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,69975.83984375,2026-02-24 05:16:36.695328,2026-02-24 05:16:40.436177,0 days 00:00:03.740849,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 68085.8828125, 'RMSE_15m': 69020.83256524801, 'sMAPE_15m': 199.84509861042702, 'R2_15m': -36.232182286580276, 'MAE_30m': 71865.796875, 'RMSE_30m': 71881.46687429243, 'sMAPE_30m': 199.92258363816796, 'R2_30m': -2292.695771885894, 'MAE_avg': 69975.83984375, 'RMSE_avg': 70451.14971977021, 'sMAPE_avg': 199.88384112429748, 'R2_avg': -1164.463977086237}",69991.921875,69987.9375,COMPLETE
1,69993.46875,2026-02-24 05:16:40.438788,2026-02-24 05:16:42.276816,0 days 00:00:01.838028,0.2,64,3,0.0002692655251486473,,69993.46875,,PRUNED
2,69993.8359375,2026-02-24 05:16:42.278937,2026-02-24 05:16:44.098164,0 days 00:00:01.819227,0.3,32,7,0.000117115099555241,,69993.8359375,,PRUNED
3,69993.5703125,2026-02-24 05:16:44.102016,2026-02-24 05:16:45.879832,0 days 00:00:01.777816,0.3,32,5,0.00044684675025045853,,69993.5703125,,PRUNED
4,69993.6640625,2026-02-24 05:16:45.882258,2026-02-24 05:16:47.560072,0 days 00:00:01.677814,0.3,64,3,0.00018752209455786411,,69993.6640625,,PRUNED
5,69992.890625,2026-02-24 05:16:47.562662,2026-02-24 05:16:49.788457,0 days 00:00:02.225795,0.2,32,7,0.0003023795012558478,,69993.3671875,69992.890625,PRUNED
6,69073.0625,2026-02-24 05:16:49.790816,2026-02-24 05:16:53.895899,0 days 00:00:04.105083,0.2,96,7,0.002869139536545374,"{'MAE_15m': 67172.2421875, 'RMSE_15m': 68212.73828252316, 'sMAPE_15m': 193.41032339656257, 'R2_15m': -35.36545394793352, 'MAE_30m': 70973.8828125, 'RMSE_30m': 70992.27946755901, 'sMAPE_30m': 195.04187770326368, 'R2_30m': -2236.299836048064, 'MAE_avg': 69073.0625, 'RMSE_avg': 69602.5088750411, 'sMAPE_avg': 194.22610054991313, 'R2_avg': -1135.8326449979988}",69975.9453125,69839.25,COMPLETE
7,69994.0546875,2026-02-24 05:16:53.898239,2026-02-24 05:16:54.614036,0 days 00:00:00.715797,0.0,32,3,0.0001483039268456802,,69994.0546875,,PRUNED
8,69992.1796875,2026-02-24 05:16:54.614777,2026-02-24 05:16:55.612557,0 days 00:00:00.997780,0.3,32,7,0.0004983319160125723,,69993.078125,69992.1796875,PRUNED
9,69992.1015625,2026-02-24 05:16:55.613485,2026-02-24 05:16:56.337530,0 days 00:00:00.724045,0.0,96,5,0.00014433402406338895,,69992.9765625,69992.1015625,PRUNED
