number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,69989.38671875,2026-02-24 05:15:50.839181,2026-02-24 05:15:53.878456,0 days 00:00:03.039275,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 68102.09375, 'RMSE_15m': 69035.05891936357, 'sMAPE_15m': 199.96622070336812, 'R2_15m': -36.24752854144901, 'MAE_30m': 71876.6796875, 'RMSE_30m': 71892.34618511208, 'sMAPE_30m': 199.98310954350814, 'R2_30m': -2293.3897987205887, 'MAE_avg': 69989.38671875, 'RMSE_avg': 70463.70255223782, 'sMAPE_avg': 199.97466512343811, 'R2_avg': -1164.8186636310188}",69993.046875,69991.671875,COMPLETE
1,69993.8046875,2026-02-24 05:15:53.879319,2026-02-24 05:15:56.082944,0 days 00:00:02.203625,0.2,64,0.0002692655251486473,32,,69993.8046875,,PRUNED
2,69993.46875,2026-02-24 05:15:56.083571,2026-02-24 05:15:58.753635,0 days 00:00:02.670064,0.3,32,0.000117115099555241,96,,69993.46875,,PRUNED
3,69993.4609375,2026-02-24 05:15:58.754295,2026-02-24 05:16:00.939019,0 days 00:00:02.184724,0.3,32,0.00044684675025045853,64,,69993.4609375,,PRUNED
4,69993.5859375,2026-02-24 05:16:00.939717,2026-02-24 05:16:03.168479,0 days 00:00:02.228762,0.3,64,0.00018752209455786411,32,,69993.5859375,,PRUNED
5,69993.046875,2026-02-24 05:16:03.169149,2026-02-24 05:16:06.026169,0 days 00:00:02.857020,0.2,32,0.0003023795012558478,96,,69993.4453125,69993.046875,PRUNED
6,69977.92578125,2026-02-24 05:16:06.026850,2026-02-24 05:16:09.193611,0 days 00:00:03.166761,0.2,96,0.002869139536545374,96,"{'MAE_15m': 68091.3828125, 'RMSE_15m': 69024.53778186422, 'sMAPE_15m': 199.8993279884531, 'R2_15m': -36.2361795147231, 'MAE_30m': 71864.46875, 'RMSE_30m': 71880.14557581252, 'sMAPE_30m': 199.9151726836027, 'R2_30m': -2292.611015028711, 'MAE_avg': 69977.92578125, 'RMSE_avg': 70452.34167883836, 'sMAPE_avg': 199.90725033602791, 'R2_avg': -1164.423597271717}",69989.46875,69982.96875,COMPLETE
7,69993.6171875,2026-02-24 05:16:09.194383,2026-02-24 05:16:11.628529,0 days 00:00:02.434146,0.0,32,0.0001483039268456802,32,,69993.6171875,,PRUNED
8,69992.71875,2026-02-24 05:16:11.629240,2026-02-24 05:16:20.717816,0 days 00:00:09.088576,0.3,32,0.0004983319160125723,96,,69993.3359375,69992.71875,PRUNED
9,69993.6484375,2026-02-24 05:16:20.720947,2026-02-24 05:16:28.962794,0 days 00:00:08.241847,0.0,96,0.00014433402406338895,64,,69993.6484375,,PRUNED
