number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,69984.01171875,2026-02-24 05:15:24.123199,2026-02-24 05:15:27.941713,0 days 00:00:03.818514,0.0,0.00190303683817358,2,64,"{'MAE_15m': 68097.671875, 'RMSE_15m': 69030.74236888954, 'sMAPE_15m': 199.93823949474296, 'R2_15m': -36.24286942088998, 'MAE_30m': 71870.3515625, 'RMSE_30m': 71886.02534568176, 'sMAPE_30m': 199.9479207077725, 'R2_30m': -2292.986408149457, 'MAE_avg': 69984.01171875, 'RMSE_avg': 70458.38385728565, 'sMAPE_avg': 199.94308010125775, 'R2_avg': -1164.6146387851736}",69992.0546875,69987.625,COMPLETE
1,69993.5546875,2026-02-24 05:15:27.942629,2026-02-24 05:15:30.162326,0 days 00:00:02.219697,0.0,0.00018659959624904942,2,64,,69993.5546875,,PRUNED
2,69993.7109375,2026-02-24 05:15:30.162914,2026-02-24 05:15:31.461537,0 days 00:00:01.298623,0.0,0.0003476649150592621,1,64,,69993.7109375,,PRUNED
3,69993.84375,2026-02-24 05:15:31.462175,2026-02-24 05:15:34.136155,0 days 00:00:02.673980,0.3,0.0001786013788939711,2,64,,69993.84375,,PRUNED
4,69993.3984375,2026-02-24 05:15:34.136820,2026-02-24 05:15:36.370506,0 days 00:00:02.233686,0.3,0.00044684675025045853,2,96,,69993.3984375,,PRUNED
5,69991.9453125,2026-02-24 05:15:36.371134,2026-02-24 05:15:38.806008,0 days 00:00:02.434874,0.2,0.000586412916969653,2,64,,69993.1796875,69991.9453125,PRUNED
6,69979.5546875,2026-02-24 05:15:38.806708,2026-02-24 05:15:42.410363,0 days 00:00:03.603655,0.0,0.002299958642814372,2,96,"{'MAE_15m': 68092.1015625, 'RMSE_15m': 69025.25358156969, 'sMAPE_15m': 199.90381272267285, 'R2_15m': -36.2369480847711, 'MAE_30m': 71867.0078125, 'RMSE_30m': 71882.68130780877, 'sMAPE_30m': 199.92928399534827, 'R2_30m': -2292.772842358174, 'MAE_avg': 69979.5546875, 'RMSE_avg': 70453.96744468923, 'sMAPE_avg': 199.91654835901056, 'R2_avg': -1164.5048952214725}",69989.8984375,69983.2421875,COMPLETE
7,69993.5,2026-02-24 05:15:42.411129,2026-02-24 05:15:43.714301,0 days 00:00:01.303172,0.3,0.0003364867144187955,1,64,,69993.5,,PRUNED
8,69993.8671875,2026-02-24 05:15:43.714959,2026-02-24 05:15:45.930043,0 days 00:00:02.215084,0.2,0.00019657448966046135,2,64,,69993.8671875,,PRUNED
9,69993.5859375,2026-02-24 05:15:45.930698,2026-02-24 05:15:48.548021,0 days 00:00:02.617323,0.0,0.0001483039268456802,2,64,,69993.5859375,,PRUNED
