number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,69992.41796875,2026-02-24 05:16:56.899866,2026-02-24 05:16:58.994052,0 days 00:00:02.094186,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 68106.453125, 'RMSE_15m': 69039.41598825992, 'sMAPE_15m': 199.9926297760955, 'R2_15m': -36.25222772296013, 'MAE_30m': 71878.3828125, 'RMSE_30m': 71894.04826548579, 'sMAPE_30m': 199.9926055582892, 'R2_30m': -2293.4985445371058, 'MAE_avg': 69992.41796875, 'RMSE_avg': 70466.73212687286, 'sMAPE_avg': 199.99261766719235, 'R2_avg': -1164.875386130033}",69993.4609375,69993.1171875,COMPLETE
1,69991.13671875,2026-02-24 05:16:58.994959,2026-02-24 05:17:01.092935,0 days 00:00:02.097976,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 68105.0234375, 'RMSE_15m': 69038.01804802916, 'sMAPE_15m': 199.98353168496314, 'R2_15m': -36.250722504303816, 'MAE_30m': 71877.25, 'RMSE_30m': 71892.92660616899, 'sMAPE_30m': 199.9863639202781, 'R2_30m': -2293.426949580953, 'MAE_avg': 69991.13671875, 'RMSE_avg': 70465.47232709907, 'sMAPE_avg': 199.98494780262064, 'R2_avg': -1164.8388360426284}",69993.1328125,69992.46875,COMPLETE
2,69993.46875,2026-02-24 05:17:01.093818,2026-02-24 05:17:02.534848,0 days 00:00:01.441030,0.3,32,5,0.00024112898115291975,lstm,96,,69993.46875,,PRUNED
3,69990.90625,2026-02-24 05:17:02.535970,2026-02-24 05:17:05.147645,0 days 00:00:02.611675,0.2,32,7,0.0003023795012558478,gru,64,"{'MAE_15m': 68105.3046875, 'RMSE_15m': 69038.25907422637, 'sMAPE_15m': 199.9855448419543, 'R2_15m': -36.25098246850713, 'MAE_30m': 71876.5078125, 'RMSE_30m': 71892.1823844568, 'sMAPE_30m': 199.98218357880359, 'R2_30m': -2293.3794055711096, 'MAE_avg': 69990.90625, 'RMSE_avg': 70465.22072934158, 'sMAPE_avg': 199.98386421037895, 'R2_avg': -1164.8151940198084}",69993.1328125,69992.3984375,COMPLETE
4,69986.07421875,2026-02-24 05:17:05.148539,2026-02-24 05:17:07.333475,0 days 00:00:02.184936,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 68101.7421875, 'RMSE_15m': 69034.75113303444, 'sMAPE_15m': 199.9634048818278, 'R2_15m': -36.24719973243131, 'MAE_30m': 71870.40625, 'RMSE_30m': 71886.071641174, 'sMAPE_30m': 199.94818832753737, 'R2_30m': -2292.989362861933, 'MAE_avg': 69986.07421875, 'RMSE_avg': 70460.41138710422, 'sMAPE_avg': 199.95579660468258, 'R2_avg': -1164.6182812971822}",69991.1796875,69988.125,COMPLETE
5,69991.03125,2026-02-24 05:17:07.334368,2026-02-24 05:17:08.964289,0 days 00:00:01.629921,0.3,64,7,0.0004983319160125723,gru,32,,69992.734375,69991.03125,PRUNED
6,69988.41796875,2026-02-24 05:17:08.964966,2026-02-24 05:17:11.039654,0 days 00:00:02.074688,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 68104.453125, 'RMSE_15m': 69037.42845732305, 'sMAPE_15m': 199.98019283740257, 'R2_15m': -36.25008775875298, 'MAE_30m': 71872.3828125, 'RMSE_30m': 71888.05875804409, 'sMAPE_30m': 199.95924063186544, 'R2_30m': -2293.116208875157, 'MAE_avg': 69988.41796875, 'RMSE_avg': 70462.74360768357, 'sMAPE_avg': 199.969716734634, 'R2_avg': -1164.683148316955}",69991.28125,69989.6796875,COMPLETE
7,69986.33203125,2026-02-24 05:17:11.040523,2026-02-24 05:17:13.170282,0 days 00:00:02.129759,0.3,96,7,0.0006261435181296009,gru,64,"{'MAE_15m': 68099.1953125, 'RMSE_15m': 69032.24800048163, 'sMAPE_15m': 199.94773040135422, 'R2_15m': -36.24449877847844, 'MAE_30m': 71873.46875, 'RMSE_30m': 71889.13776086064, 'sMAPE_30m': 199.96524545689053, 'R2_30m': -2293.185055742084, 'MAE_avg': 69986.33203125, 'RMSE_avg': 70460.69288067114, 'sMAPE_avg': 199.95648792912237, 'R2_avg': -1164.7147772602812}",69991.1796875,69987.8203125,COMPLETE
8,69982.6640625,2026-02-24 05:17:13.171293,2026-02-24 05:17:15.301639,0 days 00:00:02.130346,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 68098.1328125, 'RMSE_15m': 69031.19851197717, 'sMAPE_15m': 199.9411303822491, 'R2_15m': -36.243366158507094, 'MAE_30m': 71867.1953125, 'RMSE_30m': 71882.87005956288, 'sMAPE_30m': 199.93036244331358, 'R2_30m': -2292.7850537922536, 'MAE_avg': 69982.6640625, 'RMSE_avg': 70457.03428577003, 'sMAPE_avg': 199.93574641278133, 'R2_avg': -1164.5142099753803}",69989.46875,69985.171875,COMPLETE
9,69993.0234375,2026-02-24 05:17:15.302448,2026-02-24 05:17:17.289041,0 days 00:00:01.986593,0.0,96,5,0.00025798509464504095,lstm,64,,69993.0234375,,PRUNED
