number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,22323.44921875,2026-02-24 05:15:13.699151,2026-02-24 05:15:15.930433,0 days 00:00:02.231282,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,21831.3828125,2026-02-24 05:15:15.931550,2026-02-24 05:15:16.652070,0 days 00:00:00.720520,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,22920.736328125,2026-02-24 05:15:16.653104,2026-02-24 05:15:16.970115,0 days 00:00:00.317011,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,23020.544921875,2026-02-24 05:15:16.971219,2026-02-24 05:15:17.585357,0 days 00:00:00.614138,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,21666.7421875,2026-02-24 05:15:17.586278,2026-02-24 05:15:17.843364,0 days 00:00:00.257086,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,15659.970703125,2026-02-24 05:15:17.844489,2026-02-24 05:15:17.983020,0 days 00:00:00.138531,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,27918.796875,2026-02-24 05:15:17.983904,2026-02-24 05:15:18.436903,0 days 00:00:00.452999,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,17612.40625,2026-02-24 05:15:18.437832,2026-02-24 05:15:18.546693,0 days 00:00:00.108861,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,16978.33984375,2026-02-24 05:15:18.547579,2026-02-24 05:15:18.867664,0 days 00:00:00.320085,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,21790.298828125,2026-02-24 05:15:18.868565,2026-02-24 05:15:19.089461,0 days 00:00:00.220896,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,19149.421875,2026-02-24 05:15:19.090369,2026-02-24 05:15:19.619044,0 days 00:00:00.528675,0.7090747508804338,3.382861898713898,0.03018055303192452,2,7,1200,14.73099293843444,0.6071847502459278,COMPLETE
11,19048.6171875,2026-02-24 05:15:19.620021,2026-02-24 05:15:19.893771,0 days 00:00:00.273750,0.6133578302780329,3.097669715667996,0.020045481592404667,5,10,400,0.2078823038691585,0.9783238879894853,COMPLETE
12,18537.736328125,2026-02-24 05:15:19.894692,2026-02-24 05:15:20.154426,0 days 00:00:00.259734,0.6290740943872529,2.904643828725666,0.016819986311524177,4,7,400,3.7113588620860813,0.8706300810728903,COMPLETE
13,17847.45703125,2026-02-24 05:15:20.155365,2026-02-24 05:15:20.420294,0 days 00:00:00.264929,0.6750130525733469,0.02616525959119642,0.010184406058335841,4,8,400,0.5407294557887378,0.9477848690993754,COMPLETE
14,20865.8046875,2026-02-24 05:15:20.421238,2026-02-24 05:15:21.268936,0 days 00:00:00.847698,0.7935877653929082,3.723214274184139,0.02548161896815344,6,5,1000,18.31002831595672,0.9990851371537368,COMPLETE
15,20015.015625,2026-02-24 05:15:21.269970,2026-02-24 05:15:21.424427,0 days 00:00:00.154457,0.6659938493420553,1.4395464973253203,0.053335174222032634,4,5,200,0.04385760307435189,0.7539871612489546,COMPLETE
16,17129.09765625,2026-02-24 05:15:21.425350,2026-02-24 05:15:21.837159,0 days 00:00:00.411809,0.6031679116388441,2.174624999914118,0.015138095203538253,6,10,600,0.3203692809673312,0.8513232765331883,COMPLETE
17,24333.0625,2026-02-24 05:15:21.838066,2026-02-24 05:15:22.127018,0 days 00:00:00.288952,0.7508012840516692,3.8905228640684335,0.05393194710902654,5,7,400,0.011053631494365628,0.9438599500782205,COMPLETE
18,15396.73828125,2026-02-24 05:15:22.127948,2026-02-24 05:15:22.284312,0 days 00:00:00.156364,0.6904315777905318,1.3436988735712654,0.024926641644118838,5,9,200,5.920817949071035,0.8029967056557425,COMPLETE
19,18512.583984375,2026-02-24 05:15:22.285218,2026-02-24 05:15:22.430320,0 days 00:00:00.145102,0.7905130174925094,2.5566468802319635,0.026374754052590627,3,6,200,0.08899696169798417,0.654059220976816,COMPLETE
20,22498.390625,2026-02-24 05:15:22.431296,2026-02-24 05:15:23.297188,0 days 00:00:00.865892,0.7204121973301069,2.7105083417702946,0.03615581608890232,7,8,1200,10.03083299576222,0.8051097099098735,COMPLETE
21,14519.4267578125,2026-02-24 05:15:23.298225,2026-02-24 05:15:23.454008,0 days 00:00:00.155783,0.6453813517066093,1.335950545463925,0.014358676313115559,5,9,200,4.429078319090975,0.7683902703563124,COMPLETE
22,14856.39453125,2026-02-24 05:15:23.454928,2026-02-24 05:15:23.598107,0 days 00:00:00.143179,0.6845496444681679,1.392864636147111,0.014063551772635552,4,9,200,7.684237639021745,0.7637231769873165,COMPLETE
23,14505.7939453125,2026-02-24 05:15:23.599009,2026-02-24 05:15:23.828927,0 days 00:00:00.229918,0.6585875079747527,1.497480784623367,0.019986211914797738,4,9,200,5.589668725103211,0.7592992318637883,COMPLETE
24,15066.0400390625,2026-02-24 05:15:23.829816,2026-02-24 05:15:23.992287,0 days 00:00:00.162471,0.6460871555271875,0.23513624470203287,0.02088038251010567,4,9,200,2.0845475390989425,0.7471233692422546,COMPLETE
