number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,6981.032470703125,2026-02-24 05:18:19.724034,2026-02-24 05:18:20.739482,0 days 00:00:01.015448,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 6858.48095703125, 'RMSE_15m': 7114.670477260349, 'sMAPE_15m': 197.34486145558577, 'R2_15m': -13.101335445458414, 'MAE_30m': 7103.583984375, 'RMSE_30m': 7309.984952104895, 'sMAPE_30m': 198.50133221503617, 'R2_30m': -16.886589086566815, 'MAE_avg': 6981.032470703125, 'RMSE_avg': 7212.327714682622, 'sMAPE_avg': 197.92309683531096, 'R2_avg': -14.993962266012614}",7013.47998046875,7006.6435546875,COMPLETE
1,7014.087890625,2026-02-24 05:18:20.740222,2026-02-24 05:18:21.287291,0 days 00:00:00.547069,0.2,64,3,0.0002692655251486473,,7014.087890625,,PRUNED
2,7015.404296875,2026-02-24 05:18:21.287880,2026-02-24 05:18:21.845578,0 days 00:00:00.557698,0.3,32,7,0.000117115099555241,,7015.404296875,,PRUNED
3,7015.005859375,2026-02-24 05:18:21.846135,2026-02-24 05:18:22.392149,0 days 00:00:00.546014,0.3,32,5,0.00044684675025045853,,7015.005859375,,PRUNED
4,7014.62353515625,2026-02-24 05:18:22.392721,2026-02-24 05:18:22.931860,0 days 00:00:00.539139,0.3,64,3,0.00018752209455786411,,7014.62353515625,,PRUNED
5,7016.00634765625,2026-02-24 05:18:22.932451,2026-02-24 05:18:23.466194,0 days 00:00:00.533743,0.2,32,7,0.0003023795012558478,,7016.00634765625,,PRUNED
6,4504.73681640625,2026-02-24 05:18:23.466767,2026-02-24 05:18:25.021603,0 days 00:00:01.554836,0.2,96,7,0.002869139536545374,"{'MAE_15m': 4496.517578125, 'RMSE_15m': 4845.125178981447, 'sMAPE_15m': 94.49552130885515, 'R2_15m': -5.539742738292324, 'MAE_30m': 4512.9560546875, 'RMSE_30m': 4732.427284174581, 'sMAPE_30m': 91.56890551014439, 'R2_30m': -6.496566710089912, 'MAE_avg': 4504.73681640625, 'RMSE_avg': 4788.776231578014, 'sMAPE_avg': 93.03221340949978, 'R2_avg': -6.018154724191118}",6975.806640625,6610.96435546875,COMPLETE
7,7015.541015625,2026-02-24 05:18:25.022317,2026-02-24 05:18:25.559746,0 days 00:00:00.537429,0.0,32,3,0.0001483039268456802,,7015.541015625,,PRUNED
8,7014.81396484375,2026-02-24 05:18:25.560355,2026-02-24 05:18:26.118292,0 days 00:00:00.557937,0.3,32,7,0.0004983319160125723,,7014.81396484375,,PRUNED
9,7015.52783203125,2026-02-24 05:18:26.118896,2026-02-24 05:18:26.652405,0 days 00:00:00.533509,0.0,96,5,0.00014433402406338895,,7015.52783203125,,PRUNED
