number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,7012.143798828125,2026-02-24 05:17:52.067764,2026-02-24 05:17:55.663021,0 days 00:00:03.595257,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 6899.5859375, 'RMSE_15m': 7154.994619145426, 'sMAPE_15m': 199.83014321016907, 'R2_15m': -13.261634546263458, 'MAE_30m': 7124.70166015625, 'RMSE_30m': 7331.363583945349, 'sMAPE_30m': 199.70971386189802, 'R2_30m': -16.991361373947942, 'MAE_avg': 7012.143798828125, 'RMSE_avg': 7243.179101545387, 'sMAPE_avg': 199.76992853603355, 'R2_avg': -15.1264979601057}",7014.68896484375,7013.4560546875,COMPLETE
1,7016.0576171875,2026-02-24 05:17:55.663782,2026-02-24 05:17:57.877636,0 days 00:00:02.213854,0.2,64,0.0002692655251486473,32,,7016.0576171875,,PRUNED
2,7015.69677734375,2026-02-24 05:17:57.878264,2026-02-24 05:18:00.091720,0 days 00:00:02.213456,0.3,32,0.000117115099555241,96,,7015.69677734375,,PRUNED
3,7015.99853515625,2026-02-24 05:18:00.092329,2026-02-24 05:18:02.247659,0 days 00:00:02.155330,0.3,32,0.00044684675025045853,64,,7015.99853515625,,PRUNED
4,7015.84814453125,2026-02-24 05:18:02.248235,2026-02-24 05:18:05.041090,0 days 00:00:02.792855,0.3,64,0.00018752209455786411,32,,7015.84814453125,,PRUNED
5,7014.375,2026-02-24 05:18:05.041754,2026-02-24 05:18:07.424150,0 days 00:00:02.382396,0.2,32,0.0003023795012558478,96,,7015.27783203125,7014.375,PRUNED
6,7000.291015625,2026-02-24 05:18:07.424767,2026-02-24 05:18:10.413357,0 days 00:00:02.988590,0.2,96,0.002869139536545374,96,"{'MAE_15m': 6887.76513671875, 'RMSE_15m': 7143.593493473715, 'sMAPE_15m': 199.09797407468048, 'R2_15m': -13.21622086505249, 'MAE_30m': 7112.81689453125, 'RMSE_30m': 7319.8117462131495, 'sMAPE_30m': 199.00886582224237, 'R2_30m': -16.93470918885452, 'MAE_avg': 7000.291015625, 'RMSE_avg': 7231.702619843432, 'sMAPE_avg': 199.05341994846142, 'R2_avg': -15.075465026953506}",7009.85205078125,7004.50146484375,COMPLETE
7,7015.875,2026-02-24 05:18:10.414111,2026-02-24 05:18:12.589509,0 days 00:00:02.175398,0.0,32,0.0001483039268456802,32,,7015.875,,PRUNED
8,7015.44189453125,2026-02-24 05:18:12.590085,2026-02-24 05:18:15.360942,0 days 00:00:02.770857,0.3,32,0.0004983319160125723,96,,7015.44189453125,,PRUNED
9,7015.74560546875,2026-02-24 05:18:15.361618,2026-02-24 05:18:17.505499,0 days 00:00:02.143881,0.0,96,0.00014433402406338895,64,,7015.74560546875,,PRUNED
