number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,7006.323486328125,2026-02-24 05:17:26.935967,2026-02-24 05:17:29.918721,0 days 00:00:02.982754,0.0,0.00190303683817358,2,64,"{'MAE_15m': 6892.978515625, 'RMSE_15m': 7148.620846009389, 'sMAPE_15m': 199.42061223447988, 'R2_15m': -13.236237124857253, 'MAE_30m': 7119.66845703125, 'RMSE_30m': 7326.46954542227, 'sMAPE_30m': 199.41266820643506, 'R2_30m': -16.96735028466081, 'MAE_avg': 7006.323486328125, 'RMSE_avg': 7237.545195715829, 'sMAPE_avg': 199.41664022045745, 'R2_avg': -15.101793704759032}",7012.92919921875,7009.06689453125,COMPLETE
1,7015.64208984375,2026-02-24 05:17:29.919659,2026-02-24 05:17:32.076827,0 days 00:00:02.157168,0.0,0.00018659959624904942,2,64,,7015.64208984375,,PRUNED
2,7015.81982421875,2026-02-24 05:17:32.077475,2026-02-24 05:17:33.875350,0 days 00:00:01.797875,0.0,0.0003476649150592621,1,64,,7015.81982421875,,PRUNED
3,7015.6748046875,2026-02-24 05:17:33.876016,2026-02-24 05:17:36.104005,0 days 00:00:02.227989,0.3,0.0001786013788939711,2,64,,7015.6748046875,,PRUNED
4,7015.142578125,2026-02-24 05:17:36.104658,2026-02-24 05:17:38.306866,0 days 00:00:02.202208,0.3,0.00044684675025045853,2,96,,7015.142578125,,PRUNED
5,7015.36572265625,2026-02-24 05:17:38.307468,2026-02-24 05:17:40.499879,0 days 00:00:02.192411,0.2,0.000586412916969653,2,64,,7015.36572265625,,PRUNED
6,7002.0595703125,2026-02-24 05:17:40.500491,2026-02-24 05:17:44.144259,0 days 00:00:03.643768,0.0,0.002299958642814372,2,96,"{'MAE_15m': 6888.73291015625, 'RMSE_15m': 7144.52685627257, 'sMAPE_15m': 199.1578286889239, 'R2_15m': -13.219935912857643, 'MAE_30m': 7115.38623046875, 'RMSE_30m': 7322.308652330903, 'sMAPE_30m': 199.16019149119165, 'R2_30m': -16.94694594057537, 'MAE_avg': 7002.0595703125, 'RMSE_avg': 7233.417754301736, 'sMAPE_avg': 199.1590100900578, 'R2_avg': -15.083440926716507}",7010.53271484375,7005.6171875,COMPLETE
7,7016.037109375,2026-02-24 05:17:44.145034,2026-02-24 05:17:45.487447,0 days 00:00:01.342413,0.3,0.0003364867144187955,1,64,,7016.037109375,,PRUNED
8,7015.75830078125,2026-02-24 05:17:45.488160,2026-02-24 05:17:47.727786,0 days 00:00:02.239626,0.2,0.00019657448966046135,2,64,,7015.75830078125,,PRUNED
9,7015.82958984375,2026-02-24 05:17:47.728456,2026-02-24 05:17:49.881019,0 days 00:00:02.152563,0.0,0.0001483039268456802,2,64,,7015.82958984375,,PRUNED
