number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,7014.1455078125,2026-02-24 05:18:27.205178,2026-02-24 05:18:29.280215,0 days 00:00:02.075037,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 6901.234375, 'RMSE_15m': 7156.571525528128, 'sMAPE_15m': 199.93325264895964, 'R2_15m': -13.267921550241407, 'MAE_30m': 7127.056640625, 'RMSE_30m': 7333.646569067806, 'sMAPE_30m': 199.8490673813725, 'R2_30m': -17.002567644428307, 'MAE_avg': 7014.1455078125, 'RMSE_avg': 7245.109047297967, 'sMAPE_avg': 199.89116001516607, 'R2_avg': -15.135244597334857}",7015.6923828125,7015.068359375,COMPLETE
1,7011.70849609375,2026-02-24 05:18:29.281182,2026-02-24 05:18:31.373813,0 days 00:00:02.092631,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 6897.94873046875, 'RMSE_15m': 7153.396116530945, 'sMAPE_15m': 199.72968681916697, 'R2_15m': -13.255261283642744, 'MAE_30m': 7125.46826171875, 'RMSE_30m': 7332.094107415698, 'sMAPE_30m': 199.7556467614914, 'R2_30m': -16.99494718331531, 'MAE_avg': 7011.70849609375, 'RMSE_avg': 7242.745111973321, 'sMAPE_avg': 199.74266679032917, 'R2_avg': -15.125104233479028}",7015.453125,7014.01416015625,COMPLETE
2,7015.61767578125,2026-02-24 05:18:31.374624,2026-02-24 05:18:32.803398,0 days 00:00:01.428774,0.3,32,5,0.00024112898115291975,lstm,96,,7015.61767578125,,PRUNED
3,7015.546875,2026-02-24 05:18:32.804017,2026-02-24 05:18:34.189015,0 days 00:00:01.384998,0.2,32,7,0.0003023795012558478,gru,64,,7015.546875,,PRUNED
4,7008.61181640625,2026-02-24 05:18:34.189608,2026-02-24 05:18:36.819915,0 days 00:00:02.630307,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 6895.376953125, 'RMSE_15m': 7150.934764071058, 'sMAPE_15m': 199.56919830717325, 'R2_15m': -13.245452617354692, 'MAE_30m': 7121.8466796875, 'RMSE_30m': 7328.585129477586, 'sMAPE_30m': 199.54125368699033, 'R2_30m': -16.977729285385568, 'MAE_avg': 7008.61181640625, 'RMSE_avg': 7239.759946774322, 'sMAPE_avg': 199.55522599708178, 'R2_avg': -15.111590951370129}",7012.85986328125,7010.166015625,COMPLETE
5,7012.3828125,2026-02-24 05:18:36.820723,2026-02-24 05:18:38.486967,0 days 00:00:01.666244,0.3,64,7,0.0004983319160125723,gru,32,,7014.240234375,7012.3828125,PRUNED
6,7010.28857421875,2026-02-24 05:18:38.487605,2026-02-24 05:18:40.112698,0 days 00:00:01.625093,0.0,96,5,0.0021907142272152816,lstm,32,,7011.86669921875,7010.28857421875,PRUNED
7,7013.46142578125,2026-02-24 05:18:40.113372,2026-02-24 05:18:41.526111,0 days 00:00:01.412739,0.3,96,7,0.0006261435181296009,gru,64,,7013.46142578125,,PRUNED
8,7005.481201171875,2026-02-24 05:18:41.526735,2026-02-24 05:18:43.711706,0 days 00:00:02.184971,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 6895.3798828125, 'RMSE_15m': 7150.937001540427, 'sMAPE_15m': 199.5694606968314, 'R2_15m': -13.245463861875358, 'MAE_30m': 7115.58251953125, 'RMSE_30m': 7322.49930010239, 'sMAPE_30m': 199.171773405178, 'R2_30m': -16.947882088841446, 'MAE_avg': 7005.481201171875, 'RMSE_avg': 7236.718150821409, 'sMAPE_avg': 199.3706170510047, 'R2_avg': -15.096672975358402}",7011.78955078125,7007.95263671875,COMPLETE
9,7014.9970703125,2026-02-24 05:18:43.712470,2026-02-24 05:18:45.094887,0 days 00:00:01.382417,0.0,96,5,0.00025798509464504095,lstm,64,,7014.9970703125,,PRUNED
