number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1818.3364868164062,2026-04-03 02:08:12.619968,2026-04-03 02:08:14.800544,0 days 00:00:02.180576,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[25, 29]","{'MAE_15m': 1799.0379638671875, 'RMSE_15m': 2423.7775269194985, 'sMAPE_15m': 21.72383589262271, 'R2_15m': -0.08355812282792163, 'MAE_30m': 1837.635009765625, 'RMSE_30m': 2381.625705269407, 'sMAPE_30m': 22.17129150436077, 'R2_30m': -0.04005111681357909, 'MAE_avg': 1818.3364868164062, 'RMSE_avg': 2402.7016160944527, 'sMAPE_avg': 21.94756369849174, 'R2_avg': -0.06180461982075036}",COMPLETE
1,1820.8330688476562,2026-04-03 02:08:14.803530,2026-04-03 02:08:17.795163,0 days 00:00:02.991633,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[214, 270]","{'MAE_15m': 1818.1929931640625, 'RMSE_15m': 2427.2104358707757, 'sMAPE_15m': 21.921018140374073, 'R2_15m': -0.0866297780246561, 'MAE_30m': 1823.47314453125, 'RMSE_30m': 2340.6964775468005, 'sMAPE_30m': 22.066427537067845, 'R2_30m': -0.0046108524233707815, 'MAE_avg': 1820.8330688476562, 'RMSE_avg': 2383.953456708788, 'sMAPE_avg': 21.99372283872096, 'R2_avg': -0.04562031522401344}",COMPLETE
2,1810.4801635742188,2026-04-03 02:08:17.796774,2026-04-03 02:08:19.626590,0 days 00:00:01.829816,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[63, 62]","{'MAE_15m': 1796.802490234375, 'RMSE_15m': 2378.78666550828, 'sMAPE_15m': 21.703205655172088, 'R2_15m': -0.04370484681786402, 'MAE_30m': 1824.1578369140625, 'RMSE_30m': 2399.701335583243, 'sMAPE_30m': 22.040473765545286, 'R2_30m': -0.05589824315424563, 'MAE_avg': 1810.4801635742188, 'RMSE_avg': 2389.244000545761, 'sMAPE_avg': 21.871839710358685, 'R2_avg': -0.049801544986054824}",COMPLETE
3,1808.4082641601562,2026-04-03 02:08:19.638847,2026-04-03 02:08:22.365278,0 days 00:00:02.726431,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[120, 206]","{'MAE_15m': 1804.3343505859375, 'RMSE_15m': 2444.5542538467007, 'sMAPE_15m': 21.764883180398233, 'R2_15m': -0.10221434317941602, 'MAE_30m': 1812.482177734375, 'RMSE_30m': 2301.7989703707835, 'sMAPE_30m': 21.971906932490736, 'R2_30m': 0.02850084757942961, 'MAE_avg': 1808.4082641601562, 'RMSE_avg': 2373.176612108742, 'sMAPE_avg': 21.868395056444484, 'R2_avg': -0.036856747799993206}",COMPLETE
4,1811.7515258789062,2026-04-03 02:08:22.368600,2026-04-03 02:08:24.289044,0 days 00:00:01.920444,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[11, 58]","{'MAE_15m': 1789.8876953125, 'RMSE_15m': 2426.722068964635, 'sMAPE_15m': 21.613301438159723, 'R2_15m': -0.08619258519776718, 'MAE_30m': 1833.6153564453125, 'RMSE_30m': 2300.300089118809, 'sMAPE_30m': 22.20326042809442, 'R2_30m': 0.029765575040565206, 'MAE_avg': 1811.7515258789062, 'RMSE_avg': 2363.511079041722, 'sMAPE_avg': 21.908280933127074, 'R2_avg': -0.028213505078600987}",COMPLETE
5,1819.3610229492188,2026-04-03 02:08:24.290371,2026-04-03 02:08:26.578206,0 days 00:00:02.287835,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[192, 199]","{'MAE_15m': 1800.773193359375, 'RMSE_15m': 2424.641829219318, 'sMAPE_15m': 21.7317438795735, 'R2_15m': -0.08433103626706662, 'MAE_30m': 1837.9488525390625, 'RMSE_30m': 2431.5960807667047, 'sMAPE_30m': 22.17265469647833, 'R2_30m': -0.08415292625677417, 'MAE_avg': 1819.3610229492188, 'RMSE_avg': 2428.1189549930114, 'sMAPE_avg': 21.952199288025916, 'R2_avg': -0.0842419812619204}",COMPLETE
6,1813.059326171875,2026-04-03 02:08:26.579911,2026-04-03 02:08:28.129694,0 days 00:00:01.549783,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[8, 10]","{'MAE_15m': 1793.6134033203125, 'RMSE_15m': 2407.9655313147655, 'sMAPE_15m': 21.657683166773005, 'R2_15m': -0.06946671417213879, 'MAE_30m': 1832.5052490234375, 'RMSE_30m': 2393.9231399524924, 'sMAPE_30m': 22.143737479169438, 'R2_30m': -0.05081943374512021, 'MAE_avg': 1813.059326171875, 'RMSE_avg': 2400.9443356336287, 'sMAPE_avg': 21.90071032297122, 'R2_avg': -0.0601430739586295}",COMPLETE
7,1827.1900024414062,2026-04-03 02:08:28.133040,2026-04-03 02:08:30.212108,0 days 00:00:02.079068,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[168, 171]","{'MAE_15m': 1804.8944091796875, 'RMSE_15m': 2372.085264066197, 'sMAPE_15m': 21.79667932232086, 'R2_15m': -0.03783248361962244, 'MAE_30m': 1849.485595703125, 'RMSE_30m': 2418.088501275336, 'sMAPE_30m': 22.316750271434728, 'R2_30m': -0.07214135559865698, 'MAE_avg': 1827.1900024414062, 'RMSE_avg': 2395.0868826707665, 'sMAPE_avg': 22.05671479687779, 'R2_avg': -0.054986919609139706}",COMPLETE
8,1810.5314331054688,2026-04-03 02:08:30.215695,2026-04-03 02:08:32.428530,0 days 00:00:02.212835,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[142, 171]","{'MAE_15m': 1789.00537109375, 'RMSE_15m': 2403.9373951914804, 'sMAPE_15m': 21.61259946875263, 'R2_15m': -0.06589156319044842, 'MAE_30m': 1832.0574951171875, 'RMSE_30m': 2369.0468547498167, 'sMAPE_30m': 22.13876248186365, 'R2_30m': -0.029093838958524465, 'MAE_avg': 1810.5314331054688, 'RMSE_avg': 2386.4921249706485, 'sMAPE_avg': 21.875680975308143, 'R2_avg': -0.04749270107448644}",COMPLETE
9,1813.2940673828125,2026-04-03 02:08:32.430285,2026-04-03 02:08:34.171520,0 days 00:00:01.741235,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[25, 31]","{'MAE_15m': 1817.5411376953125, 'RMSE_15m': 2452.7445851535376, 'sMAPE_15m': 21.909025637434702, 'R2_15m': -0.10961261190344596, 'MAE_30m': 1809.0469970703125, 'RMSE_30m': 2352.4069588402426, 'sMAPE_30m': 21.90512946692201, 'R2_30m': -0.01468811797366465, 'MAE_avg': 1813.2940673828125, 'RMSE_avg': 2402.57577199689, 'sMAPE_avg': 21.907077552178357, 'R2_avg': -0.0621503649385553}",COMPLETE
