number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,91912.203125,2026-02-24 05:19:50.222703,2026-02-24 05:19:51.234392,0 days 00:00:01.011689,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 92380.5859375, 'RMSE_15m': 92449.96882638738, 'sMAPE_15m': 199.97558888676562, 'R2_15m': -665.5389046531756, 'MAE_30m': 91443.8203125, 'RMSE_30m': 91567.08439171796, 'sMAPE_30m': 199.97013209284086, 'R2_30m': -370.75524085640717, 'MAE_avg': 91912.203125, 'RMSE_avg': 92008.52660905267, 'sMAPE_avg': 199.97286048980322, 'R2_avg': -518.1470727547913}",91917.8046875,91916.28125,COMPLETE
1,91918.3828125,2026-02-24 05:19:51.235154,2026-02-24 05:19:51.779664,0 days 00:00:00.544510,0.2,64,3,0.0002692655251486473,,91918.3828125,,PRUNED
2,91918.2265625,2026-02-24 05:19:51.780273,2026-02-24 05:19:52.321200,0 days 00:00:00.540927,0.3,32,7,0.000117115099555241,,91918.2265625,,PRUNED
3,91918.15625,2026-02-24 05:19:52.321813,2026-02-24 05:19:52.876683,0 days 00:00:00.554870,0.3,32,5,0.00044684675025045853,,91918.15625,,PRUNED
4,91918.2890625,2026-02-24 05:19:52.877274,2026-02-24 05:19:53.420886,0 days 00:00:00.543612,0.3,64,3,0.00018752209455786411,,91918.2890625,,PRUNED
5,91918.25,2026-02-24 05:19:53.421500,2026-02-24 05:19:53.963455,0 days 00:00:00.541955,0.2,32,7,0.0003023795012558478,,91918.25,,PRUNED
6,91797.88671875,2026-02-24 05:19:53.964013,2026-02-24 05:19:54.978218,0 days 00:00:01.014205,0.2,96,7,0.002869139536545374,"{'MAE_15m': 92278.1796875, 'RMSE_15m': 92347.63399243102, 'sMAPE_15m': 199.53207999545032, 'R2_15m': -664.0640891693879, 'MAE_30m': 91317.59375, 'RMSE_30m': 91440.71250816017, 'sMAPE_30m': 199.41863218678338, 'R2_30m': -369.72982140043166, 'MAE_avg': 91797.88671875, 'RMSE_avg': 91894.1732502956, 'sMAPE_avg': 199.47535609111685, 'R2_avg': -516.8969552849098}",91914.6484375,91894.6015625,COMPLETE
7,91918.65625,2026-02-24 05:19:54.978978,2026-02-24 05:19:55.496146,0 days 00:00:00.517168,0.0,32,3,0.0001483039268456802,,91918.65625,,PRUNED
8,91918.1875,2026-02-24 05:19:55.496753,2026-02-24 05:19:56.043466,0 days 00:00:00.546713,0.3,32,7,0.0004983319160125723,,91918.1875,,PRUNED
9,91918.3515625,2026-02-24 05:19:56.044035,2026-02-24 05:19:56.568316,0 days 00:00:00.524281,0.0,96,5,0.00014433402406338895,,91918.3515625,,PRUNED
