number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,91909.7578125,2026-02-24 05:18:55.269029,2026-02-24 05:18:59.076793,0 days 00:00:03.807764,0.0,0.00190303683817358,2,64,"{'MAE_15m': 92377.0078125, 'RMSE_15m': 92446.38004811222, 'sMAPE_15m': 199.96013385252968, 'R2_15m': -665.4871840608979, 'MAE_30m': 91442.5078125, 'RMSE_30m': 91565.74241494469, 'sMAPE_30m': 199.96445590131208, 'R2_30m': -370.74430267556863, 'MAE_avg': 91909.7578125, 'RMSE_avg': 92006.06123152845, 'sMAPE_avg': 199.96229487692088, 'R2_avg': -518.1157433682333}",91918.40625,91917.4140625,COMPLETE
1,91918.5234375,2026-02-24 05:18:59.077533,2026-02-24 05:19:01.254733,0 days 00:00:02.177200,0.0,0.00018659959624904942,2,64,,91918.5234375,,PRUNED
2,91918.59375,2026-02-24 05:19:01.255294,2026-02-24 05:19:02.523199,0 days 00:00:01.267905,0.0,0.0003476649150592621,1,64,,91918.59375,,PRUNED
3,91918.4375,2026-02-24 05:19:02.523763,2026-02-24 05:19:04.717139,0 days 00:00:02.193376,0.3,0.0001786013788939711,2,64,,91918.4375,,PRUNED
4,91918.2421875,2026-02-24 05:19:04.717781,2026-02-24 05:19:07.738639,0 days 00:00:03.020858,0.3,0.00044684675025045853,2,96,,91918.34375,91918.2421875,PRUNED
5,91918.1015625,2026-02-24 05:19:07.739226,2026-02-24 05:19:10.229287,0 days 00:00:02.490061,0.2,0.000586412916969653,2,64,,91918.2265625,91918.1015625,PRUNED
6,91904.36328125,2026-02-24 05:19:10.229901,2026-02-24 05:19:13.350325,0 days 00:00:03.120424,0.0,0.002299958642814372,2,96,"{'MAE_15m': 92372.1640625, 'RMSE_15m': 92441.55048461704, 'sMAPE_15m': 199.93916872956285, 'R2_15m': -665.417608817426, 'MAE_30m': 91436.5625, 'RMSE_30m': 91559.81231959794, 'sMAPE_30m': 199.93835408408717, 'R2_30m': -370.6961534921195, 'MAE_avg': 91904.36328125, 'RMSE_avg': 92000.6814021075, 'sMAPE_avg': 199.938761406825, 'R2_avg': -518.0568811547728}",91918.0859375,91912.4765625,COMPLETE
7,91918.5078125,2026-02-24 05:19:13.351089,2026-02-24 05:19:14.638637,0 days 00:00:01.287548,0.3,0.0003364867144187955,1,64,,91918.5078125,,PRUNED
8,91918.3828125,2026-02-24 05:19:14.639223,2026-02-24 05:19:17.511619,0 days 00:00:02.872396,0.2,0.00019657448966046135,2,64,,91918.3828125,,PRUNED
9,91918.3515625,2026-02-24 05:19:17.512292,2026-02-24 05:19:19.758518,0 days 00:00:02.246226,0.0,0.0001483039268456802,2,64,,91918.3515625,,PRUNED
