number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,91917.52734375,2026-02-24 05:19:57.107229,2026-02-24 05:19:59.143090,0 days 00:00:02.035861,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 92385.5546875, 'RMSE_15m': 92454.93085822952, 'sMAPE_15m': 199.99718390287356, 'R2_15m': -665.6104496978975, 'MAE_30m': 91449.5, 'RMSE_30m': 91572.72607059375, 'sMAPE_30m': 199.9950601786119, 'R2_30m': -370.8010480357265, 'MAE_avg': 91917.52734375, 'RMSE_avg': 92013.82846441164, 'sMAPE_avg': 199.99612204074273, 'R2_avg': -518.205748866812}",91918.3125,91918.0234375,COMPLETE
1,91918.3203125,2026-02-24 05:19:59.143888,2026-02-24 05:20:01.116980,0 days 00:00:01.973092,0.3,96,7,0.000117115099555241,gru,96,,91918.3203125,,PRUNED
2,91918.03125,2026-02-24 05:20:01.117605,2026-02-24 05:20:02.784104,0 days 00:00:01.666499,0.3,32,5,0.00024112898115291975,lstm,96,,91918.2890625,91918.03125,PRUNED
3,91917.07421875,2026-02-24 05:20:02.784749,2026-02-24 05:20:04.820071,0 days 00:00:02.035322,0.2,32,7,0.0003023795012558478,gru,64,"{'MAE_15m': 92384.5, 'RMSE_15m': 92453.87312600808, 'sMAPE_15m': 199.99259885788706, 'R2_15m': -665.5952037024126, 'MAE_30m': 91449.6484375, 'RMSE_30m': 91572.87703244886, 'sMAPE_30m': 199.99573867245942, 'R2_30m': -370.80226633189744, 'MAE_avg': 91917.07421875, 'RMSE_avg': 92013.37507922847, 'sMAPE_avg': 199.99416876517324, 'R2_avg': -518.1987350171551}",91918.15625,91917.8203125,COMPLETE
4,91911.203125,2026-02-24 05:20:04.820914,2026-02-24 05:20:06.933488,0 days 00:00:02.112574,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 92378.5, 'RMSE_15m': 92447.87538932412, 'sMAPE_15m': 199.9665748717324, 'R2_15m': -665.5087587083715, 'MAE_30m': 91443.90625, 'RMSE_30m': 91567.14030699004, 'sMAPE_30m': 199.97053308855476, 'R2_30m': -370.7556873127679, 'MAE_avg': 91911.203125, 'RMSE_avg': 92007.50784815708, 'sMAPE_avg': 199.96855398014358, 'R2_avg': -518.1322230105698}",91917.2578125,91913.7265625,COMPLETE
5,91916.8359375,2026-02-24 05:20:06.934312,2026-02-24 05:20:08.527205,0 days 00:00:01.592893,0.3,64,7,0.0004983319160125723,gru,32,,91917.9296875,91916.8359375,PRUNED
6,91911.453125,2026-02-24 05:20:08.527795,2026-02-24 05:20:10.590144,0 days 00:00:02.062349,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 92377.3671875, 'RMSE_15m': 92446.74280903573, 'sMAPE_15m': 199.96166912765204, 'R2_15m': -665.4924146817845, 'MAE_30m': 91445.5390625, 'RMSE_30m': 91568.77301787985, 'sMAPE_30m': 199.97771137398527, 'R2_30m': -370.7689296624514, 'MAE_avg': 91911.453125, 'RMSE_avg': 92007.75791345778, 'sMAPE_avg': 199.96969025081864, 'R2_avg': -518.1306721721179}",91915.4765625,91912.6171875,COMPLETE
7,91910.7734375,2026-02-24 05:20:10.591211,2026-02-24 05:20:13.405973,0 days 00:00:02.814762,0.3,96,7,0.0006261435181296009,gru,64,"{'MAE_15m': 92378.4140625, 'RMSE_15m': 92447.79785370769, 'sMAPE_15m': 199.9662541839113, 'R2_15m': -665.5076739867372, 'MAE_30m': 91443.1328125, 'RMSE_30m': 91566.36867321975, 'sMAPE_30m': 199.96716126459864, 'R2_30m': -370.74945205783126, 'MAE_avg': 91910.7734375, 'RMSE_avg': 92007.08326346372, 'sMAPE_avg': 199.96670772425497, 'R2_avg': -518.1285630222842}",91916.5546875,91913.0625,COMPLETE
8,91908.63671875,2026-02-24 05:20:13.406775,2026-02-24 05:20:15.522991,0 days 00:00:02.116216,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 92376.96875, 'RMSE_15m': 92446.34681803278, 'sMAPE_15m': 199.95995874460363, 'R2_15m': -665.4867248842552, 'MAE_30m': 91440.3046875, 'RMSE_30m': 91563.5476813781, 'sMAPE_30m': 199.9547476875325, 'R2_30m': -370.72650495759405, 'MAE_avg': 91908.63671875, 'RMSE_avg': 92004.94724970544, 'sMAPE_avg': 199.95735321606804, 'R2_avg': -518.1066149209246}",91915.7890625,91911.4140625,COMPLETE
9,91918.0703125,2026-02-24 05:20:15.523753,2026-02-24 05:20:16.920360,0 days 00:00:01.396607,0.0,96,5,0.00025798509464504095,lstm,64,,91918.0703125,,PRUNED
