number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.9865749478340149,2026-02-24 05:21:21.712047,2026-02-24 05:21:22.816130,0 days 00:00:01.104083,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.9520276784896851, 'RMSE_15m': 2.0325578440638123, 'sMAPE_15m': 200.0, 'R2_15m': -0.30706167920660743, 'MAE_30m': 1.0211222171783447, 'RMSE_30m': 1.386872360962759, 'sMAPE_30m': 195.9761523287581, 'R2_30m': -0.1437868685173147, 'MAE_avg': 0.9865749478340149, 'RMSE_avg': 1.7097151025132855, 'sMAPE_avg': 197.98807616437904, 'R2_avg': -0.22542427386196107}",1.6137142181396484,COMPLETE
1,0.9544734954833984,2026-02-24 05:21:22.816812,2026-02-24 05:21:23.426117,0 days 00:00:00.609305,0.2,64,3,0.0002692655251486473,"{'MAE_15m': 1.1870089769363403, 'RMSE_15m': 1.8538587150154262, 'sMAPE_15m': 193.76552658554237, 'R2_15m': -0.08733536314841506, 'MAE_30m': 0.7219380140304565, 'RMSE_30m': 1.3867244236789742, 'sMAPE_30m': 199.0534440104284, 'R2_30m': -0.14354291310534673, 'MAE_avg': 0.9544734954833984, 'RMSE_avg': 1.6202915693472002, 'sMAPE_avg': 196.40948529798538, 'R2_avg': -0.11543913812688089}",1.1061676740646362,COMPLETE
2,0.8662646412849426,2026-02-24 05:21:23.426829,2026-02-24 05:21:24.149219,0 days 00:00:00.722390,0.3,32,7,0.000117115099555241,"{'MAE_15m': 1.0260733366012573, 'RMSE_15m': 2.1094969537590473, 'sMAPE_15m': 200.0, 'R2_15m': -0.4078879224940244, 'MAE_30m': 0.7064559459686279, 'RMSE_30m': 1.2782414166471754, 'sMAPE_30m': 196.7372560737733, 'R2_30m': 0.028376771251744315, 'MAE_avg': 0.8662646412849426, 'RMSE_avg': 1.6938691852031114, 'sMAPE_avg': 198.36862803688666, 'R2_avg': -0.18975557562114004}",0.8675913214683533,COMPLETE
3,0.6933608055114746,2026-02-24 05:21:24.149908,2026-02-24 05:21:24.755707,0 days 00:00:00.605799,0.3,32,5,0.00044684675025045853,"{'MAE_15m': 0.8643203377723694, 'RMSE_15m': 1.8283864021887217, 'sMAPE_15m': 195.043422896059, 'R2_15m': -0.05766028217893937, 'MAE_30m': 0.5224012732505798, 'RMSE_30m': 1.3821785114642051, 'sMAPE_30m': 200.0, 'R2_30m': -0.1360577740970672, 'MAE_avg': 0.6933608055114746, 'RMSE_avg': 1.6052824568264634, 'sMAPE_avg': 197.52171144802952, 'R2_avg': -0.09685902813800329}",0.7800436615943909,COMPLETE
4,1.0559029579162598,2026-02-24 05:21:24.756468,2026-02-24 05:21:25.312587,0 days 00:00:00.556119,0.3,64,3,0.00018752209455786411,,1.0559029579162598,PRUNED
5,1.0460964441299438,2026-02-24 05:21:25.313158,2026-02-24 05:21:25.856194,0 days 00:00:00.543036,0.2,32,7,0.0003023795012558478,,1.0460964441299438,PRUNED
6,7.434664726257324,2026-02-24 05:21:25.856752,2026-02-24 05:21:26.404531,0 days 00:00:00.547779,0.2,96,7,0.002869139536545374,,7.434664726257324,PRUNED
7,0.8422600328922272,2026-02-24 05:21:26.405105,2026-02-24 05:21:27.029923,0 days 00:00:00.624818,0.0,32,3,0.0001483039268456802,"{'MAE_15m': 0.9317224025726318, 'RMSE_15m': 1.9512846554226877, 'sMAPE_15m': 199.29591680811697, 'R2_15m': -0.2046238564988696, 'MAE_30m': 0.7527976632118225, 'RMSE_30m': 1.3171467042807092, 'sMAPE_30m': 197.16321251608156, 'R2_30m': -0.03166897521709866, 'MAE_avg': 0.8422600328922272, 'RMSE_avg': 1.6342156798516985, 'sMAPE_avg': 198.22956466209928, 'R2_avg': -0.11814641585798413}",0.8449224233627319,COMPLETE
8,1.222532033920288,2026-02-24 05:21:27.030638,2026-02-24 05:21:27.581617,0 days 00:00:00.550979,0.3,32,7,0.0004983319160125723,,1.222532033920288,PRUNED
9,0.7450716942548752,2026-02-24 05:21:27.582174,2026-02-24 05:21:28.176170,0 days 00:00:00.593996,0.0,96,5,0.00014433402406338895,"{'MAE_15m': 1.0033116340637207, 'RMSE_15m': 2.0535383020418396, 'sMAPE_15m': 200.0, 'R2_15m': -0.3341844102398974, 'MAE_30m': 0.48683175444602966, 'RMSE_30m': 1.3947995566196465, 'sMAPE_30m': 200.0, 'R2_30m': -0.15689976266890504, 'MAE_avg': 0.7450716942548752, 'RMSE_avg': 1.7241689293307432, 'sMAPE_avg': 200.0, 'R2_avg': -0.24554208645440123}",0.8591480255126953,COMPLETE
