number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.7685228586196899,2026-02-24 05:20:55.355169,2026-02-24 05:20:57.898723,0 days 00:00:02.543554,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 1.006393313407898, 'RMSE_15m': 2.0810625925544954, 'sMAPE_15m': 200.0, 'R2_15m': -0.37018940341419015, 'MAE_30m': 0.5306524038314819, 'RMSE_30m': 1.4428030962985632, 'sMAPE_30m': 200.0, 'R2_30m': -0.2379018878674808, 'MAE_avg': 0.7685228586196899, 'RMSE_avg': 1.7619328444265294, 'sMAPE_avg': 200.0, 'R2_avg': -0.30404564564083547}",1.111360788345337,COMPLETE
1,0.6770934760570526,2026-02-24 05:20:57.899527,2026-02-24 05:21:00.492002,0 days 00:00:02.592475,0.2,64,0.0002692655251486473,32,"{'MAE_15m': 0.8892516493797302, 'RMSE_15m': 2.010555190088996, 'sMAPE_15m': 200.0, 'R2_15m': -0.2789168200351384, 'MAE_30m': 0.464935302734375, 'RMSE_30m': 1.415544776243339, 'sMAPE_30m': 200.0, 'R2_30m': -0.1915695690327699, 'MAE_avg': 0.6770934760570526, 'RMSE_avg': 1.7130499831661676, 'sMAPE_avg': 200.0, 'R2_avg': -0.23524319453395415}",0.694401204586029,COMPLETE
2,0.6803100556135178,2026-02-24 05:21:00.492759,2026-02-24 05:21:03.536044,0 days 00:00:03.043285,0.3,32,0.000117115099555241,96,"{'MAE_15m': 0.864881694316864, 'RMSE_15m': 1.979935734216441, 'sMAPE_15m': 200.0, 'R2_15m': -0.24025915309004175, 'MAE_30m': 0.4957384169101715, 'RMSE_30m': 1.3720325614107078, 'sMAPE_30m': 200.0, 'R2_30m': -0.11944042835573909, 'MAE_avg': 0.6803100556135178, 'RMSE_avg': 1.6759841478135744, 'sMAPE_avg': 200.0, 'R2_avg': -0.17984979072289042}",0.6815043091773987,COMPLETE
3,0.7041202783584595,2026-02-24 05:21:03.536960,2026-02-24 05:21:05.807769,0 days 00:00:02.270809,0.3,32,0.00044684675025045853,64,,0.7041202783584595,PRUNED
4,1.0518786907196045,2026-02-24 05:21:05.808390,2026-02-24 05:21:08.001124,0 days 00:00:02.192734,0.3,64,0.00018752209455786411,32,,1.0518786907196045,PRUNED
5,0.8101615905761719,2026-02-24 05:21:08.001704,2026-02-24 05:21:10.189957,0 days 00:00:02.188253,0.2,32,0.0003023795012558478,96,,0.8101615905761719,PRUNED
6,2.475773572921753,2026-02-24 05:21:10.190580,2026-02-24 05:21:12.346952,0 days 00:00:02.156372,0.2,96,0.002869139536545374,96,,2.475773572921753,PRUNED
7,0.8277869820594788,2026-02-24 05:21:12.347557,2026-02-24 05:21:15.227945,0 days 00:00:02.880388,0.0,32,0.0001483039268456802,32,,0.8277869820594788,PRUNED
8,0.8852659463882446,2026-02-24 05:21:15.228504,2026-02-24 05:21:17.428150,0 days 00:00:02.199646,0.3,32,0.0004983319160125723,96,,0.8852659463882446,PRUNED
9,1.0658711194992065,2026-02-24 05:21:17.428714,2026-02-24 05:21:19.553182,0 days 00:00:02.124468,0.0,96,0.00014433402406338895,64,,1.0658711194992065,PRUNED
