number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.9101597964763641,2026-02-24 05:20:29.745362,2026-02-24 05:20:32.290628,0 days 00:00:02.545266,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.9278135895729065, 'RMSE_15m': 2.081614382809819, 'sMAPE_15m': 200.0, 'R2_15m': -0.37091603614145585, 'MAE_30m': 0.8925060033798218, 'RMSE_30m': 1.5548929816705206, 'sMAPE_30m': 200.0, 'R2_30m': -0.4377161292495211, 'MAE_avg': 0.9101597964763641, 'RMSE_avg': 1.8182536822401698, 'sMAPE_avg': 200.0, 'R2_avg': -0.40431608269548847}",1.4988341331481934,COMPLETE
1,0.6987388432025909,2026-02-24 05:20:32.291408,2026-02-24 05:20:35.740553,0 days 00:00:03.449145,0.0,0.00018659959624904942,2,64,"{'MAE_15m': 0.9317554831504822, 'RMSE_15m': 1.9698111686635473, 'sMAPE_15m': 199.86795552756755, 'R2_15m': -0.22760727942104597, 'MAE_30m': 0.4657222032546997, 'RMSE_30m': 1.3738005348192308, 'sMAPE_30m': 200.0, 'R2_30m': -0.12232722464664758, 'MAE_avg': 0.6987388432025909, 'RMSE_avg': 1.671805851741389, 'sMAPE_avg': 199.9339777637838, 'R2_avg': -0.17496725203384678}",0.6992482542991638,COMPLETE
2,0.9276002645492554,2026-02-24 05:20:35.741486,2026-02-24 05:20:37.067215,0 days 00:00:01.325729,0.0,0.0003476649150592621,1,64,,0.9276002645492554,PRUNED
3,0.7085164189338684,2026-02-24 05:20:37.067789,2026-02-24 05:20:39.277799,0 days 00:00:02.210010,0.3,0.0001786013788939711,2,64,,0.7085164189338684,PRUNED
4,0.7448874115943909,2026-02-24 05:20:39.278384,2026-02-24 05:20:41.476436,0 days 00:00:02.198052,0.3,0.00044684675025045853,2,96,,0.7448874115943909,PRUNED
5,0.7797673940658569,2026-02-24 05:20:41.477050,2026-02-24 05:20:43.683238,0 days 00:00:02.206188,0.2,0.000586412916969653,2,64,,0.7797673940658569,PRUNED
6,1.8617428541183472,2026-02-24 05:20:43.683847,2026-02-24 05:20:46.485138,0 days 00:00:02.801291,0.0,0.002299958642814372,2,96,,1.8617428541183472,PRUNED
7,0.8258562088012695,2026-02-24 05:20:46.485695,2026-02-24 05:20:47.803190,0 days 00:00:01.317495,0.3,0.0003364867144187955,1,64,,0.8258562088012695,PRUNED
8,0.6734414398670197,2026-02-24 05:20:47.803837,2026-02-24 05:20:50.365511,0 days 00:00:02.561674,0.2,0.00019657448966046135,2,64,"{'MAE_15m': 0.9009333252906799, 'RMSE_15m': 2.0062559751617726, 'sMAPE_15m': 200.0, 'R2_15m': -0.2734531258224224, 'MAE_30m': 0.4459495544433594, 'RMSE_30m': 1.3771780276768038, 'sMAPE_30m': 200.0, 'R2_30m': -0.12785255198482837, 'MAE_avg': 0.6734414398670197, 'RMSE_avg': 1.6917170014192882, 'sMAPE_avg': 200.0, 'R2_avg': -0.2006528389036254}",0.6980917453765869,COMPLETE
9,0.7722054123878479,2026-02-24 05:20:50.366259,2026-02-24 05:20:52.554767,0 days 00:00:02.188508,0.0,0.0001483039268456802,2,64,,0.7722054123878479,PRUNED
