number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.678722083568573,2026-02-24 05:21:28.694998,2026-02-24 05:21:30.299317,0 days 00:00:01.604319,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.9020214080810547, 'RMSE_15m': 1.917402071087197, 'sMAPE_15m': 198.16868162223142, 'R2_15m': -0.16315244187337985, 'MAE_30m': 0.4554227590560913, 'RMSE_30m': 1.3468698612123955, 'sMAPE_30m': 199.61863691463896, 'R2_30m': -0.07875649117953731, 'MAE_avg': 0.678722083568573, 'RMSE_avg': 1.6321359661497963, 'sMAPE_avg': 198.8936592684352, 'R2_avg': -0.12095446652645858}",0.7201905846595764,COMPLETE
1,0.9045345187187195,2026-02-24 05:21:30.300168,2026-02-24 05:21:31.726199,0 days 00:00:01.426031,0.3,96,7,0.000117115099555241,gru,96,,0.9045345187187195,PRUNED
2,0.7026375234127045,2026-02-24 05:21:31.726802,2026-02-24 05:21:33.480058,0 days 00:00:01.753256,0.3,32,5,0.00024112898115291975,lstm,96,"{'MAE_15m': 0.8657650351524353, 'RMSE_15m': 1.8905685038046427, 'sMAPE_15m': 197.25397571267243, 'R2_15m': -0.13082414962728772, 'MAE_30m': 0.5395100116729736, 'RMSE_30m': 1.325871564208814, 'sMAPE_30m': 198.87033786723904, 'R2_30m': -0.045381990430418906, 'MAE_avg': 0.7026375234127045, 'RMSE_avg': 1.6082200340067283, 'sMAPE_avg': 198.06215678995574, 'R2_avg': -0.08810307002885331}",0.7027796506881714,COMPLETE
3,0.6961318254470825,2026-02-24 05:21:33.480774,2026-02-24 05:21:35.718726,0 days 00:00:02.237952,0.2,32,7,0.0003023795012558478,gru,64,"{'MAE_15m': 0.8763456344604492, 'RMSE_15m': 1.972362896852682, 'sMAPE_15m': 199.89268799932952, 'R2_15m': -0.23078980952974737, 'MAE_30m': 0.5159180164337158, 'RMSE_30m': 1.3707355346500847, 'sMAPE_30m': 200.0, 'R2_30m': -0.11732497933870678, 'MAE_avg': 0.6961318254470825, 'RMSE_avg': 1.6715492157513834, 'sMAPE_avg': 199.94634399966475, 'R2_avg': -0.17405739443422708}",0.6963699460029602,COMPLETE
4,2.386481523513794,2026-02-24 05:21:35.719731,2026-02-24 05:21:37.200126,0 days 00:00:01.480395,0.3,96,7,0.0011069143219393448,lstm,64,,2.386481523513794,PRUNED
5,0.9075506329536438,2026-02-24 05:21:37.200719,2026-02-24 05:21:38.601310,0 days 00:00:01.400591,0.3,64,7,0.0004983319160125723,gru,32,,0.9075506329536438,PRUNED
6,2.4566235542297363,2026-02-24 05:21:38.601960,2026-02-24 05:21:40.027029,0 days 00:00:01.425069,0.0,96,5,0.0021907142272152816,lstm,32,,2.4566235542297363,PRUNED
7,1.9955525398254395,2026-02-24 05:21:40.027627,2026-02-24 05:21:41.431826,0 days 00:00:01.404199,0.3,96,7,0.0006261435181296009,gru,64,,1.9955525398254395,PRUNED
8,3.211780309677124,2026-02-24 05:21:41.432440,2026-02-24 05:21:42.882886,0 days 00:00:01.450446,0.3,64,7,0.002470540427082325,lstm,64,,3.211780309677124,PRUNED
9,1.1392898559570312,2026-02-24 05:21:42.883479,2026-02-24 05:21:44.293180,0 days 00:00:01.409701,0.0,96,5,0.00025798509464504095,lstm,64,,1.1392898559570312,PRUNED
