number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,25888.064453125,2026-02-24 05:22:48.575250,2026-02-24 05:22:49.598412,0 days 00:00:01.023162,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 26271.24609375, 'RMSE_15m': 26311.127987982574, 'sMAPE_15m': 199.63611950725314, 'R2_15m': -332.7340517347801, 'MAE_30m': 25504.8828125, 'RMSE_30m': 25591.21849385058, 'sMAPE_30m': 199.63342509118718, 'R2_30m': -148.07683267099907, 'MAE_avg': 25888.064453125, 'RMSE_avg': 25951.173240916578, 'sMAPE_avg': 199.63477229922017, 'R2_avg': -240.4054422028896}",25908.60546875,25903.05078125,COMPLETE
1,25911.05078125,2026-02-24 05:22:49.599179,2026-02-24 05:22:50.154324,0 days 00:00:00.555145,0.2,64,3,0.0002692655251486473,,25911.05078125,,PRUNED
2,25911.00390625,2026-02-24 05:22:50.154936,2026-02-24 05:22:50.695046,0 days 00:00:00.540110,0.3,32,7,0.000117115099555241,,25911.00390625,,PRUNED
3,25910.890625,2026-02-24 05:22:50.695617,2026-02-24 05:22:51.235829,0 days 00:00:00.540212,0.3,32,5,0.00044684675025045853,,25910.890625,,PRUNED
4,25910.103515625,2026-02-24 05:22:51.236450,2026-02-24 05:22:51.777574,0 days 00:00:00.541124,0.3,64,3,0.00018752209455786411,,25910.103515625,,PRUNED
5,25911.322265625,2026-02-24 05:22:51.778161,2026-02-24 05:22:52.322772,0 days 00:00:00.544611,0.2,32,7,0.0003023795012558478,,25911.322265625,,PRUNED
6,25098.2861328125,2026-02-24 05:22:52.323333,2026-02-24 05:22:53.344793,0 days 00:00:01.021460,0.2,96,7,0.002869139536545374,"{'MAE_15m': 25459.02734375, 'RMSE_15m': 25534.92980213574, 'sMAPE_15m': 187.8836219560641, 'R2_15m': -313.3336850020162, 'MAE_30m': 24737.544921875, 'RMSE_30m': 24856.950094490676, 'sMAPE_30m': 188.16994244462842, 'R2_30m': -139.64488064742716, 'MAE_avg': 25098.2861328125, 'RMSE_avg': 25195.939948313207, 'sMAPE_avg': 188.02678220034625, 'R2_avg': -226.48928282472167}",25891.80859375,25768.1015625,COMPLETE
7,25911.375,2026-02-24 05:22:53.345561,2026-02-24 05:22:53.854795,0 days 00:00:00.509234,0.0,32,3,0.0001483039268456802,,25911.375,,PRUNED
8,25907.22265625,2026-02-24 05:22:53.855394,2026-02-24 05:22:54.566482,0 days 00:00:00.711088,0.3,32,7,0.0004983319160125723,,25909.35546875,25907.22265625,PRUNED
9,25910.93359375,2026-02-24 05:22:54.567076,2026-02-24 05:22:55.096850,0 days 00:00:00.529774,0.0,96,5,0.00014433402406338895,,25910.93359375,,PRUNED
