number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,25907.3994140625,2026-02-24 05:22:21.138181,2026-02-24 05:22:24.123201,0 days 00:00:02.985020,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 26290.779296875, 'RMSE_15m': 26330.162171927463, 'sMAPE_15m': 199.94025909042153, 'R2_15m': -333.2171063468653, 'MAE_30m': 25524.01953125, 'RMSE_30m': 25609.883092275137, 'sMAPE_30m': 199.94026890276191, 'R2_30m': -148.2943880570235, 'MAE_avg': 25907.3994140625, 'RMSE_avg': 25970.0226321013, 'sMAPE_avg': 199.94026399659174, 'R2_avg': -240.75574720194442}",25910.62890625,25909.546875,COMPLETE
1,25911.021484375,2026-02-24 05:22:24.123986,2026-02-24 05:22:26.830975,0 days 00:00:02.706989,0.2,64,0.0002692655251486473,32,,25911.021484375,,PRUNED
2,25911.169921875,2026-02-24 05:22:26.831562,2026-02-24 05:22:29.015552,0 days 00:00:02.183990,0.3,32,0.000117115099555241,96,,25911.169921875,,PRUNED
3,25910.98046875,2026-02-24 05:22:29.016152,2026-02-24 05:22:31.198324,0 days 00:00:02.182172,0.3,32,0.00044684675025045853,64,,25910.98046875,,PRUNED
4,25911.42578125,2026-02-24 05:22:31.198910,2026-02-24 05:22:33.380144,0 days 00:00:02.181234,0.3,64,0.00018752209455786411,32,,25911.42578125,,PRUNED
5,25911.185546875,2026-02-24 05:22:33.380763,2026-02-24 05:22:36.249937,0 days 00:00:02.869174,0.2,32,0.0003023795012558478,96,,25911.185546875,,PRUNED
6,25895.3232421875,2026-02-24 05:22:36.250582,2026-02-24 05:22:39.251479,0 days 00:00:03.000897,0.2,96,0.002869139536545374,96,"{'MAE_15m': 26277.0546875, 'RMSE_15m': 26316.495815362654, 'sMAPE_15m': 199.73045218891727, 'R2_15m': -332.8701996119863, 'MAE_30m': 25513.591796875, 'RMSE_30m': 25599.53999586711, 'sMAPE_30m': 199.7751036389802, 'R2_30m': -148.17381825313473, 'MAE_avg': 25895.3232421875, 'RMSE_avg': 25958.017905614885, 'sMAPE_avg': 199.75277791394873, 'R2_avg': -240.52200893256054}",25906.046875,25899.91015625,COMPLETE
7,25911.078125,2026-02-24 05:22:39.252238,2026-02-24 05:22:41.403694,0 days 00:00:02.151456,0.0,32,0.0001483039268456802,32,,25911.078125,,PRUNED
8,25911.05078125,2026-02-24 05:22:41.404335,2026-02-24 05:22:43.590966,0 days 00:00:02.186631,0.3,32,0.0004983319160125723,96,,25911.05078125,,PRUNED
9,25911.41015625,2026-02-24 05:22:43.591544,2026-02-24 05:22:46.363737,0 days 00:00:02.772193,0.0,96,0.00014433402406338895,64,,25911.41015625,,PRUNED
