number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,25902.4267578125,2026-02-24 05:21:55.594282,2026-02-24 05:21:58.624479,0 days 00:00:03.030197,0.0,0.00190303683817358,2,64,"{'MAE_15m': 26287.298828125, 'RMSE_15m': 26326.722545732882, 'sMAPE_15m': 199.8866014832653, 'R2_15m': -333.1297838088872, 'MAE_30m': 25517.5546875, 'RMSE_30m': 25603.492261798976, 'sMAPE_30m': 199.83759585126637, 'R2_30m': -148.2198649392014, 'MAE_avg': 25902.4267578125, 'RMSE_avg': 25965.107403765927, 'sMAPE_avg': 199.86209866726585, 'R2_avg': -240.6748243740443}",25910.21875,25906.4140625,COMPLETE
1,25911.09375,2026-02-24 05:21:58.625257,2026-02-24 05:22:00.823977,0 days 00:00:02.198720,0.0,0.00018659959624904942,2,64,,25911.09375,,PRUNED
2,25910.96484375,2026-02-24 05:22:00.824570,2026-02-24 05:22:02.115760,0 days 00:00:01.291190,0.0,0.0003476649150592621,1,64,,25910.96484375,,PRUNED
3,25911.361328125,2026-02-24 05:22:02.116374,2026-02-24 05:22:04.324046,0 days 00:00:02.207672,0.3,0.0001786013788939711,2,64,,25911.361328125,,PRUNED
4,25910.828125,2026-02-24 05:22:04.324611,2026-02-24 05:22:07.339762,0 days 00:00:03.015151,0.3,0.00044684675025045853,2,96,,25910.828125,,PRUNED
5,25911.15625,2026-02-24 05:22:07.340361,2026-02-24 05:22:09.585063,0 days 00:00:02.244702,0.2,0.000586412916969653,2,64,,25911.15625,,PRUNED
6,25897.060546875,2026-02-24 05:22:09.585710,2026-02-24 05:22:12.566095,0 days 00:00:02.980385,0.0,0.002299958642814372,2,96,"{'MAE_15m': 26279.921875, 'RMSE_15m': 26319.358046882528, 'sMAPE_15m': 199.77415385146867, 'R2_15m': -332.94286683487223, 'MAE_30m': 25514.19921875, 'RMSE_30m': 25600.147499575076, 'sMAPE_30m': 199.78469928735186, 'R2_30m': -148.18088022610658, 'MAE_avg': 25897.060546875, 'RMSE_avg': 25959.7527732288, 'sMAPE_avg': 199.77942656941025, 'R2_avg': -240.5618735304894}",25907.5703125,25901.171875,COMPLETE
7,25911.296875,2026-02-24 05:22:12.566824,2026-02-24 05:22:13.879338,0 days 00:00:01.312514,0.3,0.0003364867144187955,1,64,,25911.296875,,PRUNED
8,25911.0625,2026-02-24 05:22:13.879946,2026-02-24 05:22:16.689324,0 days 00:00:02.809378,0.2,0.00019657448966046135,2,64,,25911.0625,,PRUNED
9,25911.04296875,2026-02-24 05:22:16.689935,2026-02-24 05:22:18.907959,0 days 00:00:02.218024,0.0,0.0001483039268456802,2,64,,25911.04296875,,PRUNED
