number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,25910.283203125,2026-02-24 05:22:55.645069,2026-02-24 05:22:57.704926,0 days 00:00:02.059857,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 26293.74609375, 'RMSE_15m': 26333.171172496488, 'sMAPE_15m': 199.98479337371376, 'R2_15m': -333.29349139179044, 'MAE_30m': 25526.8203125, 'RMSE_30m': 25612.7343327494, 'sMAPE_30m': 199.98353275796285, 'R2_30m': -148.3276173896187, 'MAE_avg': 25910.283203125, 'RMSE_avg': 25972.952752622943, 'sMAPE_avg': 199.9841630658383, 'R2_avg': -240.81055439070457}",25911.26953125,25910.9375,COMPLETE
1,25908.06640625,2026-02-24 05:22:57.705795,2026-02-24 05:23:00.303737,0 days 00:00:02.597942,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 26291.375, 'RMSE_15m': 26330.81844531233, 'sMAPE_15m': 199.94843211784348, 'R2_15m': -333.2337285595093, 'MAE_30m': 25524.7578125, 'RMSE_30m': 25610.69526584548, 'sMAPE_30m': 199.95080174380215, 'R2_30m': -148.30383649610667, 'MAE_avg': 25908.06640625, 'RMSE_avg': 25970.756855578904, 'sMAPE_avg': 199.9496169308228, 'R2_avg': -240.76878252780799}",25910.56640625,25909.6484375,COMPLETE
2,25910.927734375,2026-02-24 05:23:00.304551,2026-02-24 05:23:01.739703,0 days 00:00:01.435152,0.3,32,5,0.00024112898115291975,lstm,96,,25910.927734375,,PRUNED
3,25910.798828125,2026-02-24 05:23:01.740388,2026-02-24 05:23:03.137946,0 days 00:00:01.397558,0.2,32,7,0.0003023795012558478,gru,64,,25910.798828125,,PRUNED
4,25902.203125,2026-02-24 05:23:03.138620,2026-02-24 05:23:05.248599,0 days 00:00:02.109979,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 26285.01171875, 'RMSE_15m': 26324.44217832545, 'sMAPE_15m': 199.85175904936438, 'R2_15m': -333.0718683176401, 'MAE_30m': 25519.39453125, 'RMSE_30m': 25605.321946814103, 'sMAPE_30m': 199.8665722872548, 'R2_30m': -148.2412129302146, 'MAE_avg': 25902.203125, 'RMSE_avg': 25964.882062569777, 'sMAPE_avg': 199.85916566830957, 'R2_avg': -240.65654062392736}",25907.68359375,25904.01171875,COMPLETE
5,25908.935546875,2026-02-24 05:23:05.249487,2026-02-24 05:23:06.838069,0 days 00:00:01.588582,0.3,64,7,0.0004983319160125723,gru,32,,25910.177734375,25908.935546875,PRUNED
6,25906.3046875,2026-02-24 05:23:06.838685,2026-02-24 05:23:08.397130,0 days 00:00:01.558445,0.0,96,5,0.0021907142272152816,lstm,32,,25908.4140625,25906.3046875,PRUNED
7,25903.8935546875,2026-02-24 05:23:08.397746,2026-02-24 05:23:11.054343,0 days 00:00:02.656597,0.3,96,7,0.0006261435181296009,gru,64,"{'MAE_15m': 26285.697265625, 'RMSE_15m': 26325.122905695996, 'sMAPE_15m': 199.86221006956956, 'R2_15m': -333.08918472942, 'MAE_30m': 25522.08984375, 'RMSE_30m': 25608.008747264987, 'sMAPE_30m': 199.9090491904934, 'R2_30m': -148.27253108678244, 'MAE_avg': 25903.8935546875, 'RMSE_avg': 25966.56582648049, 'sMAPE_avg': 199.88562963003147, 'R2_avg': -240.68085790810125}",25908.359375,25905.1640625,COMPLETE
8,25901.845703125,2026-02-24 05:23:11.055305,2026-02-24 05:23:13.171037,0 days 00:00:02.115732,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 26285.453125, 'RMSE_15m': 26324.87857521854, 'sMAPE_15m': 199.85847635222945, 'R2_15m': -333.0829755038152, 'MAE_30m': 25518.23828125, 'RMSE_30m': 25604.17216002111, 'sMAPE_30m': 199.84835463476242, 'R2_30m': -148.22779918784462, 'MAE_avg': 25901.845703125, 'RMSE_avg': 25964.525367619826, 'sMAPE_avg': 199.85341549349593, 'R2_avg': -240.65538734582992}",25907.73046875,25904.142578125,COMPLETE
9,25910.59765625,2026-02-24 05:23:13.171811,2026-02-24 05:23:14.595803,0 days 00:00:01.423992,0.0,96,5,0.00025798509464504095,lstm,64,,25910.59765625,,PRUNED
