number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,3370.25146484375,2026-02-24 05:21:46.332519,2026-02-24 05:21:46.665955,0 days 00:00:00.333436,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,3971.123779296875,2026-02-24 05:21:46.666875,2026-02-24 05:21:47.294114,0 days 00:00:00.627239,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,4023.035888671875,2026-02-24 05:21:47.295076,2026-02-24 05:21:47.596281,0 days 00:00:00.301205,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,3715.3857421875,2026-02-24 05:21:47.597222,2026-02-24 05:21:48.225286,0 days 00:00:00.628064,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,2942.89404296875,2026-02-24 05:21:48.226237,2026-02-24 05:21:48.377291,0 days 00:00:00.151054,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,3645.664306640625,2026-02-24 05:21:48.378181,2026-02-24 05:21:48.516043,0 days 00:00:00.137862,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,5067.5810546875,2026-02-24 05:21:48.516920,2026-02-24 05:21:48.842668,0 days 00:00:00.325748,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,2989.91552734375,2026-02-24 05:21:48.843613,2026-02-24 05:21:48.966719,0 days 00:00:00.123106,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,4036.39501953125,2026-02-24 05:21:48.967595,2026-02-24 05:21:49.222426,0 days 00:00:00.254831,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,4534.171875,2026-02-24 05:21:49.223343,2026-02-24 05:21:49.447673,0 days 00:00:00.224330,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,3481.061279296875,2026-02-24 05:21:49.448829,2026-02-24 05:21:50.252633,0 days 00:00:00.803804,0.7588836305457849,3.382861898713898,0.18255631599020614,8,5,1200,14.73099293843444,0.6071847502459278,COMPLETE
11,3612.4716796875,2026-02-24 05:21:50.253608,2026-02-24 05:21:50.373758,0 days 00:00:00.120150,0.7628905526894346,2.2523516179947425,0.031383486582584004,2,4,200,5.803984580764249,0.7184348852751731,COMPLETE
12,4355.390625,2026-02-24 05:21:50.374665,2026-02-24 05:21:50.617555,0 days 00:00:00.242890,0.7069749736231565,3.1216939274224456,0.06560288482653168,3,4,400,2.710013273186145,0.6857486542395244,COMPLETE
13,3617.25634765625,2026-02-24 05:21:50.619016,2026-02-24 05:21:51.334810,0 days 00:00:00.715794,0.8056891692692756,1.5784404749754612,0.025402317849766477,4,6,1200,19.90331362835953,0.7787798040253826,COMPLETE
14,3705.8798828125,2026-02-24 05:21:51.336316,2026-02-24 05:21:51.459023,0 days 00:00:00.122707,0.6052561262871233,0.04069442803216039,0.05952584472025998,3,3,200,0.5298592619409029,0.6414211606948839,COMPLETE
15,4577.55419921875,2026-02-24 05:21:51.459905,2026-02-24 05:21:51.925769,0 days 00:00:00.465864,0.7261161951178736,1.607254646679162,0.11796233651037671,2,1,1000,1.939705699335599,0.7699851250174794,COMPLETE
16,3756.76220703125,2026-02-24 05:21:51.926755,2026-02-24 05:21:52.236815,0 days 00:00:00.310060,0.6688734667065314,3.6904957083139185,0.048557085767414826,4,3,400,6.782838025351034,0.8506434620859428,COMPLETE
17,4560.064453125,2026-02-24 05:21:52.237734,2026-02-24 05:21:52.647785,0 days 00:00:00.410051,0.7870282433616039,2.6963403518893765,0.021470239927420868,6,7,600,0.529446392251365,0.7275006201299659,COMPLETE
18,3901.21435546875,2026-02-24 05:21:52.648942,2026-02-24 05:21:52.811176,0 days 00:00:00.162234,0.8721542623803956,2.070721588430429,0.12717030866022266,4,2,200,8.329575664211037,0.8602451572473859,COMPLETE
19,4459.91650390625,2026-02-24 05:21:52.812256,2026-02-24 05:21:53.159143,0 days 00:00:00.346887,0.7410943855948192,3.9868368974748143,0.014173834985314975,7,5,400,1.4788667640404103,0.9488064334191071,COMPLETE
20,4021.6923828125,2026-02-24 05:21:53.160415,2026-02-24 05:21:54.009524,0 days 00:00:00.849109,0.6728126603835927,2.930055920644363,0.03859171558777489,6,4,1000,0.2766806108421208,0.8167087386220918,COMPLETE
21,3330.327392578125,2026-02-24 05:21:54.010550,2026-02-24 05:21:54.364641,0 days 00:00:00.354091,0.6589045438667185,4.517544509454044,0.10377389225286013,8,2,600,0.011209480095630404,0.862720816765049,COMPLETE
22,3413.21826171875,2026-02-24 05:21:54.365609,2026-02-24 05:21:54.785720,0 days 00:00:00.420111,0.6372206838044818,4.867145705142458,0.1185689876875528,8,2,600,4.373696177972959,0.8688201372003878,COMPLETE
23,3556.918701171875,2026-02-24 05:21:54.786676,2026-02-24 05:21:54.957923,0 days 00:00:00.171247,0.6986644117969925,1.298802821567368,0.14519118341988968,7,1,200,0.015651982019054326,0.7712618751505519,COMPLETE
