number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,19193.6708984375,2026-02-24 05:24:21.225564,2026-02-24 05:24:22.239633,0 days 00:00:01.014069,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 18917.984375, 'RMSE_15m': 19553.544947144495, 'sMAPE_15m': 199.1386998725379, 'R2_15m': -14.643817422993958, 'MAE_30m': 19469.357421875, 'RMSE_30m': 20296.185257333458, 'sMAPE_30m': 199.46121436978387, 'R2_30m': -11.537555596869785, 'MAE_avg': 19193.6708984375, 'RMSE_avg': 19924.865102238975, 'sMAPE_avg': 199.2999571211609, 'R2_avg': -13.09068650993187}",19221.267578125,19214.748046875,COMPLETE
1,19223.205078125,2026-02-24 05:24:22.240331,2026-02-24 05:24:22.773260,0 days 00:00:00.532929,0.2,64,3,0.0002692655251486473,,19223.205078125,,PRUNED
2,19224.466796875,2026-02-24 05:24:22.773830,2026-02-24 05:24:23.306506,0 days 00:00:00.532676,0.3,32,7,0.000117115099555241,,19224.466796875,,PRUNED
3,19222.732421875,2026-02-24 05:24:23.307077,2026-02-24 05:24:23.837121,0 days 00:00:00.530044,0.3,32,5,0.00044684675025045853,,19222.732421875,,PRUNED
4,19223.826171875,2026-02-24 05:24:23.837685,2026-02-24 05:24:24.945544,0 days 00:00:01.107859,0.3,64,3,0.00018752209455786411,,19223.826171875,,PRUNED
5,19223.720703125,2026-02-24 05:24:24.946142,2026-02-24 05:24:25.501430,0 days 00:00:00.555288,0.2,32,7,0.0003023795012558478,,19223.720703125,,PRUNED
6,17557.37890625,2026-02-24 05:24:25.502017,2026-02-24 05:24:26.549383,0 days 00:00:01.047366,0.2,96,7,0.002869139536545374,"{'MAE_15m': 17383.853515625, 'RMSE_15m': 18092.933427169846, 'sMAPE_15m': 167.4398591527824, 'R2_15m': -12.393980936727075, 'MAE_30m': 17730.904296875, 'RMSE_30m': 18692.879499959337, 'sMAPE_30m': 163.80191505274746, 'R2_30m': -9.634975233631934, 'MAE_avg': 17557.37890625, 'RMSE_avg': 18392.906463564592, 'sMAPE_avg': 165.62088710276493, 'R2_avg': -11.014478085179505}",19193.091796875,18945.517578125,COMPLETE
7,19222.65234375,2026-02-24 05:24:26.550120,2026-02-24 05:24:27.087755,0 days 00:00:00.537635,0.0,32,3,0.0001483039268456802,,19222.65234375,,PRUNED
8,19223.521484375,2026-02-24 05:24:27.088344,2026-02-24 05:24:27.641177,0 days 00:00:00.552833,0.3,32,7,0.0004983319160125723,,19223.521484375,,PRUNED
9,19223.48828125,2026-02-24 05:24:27.641764,2026-02-24 05:24:28.165601,0 days 00:00:00.523837,0.0,96,5,0.00014433402406338895,,19223.48828125,,PRUNED
