number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,19221.7490234375,2026-02-24 05:23:54.746810,2026-02-24 05:23:57.647954,0 days 00:00:02.901144,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 18953.599609375, 'RMSE_15m': 19587.708799142383, 'sMAPE_15m': 199.9547378099674, 'R2_15m': -14.698529875596327, 'MAE_30m': 19489.8984375, 'RMSE_30m': 20315.297093569665, 'sMAPE_30m': 199.93826610512525, 'R2_30m': -11.561178965432987, 'MAE_avg': 19221.7490234375, 'RMSE_avg': 19951.502946356024, 'sMAPE_avg': 199.94650195754633, 'R2_avg': -13.129854420514658}",19223.265625,19221.974609375,COMPLETE
1,19223.7734375,2026-02-24 05:23:57.648785,2026-02-24 05:23:59.882613,0 days 00:00:02.233828,0.2,64,0.0002692655251486473,32,,19223.7734375,,PRUNED
2,19223.771484375,2026-02-24 05:23:59.883255,2026-02-24 05:24:02.048704,0 days 00:00:02.165449,0.3,32,0.000117115099555241,96,,19223.771484375,,PRUNED
3,19223.5859375,2026-02-24 05:24:02.049316,2026-02-24 05:24:04.783776,0 days 00:00:02.734460,0.3,32,0.00044684675025045853,64,,19223.5859375,,PRUNED
4,19224.181640625,2026-02-24 05:24:04.784371,2026-02-24 05:24:06.978412,0 days 00:00:02.194041,0.3,64,0.00018752209455786411,32,,19224.181640625,,PRUNED
5,19223.91796875,2026-02-24 05:24:06.979079,2026-02-24 05:24:09.134752,0 days 00:00:02.155673,0.2,32,0.0003023795012558478,96,,19223.91796875,,PRUNED
6,19219.4765625,2026-02-24 05:24:09.135462,2026-02-24 05:24:11.794146,0 days 00:00:02.658684,0.2,96,0.002869139536545374,96,"{'MAE_15m': 18951.001953125, 'RMSE_15m': 19585.217282430134, 'sMAPE_15m': 199.8955054954208, 'R2_15m': -14.694536904063586, 'MAE_30m': 19487.951171875, 'RMSE_30m': 20313.445399537715, 'sMAPE_30m': 199.8941930088802, 'R2_30m': -11.55888816034457, 'MAE_avg': 19219.4765625, 'RMSE_avg': 19949.331340983925, 'sMAPE_avg': 199.8948492521505, 'R2_avg': -13.126712532204078}",19219.4765625,,COMPLETE
7,19223.607421875,2026-02-24 05:24:11.794855,2026-02-24 05:24:14.690846,0 days 00:00:02.895991,0.0,32,0.0001483039268456802,32,,19223.607421875,,PRUNED
8,19223.701171875,2026-02-24 05:24:14.691511,2026-02-24 05:24:16.885348,0 days 00:00:02.193837,0.3,32,0.0004983319160125723,96,,19223.701171875,,PRUNED
9,19223.9375,2026-02-24 05:24:16.885966,2026-02-24 05:24:19.044942,0 days 00:00:02.158976,0.0,96,0.00014433402406338895,64,,19223.9375,,PRUNED
