number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,19215.5771484375,2026-02-24 05:23:28.441149,2026-02-24 05:23:31.390354,0 days 00:00:02.949205,0.0,0.00190303683817358,2,64,"{'MAE_15m': 18947.4921875, 'RMSE_15m': 19581.824225541397, 'sMAPE_15m': 199.81547215513731, 'R2_15m': -14.689099855536877, 'MAE_30m': 19483.662109375, 'RMSE_30m': 20309.33657212859, 'sMAPE_30m': 199.79769233254692, 'R2_30m': -11.553808842592142, 'MAE_avg': 19215.5771484375, 'RMSE_avg': 19945.580398834994, 'sMAPE_avg': 199.80658224384212, 'R2_avg': -13.12145434906451}",19222.23828125,19219.0234375,COMPLETE
1,19224.189453125,2026-02-24 05:23:31.391067,2026-02-24 05:23:33.522870,0 days 00:00:02.131803,0.0,0.00018659959624904942,2,64,,19224.189453125,,PRUNED
2,19223.837890625,2026-02-24 05:23:33.523448,2026-02-24 05:23:35.668918,0 days 00:00:02.145470,0.0,0.0003476649150592621,1,64,,19223.837890625,,PRUNED
3,19224.130859375,2026-02-24 05:23:35.669515,2026-02-24 05:23:37.961755,0 days 00:00:02.292240,0.3,0.0001786013788939711,2,64,,19224.130859375,,PRUNED
4,19223.58984375,2026-02-24 05:23:37.962344,2026-02-24 05:23:40.193613,0 days 00:00:02.231269,0.3,0.00044684675025045853,2,96,,19223.58984375,,PRUNED
5,19221.5234375,2026-02-24 05:23:40.194192,2026-02-24 05:23:42.626140,0 days 00:00:02.431948,0.2,0.000586412916969653,2,64,,19223.107421875,19221.5234375,PRUNED
6,19213.9912109375,2026-02-24 05:23:42.626721,2026-02-24 05:23:46.105609,0 days 00:00:03.478888,0.0,0.002299958642814372,2,96,"{'MAE_15m': 18945.181640625, 'RMSE_15m': 19579.568943161135, 'sMAPE_15m': 199.76378262714354, 'R2_15m': -14.685485065596923, 'MAE_30m': 19482.80078125, 'RMSE_30m': 20308.51171307243, 'sMAPE_30m': 199.7783317419532, 'R2_30m': -11.552789211648756, 'MAE_avg': 19213.9912109375, 'RMSE_avg': 19944.040328116782, 'sMAPE_avg': 199.77105718454837, 'R2_avg': -13.11913713862284}",19219.482421875,19214.314453125,COMPLETE
7,19223.853515625,2026-02-24 05:23:46.106348,2026-02-24 05:23:47.441480,0 days 00:00:01.335132,0.3,0.0003364867144187955,1,64,,19223.853515625,,PRUNED
8,19223.962890625,2026-02-24 05:23:47.442075,2026-02-24 05:23:49.671676,0 days 00:00:02.229601,0.2,0.00019657448966046135,2,64,,19223.962890625,,PRUNED
9,19224.150390625,2026-02-24 05:23:49.672268,2026-02-24 05:23:51.866971,0 days 00:00:02.194703,0.0,0.0001483039268456802,2,64,,19224.150390625,,PRUNED
