number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,4609.629150390625,2026-04-03 02:14:22.223626,2026-04-03 02:14:24.319257,0 days 00:00:02.095631,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[59, 50]","{'MAE_15m': 4205.92724609375, 'RMSE_15m': 6293.265289180173, 'sMAPE_15m': 91.62191492914292, 'R2_15m': 0.6371655471126347, 'MAE_30m': 5013.3310546875, 'RMSE_30m': 7237.608444783401, 'sMAPE_30m': 100.10679526188828, 'R2_30m': 0.5196762832039143, 'MAE_avg': 4609.629150390625, 'RMSE_avg': 6765.436866981787, 'sMAPE_avg': 95.8643550955156, 'R2_avg': 0.5784209151582745}",COMPLETE
1,4317.64013671875,2026-04-03 02:14:24.322112,2026-04-03 02:14:28.533955,0 days 00:00:04.211843,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[494, 501]","{'MAE_15m': 3997.78662109375, 'RMSE_15m': 6061.820188689203, 'sMAPE_15m': 94.38876304043214, 'R2_15m': 0.6633624586691831, 'MAE_30m': 4637.49365234375, 'RMSE_30m': 6876.178589885519, 'sMAPE_30m': 98.34936094864413, 'R2_30m': 0.5664510962189349, 'MAE_avg': 4317.64013671875, 'RMSE_avg': 6468.999389287361, 'sMAPE_avg': 96.36906199453813, 'R2_avg': 0.614906777444059}",COMPLETE
2,4277.406005859375,2026-04-03 02:14:28.535623,2026-04-03 02:14:30.714724,0 days 00:00:02.179101,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[134, 119]","{'MAE_15m': 3987.06298828125, 'RMSE_15m': 6065.512014661252, 'sMAPE_15m': 94.78793654385984, 'R2_15m': 0.662952308425816, 'MAE_30m': 4567.7490234375, 'RMSE_30m': 6760.16774939794, 'sMAPE_30m': 99.23644662301764, 'R2_30m': 0.5809568050194898, 'MAE_avg': 4277.406005859375, 'RMSE_avg': 6412.839882029595, 'sMAPE_avg': 97.01219158343875, 'R2_avg': 0.6219545567226529}",COMPLETE
3,4397.4869384765625,2026-04-03 02:14:30.716410,2026-04-03 02:14:33.929273,0 days 00:00:03.212863,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[287, 249]","{'MAE_15m': 4081.610595703125, 'RMSE_15m': 6148.978126485734, 'sMAPE_15m': 93.89134953891399, 'R2_15m': 0.6536124089599642, 'MAE_30m': 4713.36328125, 'RMSE_30m': 6931.510946395454, 'sMAPE_30m': 100.3963136602409, 'R2_30m': 0.5594455161710836, 'MAE_avg': 4397.4869384765625, 'RMSE_avg': 6540.244536440594, 'sMAPE_avg': 97.14383159957745, 'R2_avg': 0.6065289625655239}",COMPLETE
4,4250.0406494140625,2026-04-03 02:14:33.935980,2026-04-03 02:14:35.823292,0 days 00:00:01.887312,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[28, 19]","{'MAE_15m': 3926.167724609375, 'RMSE_15m': 6032.949527387081, 'sMAPE_15m': 90.13149707637628, 'R2_15m': 0.6665614710205614, 'MAE_30m': 4573.91357421875, 'RMSE_30m': 6850.214011255414, 'sMAPE_30m': 99.7918639601044, 'R2_30m': 0.56971909294036, 'MAE_avg': 4250.0406494140625, 'RMSE_avg': 6441.5817693212475, 'sMAPE_avg': 94.96168051824034, 'R2_avg': 0.6181402819804607}",COMPLETE
5,4811.6533203125,2026-04-03 02:14:35.828436,2026-04-03 02:14:38.146202,0 days 00:00:02.317766,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 4552.72705078125, 'RMSE_15m': 6446.867146141605, 'sMAPE_15m': 101.16867458261756, 'R2_15m': 0.6192377142051524, 'MAE_30m': 5070.57958984375, 'RMSE_30m': 7088.778738259503, 'sMAPE_30m': 103.542770065419, 'R2_30m': 0.5392273749863132, 'MAE_avg': 4811.6533203125, 'RMSE_avg': 6767.822942200554, 'sMAPE_avg': 102.35572232401827, 'R2_avg': 0.5792325445957328}",COMPLETE
6,4182.515625,2026-04-03 02:14:38.151870,2026-04-03 02:14:40.016805,0 days 00:00:01.864935,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[82, 71]","{'MAE_15m': 3909.67529296875, 'RMSE_15m': 6020.07774036183, 'sMAPE_15m': 93.90997708510113, 'R2_15m': 0.6679827747417922, 'MAE_30m': 4455.35595703125, 'RMSE_30m': 6734.570513403211, 'sMAPE_30m': 99.56964593194229, 'R2_30m': 0.5841242431755398, 'MAE_avg': 4182.515625, 'RMSE_avg': 6377.32412688252, 'sMAPE_avg': 96.73981150852171, 'R2_avg': 0.6260535089586661}",COMPLETE
7,4963.424072265625,2026-04-03 02:14:40.024026,2026-04-03 02:14:42.290722,0 days 00:00:02.266696,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 4744.38037109375, 'RMSE_15m': 6702.745407666921, 'sMAPE_15m': 102.44041471466684, 'R2_15m': 0.5884127605983093, 'MAE_30m': 5182.4677734375, 'RMSE_30m': 7236.2672698014685, 'sMAPE_30m': 104.23057654368448, 'R2_30m': 0.5198542572088707, 'MAE_avg': 4963.424072265625, 'RMSE_avg': 6969.506338734194, 'sMAPE_avg': 103.33549562917565, 'R2_avg': 0.5541335089035899}",COMPLETE
8,4299.7568359375,2026-04-03 02:14:42.292321,2026-04-03 02:14:45.382669,0 days 00:00:03.090348,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[398, 322]","{'MAE_15m': 3926.390625, 'RMSE_15m': 6022.369633292198, 'sMAPE_15m': 90.94401927514801, 'R2_15m': 0.6677298726250175, 'MAE_30m': 4673.123046875, 'RMSE_30m': 6914.153888944041, 'sMAPE_30m': 97.85084723023817, 'R2_30m': 0.5616490510724907, 'MAE_avg': 4299.7568359375, 'RMSE_avg': 6468.2617611181195, 'sMAPE_avg': 94.39743325269309, 'R2_avg': 0.6146894618487542}",COMPLETE
9,4488.02490234375,2026-04-03 02:14:45.384471,2026-04-03 02:14:47.704124,0 days 00:00:02.319653,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[80, 43]","{'MAE_15m': 4122.08056640625, 'RMSE_15m': 6243.2978464910675, 'sMAPE_15m': 84.48215324822877, 'R2_15m': 0.6429043723926067, 'MAE_30m': 4853.96923828125, 'RMSE_30m': 7081.042861048081, 'sMAPE_30m': 101.69199700951148, 'R2_30m': 0.5402324041053573, 'MAE_avg': 4488.02490234375, 'RMSE_avg': 6662.170353769574, 'sMAPE_avg': 93.08707512887013, 'R2_avg': 0.591568388248982}",COMPLETE
