number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,145870.125,2026-02-24 05:25:56.342760,2026-02-24 05:25:57.375795,0 days 00:00:01.033035,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 145648.59375, 'RMSE_15m': 145660.99118157887, 'sMAPE_15m': 199.96113788841683, 'R2_15m': -5902.1849267240395, 'MAE_30m': 146091.65625, 'RMSE_30m': 146103.0150544471, 'sMAPE_30m': 199.9692572924586, 'R2_30m': -6451.087994740668, 'MAE_avg': 145870.125, 'RMSE_avg': 145882.00311801297, 'sMAPE_avg': 199.9651975904377, 'R2_avg': -6176.636460732354}",145881.328125,145878.546875,COMPLETE
1,145882.46875,2026-02-24 05:25:57.376549,2026-02-24 05:25:57.926051,0 days 00:00:00.549502,0.2,64,3,0.0002692655251486473,,145882.46875,,PRUNED
2,145882.4375,2026-02-24 05:25:57.926679,2026-02-24 05:25:58.476559,0 days 00:00:00.549880,0.3,32,7,0.000117115099555241,,145882.4375,,PRUNED
3,145882.421875,2026-02-24 05:25:58.477152,2026-02-24 05:25:59.023363,0 days 00:00:00.546211,0.3,32,5,0.00044684675025045853,,145882.421875,,PRUNED
4,145882.640625,2026-02-24 05:25:59.023970,2026-02-24 05:25:59.567854,0 days 00:00:00.543884,0.3,64,3,0.00018752209455786411,,145882.640625,,PRUNED
5,145882.484375,2026-02-24 05:25:59.568511,2026-02-24 05:26:00.130833,0 days 00:00:00.562322,0.2,32,7,0.0003023795012558478,,145882.484375,,PRUNED
6,145238.140625,2026-02-24 05:26:00.131436,2026-02-24 05:26:01.168784,0 days 00:00:01.037348,0.2,96,7,0.002869139536545374,"{'MAE_15m': 144942.609375, 'RMSE_15m': 144961.00308703718, 'sMAPE_15m': 198.0247519259894, 'R2_15m': -5845.584229487884, 'MAE_30m': 145533.671875, 'RMSE_30m': 145548.95984513251, 'sMAPE_30m': 198.44256509511715, 'R2_30m': -6402.2450459658, 'MAE_avg': 145238.140625, 'RMSE_avg': 145254.98146608484, 'sMAPE_avg': 198.23365851055325, 'R2_avg': -6123.914637726843}",145869.453125,145773.515625,COMPLETE
7,145882.3125,2026-02-24 05:26:01.169823,2026-02-24 05:26:01.688054,0 days 00:00:00.518231,0.0,32,3,0.0001483039268456802,,145882.3125,,PRUNED
8,145881.5625,2026-02-24 05:26:01.688652,2026-02-24 05:26:02.407135,0 days 00:00:00.718483,0.3,32,7,0.0004983319160125723,,145882.3125,145881.5625,PRUNED
9,145881.40625,2026-02-24 05:26:02.407800,2026-02-24 05:26:03.093074,0 days 00:00:00.685274,0.0,96,5,0.00014433402406338895,,145882.15625,145881.40625,PRUNED
