number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,145879.109375,2026-02-24 05:25:28.546403,2026-02-24 05:25:31.562969,0 days 00:00:03.016566,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 145659.0, 'RMSE_15m': 145671.33900668312, 'sMAPE_15m': 199.9898661769756, 'R2_15m': -5903.023893769052, 'MAE_30m': 146099.21875, 'RMSE_30m': 146110.53525328008, 'sMAPE_30m': 199.9899915165809, 'R2_30m': -6451.751820255457, 'MAE_avg': 145879.109375, 'RMSE_avg': 145890.93712998158, 'sMAPE_avg': 199.98992884677824, 'R2_avg': -6177.387857012254}",145882.40625,145881.265625,COMPLETE
1,145882.8125,2026-02-24 05:25:31.563823,2026-02-24 05:25:34.264968,0 days 00:00:02.701145,0.2,64,0.0002692655251486473,32,,145882.8125,,PRUNED
2,145882.8125,2026-02-24 05:25:34.265607,2026-02-24 05:25:36.471858,0 days 00:00:02.206251,0.3,32,0.000117115099555241,96,,145882.8125,,PRUNED
3,145881.9375,2026-02-24 05:25:36.472474,2026-02-24 05:25:38.880358,0 days 00:00:02.407884,0.3,32,0.00044684675025045853,64,,145882.375,145881.9375,PRUNED
4,145882.890625,2026-02-24 05:25:38.880984,2026-02-24 05:25:41.082234,0 days 00:00:02.201250,0.3,64,0.00018752209455786411,32,,145882.890625,,PRUNED
5,145882.5625,2026-02-24 05:25:41.082838,2026-02-24 05:25:43.230458,0 days 00:00:02.147620,0.2,32,0.0003023795012558478,96,,145882.5625,,PRUNED
6,145867.484375,2026-02-24 05:25:43.231115,2026-02-24 05:25:46.941862,0 days 00:00:03.710747,0.2,96,0.002869139536545374,96,"{'MAE_15m': 145647.578125, 'RMSE_15m': 145659.92261428674, 'sMAPE_15m': 199.95849798488175, 'R2_15m': -5902.09831565345, 'MAE_30m': 146087.390625, 'RMSE_30m': 146098.72563441476, 'sMAPE_30m': 199.95762882650303, 'R2_30m': -6450.708529206061, 'MAE_avg': 145867.484375, 'RMSE_avg': 145879.32412435074, 'sMAPE_avg': 199.95806340569237, 'R2_avg': -6176.403422429756}",145878.359375,145871.9375,COMPLETE
7,145882.875,2026-02-24 05:25:46.942641,2026-02-24 05:25:49.121722,0 days 00:00:02.179081,0.0,32,0.0001483039268456802,32,,145882.875,,PRUNED
8,145882.703125,2026-02-24 05:25:49.122358,2026-02-24 05:25:51.351914,0 days 00:00:02.229556,0.3,32,0.0004983319160125723,96,,145882.703125,,PRUNED
9,145882.765625,2026-02-24 05:25:51.352547,2026-02-24 05:25:53.509458,0 days 00:00:02.156911,0.0,96,0.00014433402406338895,64,,145882.765625,,PRUNED
