number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,145874.3125,2026-02-24 05:25:02.418559,2026-02-24 05:25:06.222981,0 days 00:00:03.804422,0.0,0.00190303683817358,2,64,"{'MAE_15m': 145653.1875, 'RMSE_15m': 145665.53250511942, 'sMAPE_15m': 199.97391638354875, 'R2_15m': -5902.552868371405, 'MAE_30m': 146095.4375, 'RMSE_30m': 146106.76468938732, 'sMAPE_30m': 199.97967757431758, 'R2_30m': -6451.4191196413985, 'MAE_avg': 145874.3125, 'RMSE_avg': 145886.14859725337, 'sMAPE_avg': 199.97679697893318, 'R2_avg': -6176.985994006402}",145881.265625,145877.484375,COMPLETE
1,145882.75,2026-02-24 05:25:06.223780,2026-02-24 05:25:08.398410,0 days 00:00:02.174630,0.0,0.00018659959624904942,2,64,,145882.75,,PRUNED
2,145882.359375,2026-02-24 05:25:08.399065,2026-02-24 05:25:09.700246,0 days 00:00:01.301181,0.0,0.0003476649150592621,1,64,,145882.359375,,PRUNED
3,145882.828125,2026-02-24 05:25:09.700866,2026-02-24 05:25:11.921798,0 days 00:00:02.220932,0.3,0.0001786013788939711,2,64,,145882.828125,,PRUNED
4,145882.5,2026-02-24 05:25:11.922452,2026-02-24 05:25:14.731868,0 days 00:00:02.809416,0.3,0.00044684675025045853,2,96,,145882.5,,PRUNED
5,145882.53125,2026-02-24 05:25:14.732457,2026-02-24 05:25:16.961482,0 days 00:00:02.229025,0.2,0.000586412916969653,2,64,,145882.53125,,PRUNED
6,145868.8515625,2026-02-24 05:25:16.962186,2026-02-24 05:25:19.970731,0 days 00:00:03.008545,0.0,0.002299958642814372,2,96,"{'MAE_15m': 145647.5625, 'RMSE_15m': 145659.9155842128, 'sMAPE_15m': 199.95847044607734, 'R2_15m': -5902.0971760341, 'MAE_30m': 146090.140625, 'RMSE_30m': 146101.4661117403, 'sMAPE_30m': 199.96517217383825, 'R2_30m': -6450.951414160438, 'MAE_avg': 145868.8515625, 'RMSE_avg': 145880.69084797654, 'sMAPE_avg': 199.9618213099578, 'R2_avg': -6176.524295097269}",145879.09375,145872.625,COMPLETE
7,145882.53125,2026-02-24 05:25:19.971479,2026-02-24 05:25:21.284176,0 days 00:00:01.312697,0.3,0.0003364867144187955,1,64,,145882.53125,,PRUNED
8,145882.5625,2026-02-24 05:25:21.284776,2026-02-24 05:25:23.459252,0 days 00:00:02.174476,0.2,0.00019657448966046135,2,64,,145882.5625,,PRUNED
9,145882.65625,2026-02-24 05:25:23.460046,2026-02-24 05:25:26.286446,0 days 00:00:02.826400,0.0,0.0001483039268456802,2,64,,145882.65625,,PRUNED
