number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,145881.6875,2026-02-24 05:26:03.638984,2026-02-24 05:26:05.699065,0 days 00:00:02.060081,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 145661.6875, 'RMSE_15m': 145674.01723025282, 'sMAPE_15m': 199.99721841057388, 'R2_15m': -5903.24093945432, 'MAE_30m': 146101.6875, 'RMSE_30m': 146113.02321148515, 'sMAPE_30m': 199.99680104480794, 'R2_30m': -6451.971632264677, 'MAE_avg': 145881.6875, 'RMSE_avg': 145893.520220869, 'sMAPE_avg': 199.9970097276909, 'R2_avg': -6177.606285859499}",145882.734375,145882.40625,COMPLETE
1,145880.5,2026-02-24 05:26:05.699895,2026-02-24 05:26:08.229898,0 days 00:00:02.530003,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 145660.09375, 'RMSE_15m': 145672.42857864354, 'sMAPE_15m': 199.99283223972523, 'R2_15m': -5903.111540857232, 'MAE_30m': 146100.90625, 'RMSE_30m': 146112.21725783235, 'sMAPE_30m': 199.9946217860653, 'R2_30m': -6451.901287919688, 'MAE_avg': 145880.5, 'RMSE_avg': 145892.32291823794, 'sMAPE_avg': 199.99372701289525, 'R2_avg': -6177.50641438846}",145882.5,145881.875,COMPLETE
2,145881.890625,2026-02-24 05:26:08.230746,2026-02-24 05:26:09.895867,0 days 00:00:01.665121,0.3,32,5,0.00024112898115291975,lstm,96,,145882.4375,145881.890625,PRUNED
3,145879.6171875,2026-02-24 05:26:09.896480,2026-02-24 05:26:11.975658,0 days 00:00:02.079178,0.2,32,7,0.0003023795012558478,gru,64,"{'MAE_15m': 145660.109375, 'RMSE_15m': 145672.4426375833, 'sMAPE_15m': 199.99285729751685, 'R2_15m': -5903.113094883618, 'MAE_30m': 146099.125, 'RMSE_30m': 146110.44414414733, 'sMAPE_30m': 199.98973295751696, 'R2_30m': -6451.74461699453, 'MAE_avg': 145879.6171875, 'RMSE_avg': 145891.44339086532, 'sMAPE_avg': 199.9912951275169, 'R2_avg': -6177.428855939073}",145882.265625,145881.4375,COMPLETE
4,145874.5859375,2026-02-24 05:26:11.976614,2026-02-24 05:26:14.165998,0 days 00:00:02.189384,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 145655.265625, 'RMSE_15m': 145667.59925254484, 'sMAPE_15m': 199.97958327885408, 'R2_15m': -5902.720185212315, 'MAE_30m': 146093.90625, 'RMSE_30m': 146105.22980372742, 'sMAPE_30m': 199.9754661133737, 'R2_30m': -6451.2829329895, 'MAE_avg': 145874.5859375, 'RMSE_avg': 145886.41452813614, 'sMAPE_avg': 199.9775246961139, 'R2_avg': -6177.001559100908}",145880.234375,145876.984375,COMPLETE
5,145877.1953125,2026-02-24 05:26:14.166846,2026-02-24 05:26:16.209406,0 days 00:00:02.042560,0.3,64,7,0.0004983319160125723,gru,32,"{'MAE_15m': 145657.34375, 'RMSE_15m': 145669.6730002508, 'sMAPE_15m': 199.98527402699315, 'R2_15m': -5902.8883308672985, 'MAE_30m': 146097.046875, 'RMSE_30m': 146108.3766524014, 'sMAPE_30m': 199.98408922209273, 'R2_30m': -6451.561496595656, 'MAE_avg': 145877.1953125, 'RMSE_avg': 145889.02482632612, 'sMAPE_avg': 199.98468162454293, 'R2_avg': -6177.2249137314775}",145881.140625,145878.65625,COMPLETE
6,145877.078125,2026-02-24 05:26:16.210187,2026-02-24 05:26:18.244421,0 days 00:00:02.034234,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 145658.421875, 'RMSE_15m': 145670.76961422287, 'sMAPE_15m': 199.9882689687064, 'R2_15m': -5902.977169375708, 'MAE_30m': 146095.734375, 'RMSE_30m': 146107.0520406185, 'sMAPE_30m': 199.9804662286768, 'R2_30m': -6451.443993401786, 'MAE_avg': 145877.078125, 'RMSE_avg': 145888.91082742068, 'sMAPE_avg': 199.9843675986916, 'R2_avg': -6177.210581388747}",145880.484375,145878.25,COMPLETE
7,145880.734375,2026-02-24 05:26:18.245167,2026-02-24 05:26:19.626458,0 days 00:00:01.381291,0.3,96,7,0.0006261435181296009,gru,64,,145880.734375,,PRUNED
8,145872.625,2026-02-24 05:26:19.627065,2026-02-24 05:26:22.414053,0 days 00:00:02.786988,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 145653.171875, 'RMSE_15m': 145665.51141570884, 'sMAPE_15m': 199.9738844516825, 'R2_15m': -5902.551625150296, 'MAE_30m': 146092.078125, 'RMSE_30m': 146103.40754410898, 'sMAPE_30m': 199.97048686306167, 'R2_30m': -6451.122435331974, 'MAE_avg': 145872.625, 'RMSE_avg': 145884.45947990892, 'sMAPE_avg': 199.97218565737208, 'R2_avg': -6176.837030241135}",145878.96875,145875.0625,COMPLETE
9,145882.125,2026-02-24 05:26:22.415011,2026-02-24 05:26:23.833355,0 days 00:00:01.418344,0.0,96,5,0.00025798509464504095,lstm,64,,145882.125,,PRUNED
