number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,5580.72509765625,2026-02-24 05:24:48.811599,2026-02-24 05:24:49.205849,0 days 00:00:00.394250,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,2296.442138671875,2026-02-24 05:24:49.206794,2026-02-24 05:24:49.884555,0 days 00:00:00.677761,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,4748.166015625,2026-02-24 05:24:49.885463,2026-02-24 05:24:50.185794,0 days 00:00:00.300331,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,1787.717529296875,2026-02-24 05:24:50.186732,2026-02-24 05:24:50.772809,0 days 00:00:00.586077,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,7039.58447265625,2026-02-24 05:24:50.773776,2026-02-24 05:24:50.963877,0 days 00:00:00.190101,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,2154.4306640625,2026-02-24 05:24:50.964774,2026-02-24 05:24:51.082603,0 days 00:00:00.117829,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,5937.7001953125,2026-02-24 05:24:51.083483,2026-02-24 05:24:51.509151,0 days 00:00:00.425668,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,2759.341796875,2026-02-24 05:24:51.510165,2026-02-24 05:24:51.616709,0 days 00:00:00.106544,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,10512.46875,2026-02-24 05:24:51.617910,2026-02-24 05:24:51.882644,0 days 00:00:00.264734,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,4205.33984375,2026-02-24 05:24:51.883542,2026-02-24 05:24:52.114856,0 days 00:00:00.231314,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,4683.50341796875,2026-02-24 05:24:52.115749,2026-02-24 05:24:52.688144,0 days 00:00:00.572395,0.8262452362725613,0.05926297805822667,0.02513734458845407,2,5,1200,14.73099293843444,0.6071847502459278,COMPLETE
11,4753.47265625,2026-02-24 05:24:52.689109,2026-02-24 05:24:53.509948,0 days 00:00:00.820839,0.7230097336463073,3.3600485962519815,0.020896457811307948,6,7,1200,0.3293275784857585,0.7759796818113129,COMPLETE
12,1839.2265625,2026-02-24 05:24:53.510956,2026-02-24 05:24:53.885082,0 days 00:00:00.374126,0.7778468359926696,3.263406001124904,0.019693101176220813,4,6,600,0.35254128784755845,0.9800193934084405,COMPLETE
13,2374.107421875,2026-02-24 05:24:53.886010,2026-02-24 05:24:54.271764,0 days 00:00:00.385754,0.7886369489536518,3.4578816082688038,0.035297421594485935,4,5,600,0.560206200259608,0.8212663057499048,COMPLETE
14,7522.900390625,2026-02-24 05:24:54.272696,2026-02-24 05:24:55.031729,0 days 00:00:00.759033,0.8614621782213585,3.0489343495222423,0.02069060669194067,7,7,1000,0.3245973094507874,0.6341493886788573,COMPLETE
15,4863.94287109375,2026-02-24 05:24:55.032689,2026-02-24 05:24:55.429291,0 days 00:00:00.396602,0.7889287846668807,3.973226820560444,0.053335174222032634,4,4,600,1.2358447039349658,0.6736169086864525,COMPLETE
16,2155.01611328125,2026-02-24 05:24:55.430204,2026-02-24 05:24:55.721574,0 days 00:00:00.291370,0.8900373654046985,1.3752031840619197,0.016560343361708724,6,6,400,3.293504393062753,0.8453367610552851,COMPLETE
17,6910.34521484375,2026-02-24 05:24:55.722517,2026-02-24 05:24:56.235061,0 days 00:00:00.512544,0.8004327258051472,2.5198593412731074,0.02901886208831493,4,8,800,9.367769126018466,0.7693837009565476,COMPLETE
18,1482.799560546875,2026-02-24 05:24:56.236008,2026-02-24 05:24:57.136248,0 days 00:00:00.900240,0.992709667441358,4.897830721424661,0.047895195647455306,7,4,1000,0.7830078939168408,0.8667937276734425,COMPLETE
19,2553.28564453125,2026-02-24 05:24:57.137366,2026-02-24 05:24:58.024593,0 days 00:00:00.887227,0.9661327784837588,4.038625067232287,0.05618990727743405,7,4,1000,1.822110293717707,0.8816025984102611,COMPLETE
20,4851.4140625,2026-02-24 05:24:58.025664,2026-02-24 05:24:58.820646,0 days 00:00:00.794982,0.9965108784574399,0.2704235079378391,0.08682747180033905,8,2,1000,0.8674225292203634,0.7900599353071438,COMPLETE
21,2586.81640625,2026-02-24 05:24:58.821557,2026-02-24 05:24:59.340633,0 days 00:00:00.519076,0.9279468950476335,4.806033348998107,0.04048142453926041,7,6,600,0.21586050117149752,0.8646472467852575,COMPLETE
22,1561.90625,2026-02-24 05:24:59.341565,2026-02-24 05:25:00.055525,0 days 00:00:00.713960,0.8738445964974808,3.0432509362745837,0.015626105179470207,6,4,800,0.5285764690361404,0.9476077563455207,COMPLETE
23,1458.925048828125,2026-02-24 05:25:00.056442,2026-02-24 05:25:00.842005,0 days 00:00:00.785563,0.8749105531908286,4.947306277660575,0.01372401531709809,6,4,1000,0.5316904194500706,0.9514508026332132,COMPLETE
24,1416.494873046875,2026-02-24 05:25:00.842991,2026-02-24 05:25:01.661114,0 days 00:00:00.818123,0.8866319736364462,4.979812555340124,0.013873918534603936,6,4,1000,0.6733467055241452,0.9379958902620493,COMPLETE
