number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,13951.67724609375,2026-02-24 05:27:28.798751,2026-02-24 05:27:29.811637,0 days 00:00:01.012886,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 13540.869140625, 'RMSE_15m': 13737.01859939048, 'sMAPE_15m': 199.47161795625553, 'R2_15m': -34.3477251399282, 'MAE_30m': 14362.4853515625, 'RMSE_30m': 14546.18300448609, 'sMAPE_30m': 199.55799362067546, 'R2_30m': -38.89242622001794, 'MAE_avg': 13951.67724609375, 'RMSE_avg': 14141.600801938286, 'sMAPE_avg': 199.51480578846548, 'R2_avg': -36.62007567997307}",13966.8564453125,13963.478515625,COMPLETE
1,13967.505859375,2026-02-24 05:27:29.812340,2026-02-24 05:27:30.349569,0 days 00:00:00.537229,0.2,64,3,0.0002692655251486473,,13967.505859375,,PRUNED
2,13967.73046875,2026-02-24 05:27:30.350117,2026-02-24 05:27:30.884282,0 days 00:00:00.534165,0.3,32,7,0.000117115099555241,,13967.73046875,,PRUNED
3,13967.3974609375,2026-02-24 05:27:30.884857,2026-02-24 05:27:31.433878,0 days 00:00:00.549021,0.3,32,5,0.00044684675025045853,,13967.3974609375,,PRUNED
4,13967.75,2026-02-24 05:27:31.434433,2026-02-24 05:27:31.982587,0 days 00:00:00.548154,0.3,64,3,0.00018752209455786411,,13967.75,,PRUNED
5,13967.421875,2026-02-24 05:27:31.983149,2026-02-24 05:27:32.524656,0 days 00:00:00.541507,0.2,32,7,0.0003023795012558478,,13967.421875,,PRUNED
6,12548.83447265625,2026-02-24 05:27:32.525225,2026-02-24 05:27:34.156132,0 days 00:00:01.630907,0.2,96,7,0.002869139536545374,"{'MAE_15m': 12126.6064453125, 'RMSE_15m': 12424.246616998553, 'sMAPE_15m': 160.9388621534009, 'R2_15m': -27.914561259257418, 'MAE_30m': 12971.0625, 'RMSE_30m': 13222.311446944517, 'sMAPE_30m': 163.90091643556417, 'R2_30m': -31.961515104272287, 'MAE_avg': 12548.83447265625, 'RMSE_avg': 12823.279031971535, 'sMAPE_avg': 162.41988929448252, 'R2_avg': -29.938038181764853}",13937.646484375,13714.8818359375,COMPLETE
7,13967.46484375,2026-02-24 05:27:34.156989,2026-02-24 05:27:34.699762,0 days 00:00:00.542773,0.0,32,3,0.0001483039268456802,,13967.46484375,,PRUNED
8,13966.162109375,2026-02-24 05:27:34.700354,2026-02-24 05:27:35.433584,0 days 00:00:00.733230,0.3,32,7,0.0004983319160125723,,13967.318359375,13966.162109375,PRUNED
9,13966.462890625,2026-02-24 05:27:35.434167,2026-02-24 05:27:36.138848,0 days 00:00:00.704681,0.0,96,5,0.00014433402406338895,,13967.259765625,13966.462890625,PRUNED
