number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,13965.09912109375,2026-02-24 05:27:01.843233,2026-02-24 05:27:04.835270,0 days 00:00:02.992037,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 13555.74609375, 'RMSE_15m': 13751.247797927284, 'sMAPE_15m': 199.933974865628, 'R2_15m': -34.42099212590763, 'MAE_30m': 14374.4521484375, 'RMSE_30m': 14557.779501009074, 'sMAPE_30m': 199.9033313225663, 'R2_30m': -38.95606115888935, 'MAE_avg': 13965.09912109375, 'RMSE_avg': 14154.51364946818, 'sMAPE_avg': 199.91865309409712, 'R2_avg': -36.688526642398486}",13967.48828125,13966.380859375,COMPLETE
1,13967.5341796875,2026-02-24 05:27:04.836068,2026-02-24 05:27:07.029212,0 days 00:00:02.193144,0.2,64,0.0002692655251486473,32,,13967.5341796875,,PRUNED
2,13967.7666015625,2026-02-24 05:27:07.029845,2026-02-24 05:27:09.220901,0 days 00:00:02.191056,0.3,32,0.000117115099555241,96,,13967.7666015625,,PRUNED
3,13967.7529296875,2026-02-24 05:27:09.221541,2026-02-24 05:27:12.035920,0 days 00:00:02.814379,0.3,32,0.00044684675025045853,64,,13967.7529296875,,PRUNED
4,13968.041015625,2026-02-24 05:27:12.036547,2026-02-24 05:27:14.255518,0 days 00:00:02.218971,0.3,64,0.00018752209455786411,32,,13968.041015625,,PRUNED
5,13967.78125,2026-02-24 05:27:14.256287,2026-02-24 05:27:16.452724,0 days 00:00:02.196437,0.2,32,0.0003023795012558478,96,,13967.78125,,PRUNED
6,13953.123046875,2026-02-24 05:27:16.453376,2026-02-24 05:27:19.454369,0 days 00:00:03.000993,0.2,96,0.002869139536545374,96,"{'MAE_15m': 13542.6591796875, 'RMSE_15m': 13738.346916568966, 'sMAPE_15m': 199.53844877543548, 'R2_15m': -34.354561450216686, 'MAE_30m': 14363.5869140625, 'RMSE_30m': 14547.04863537618, 'sMAPE_30m': 199.5940866310697, 'R2_30m': -38.897176346473614, 'MAE_avg': 13953.123046875, 'RMSE_avg': 14142.697775972574, 'sMAPE_avg': 199.5662677032526, 'R2_avg': -36.625868898345146}",13963.849609375,13957.6396484375,COMPLETE
7,13967.7939453125,2026-02-24 05:27:19.455125,2026-02-24 05:27:22.229819,0 days 00:00:02.774694,0.0,32,0.0001483039268456802,32,,13967.7939453125,,PRUNED
8,13967.8583984375,2026-02-24 05:27:22.230450,2026-02-24 05:27:24.463042,0 days 00:00:02.232592,0.3,32,0.0004983319160125723,96,,13967.8583984375,,PRUNED
9,13967.6591796875,2026-02-24 05:27:24.463656,2026-02-24 05:27:26.605136,0 days 00:00:02.141480,0.0,96,0.00014433402406338895,64,,13967.6591796875,,PRUNED
