number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,13958.63818359375,2026-02-24 05:26:35.740140,2026-02-24 05:26:38.782494,0 days 00:00:03.042354,0.0,0.00190303683817358,2,64,"{'MAE_15m': 13548.3193359375, 'RMSE_15m': 13743.926076634725, 'sMAPE_15m': 199.70942833600546, 'R2_15m': -34.38328425244105, 'MAE_30m': 14368.95703125, 'RMSE_30m': 14552.352936896494, 'sMAPE_30m': 199.74692847758558, 'R2_30m': -38.92627698983789, 'MAE_avg': 13958.63818359375, 'RMSE_avg': 14148.139506765609, 'sMAPE_avg': 199.7281784067955, 'R2_avg': -36.654780621139466}",13966.6474609375,13962.71875,COMPLETE
1,13967.7353515625,2026-02-24 05:26:38.783333,2026-02-24 05:26:40.929901,0 days 00:00:02.146568,0.0,0.00018659959624904942,2,64,,13967.7353515625,,PRUNED
2,13967.3818359375,2026-02-24 05:26:40.930464,2026-02-24 05:26:42.978655,0 days 00:00:02.048191,0.0,0.0003476649150592621,1,64,,13967.3818359375,,PRUNED
3,13967.7275390625,2026-02-24 05:26:42.979256,2026-02-24 05:26:45.268949,0 days 00:00:02.289693,0.3,0.0001786013788939711,2,64,,13967.7275390625,,PRUNED
4,13967.0751953125,2026-02-24 05:26:45.269566,2026-02-24 05:26:47.458692,0 days 00:00:02.189126,0.3,0.00044684675025045853,2,96,,13967.0751953125,,PRUNED
5,13967.4912109375,2026-02-24 05:26:47.459257,2026-02-24 05:26:49.692056,0 days 00:00:02.232799,0.2,0.000586412916969653,2,64,,13967.4912109375,,PRUNED
6,13954.86376953125,2026-02-24 05:26:49.692672,2026-02-24 05:26:53.328854,0 days 00:00:03.636182,0.0,0.002299958642814372,2,96,"{'MAE_15m': 13544.5400390625, 'RMSE_15m': 13740.200289660992, 'sMAPE_15m': 199.59522986878707, 'R2_15m': -34.36410274988558, 'MAE_30m': 14365.1875, 'RMSE_30m': 14548.63072594806, 'sMAPE_30m': 199.63967751302485, 'R2_30m': -38.90585746549224, 'MAE_avg': 13954.86376953125, 'RMSE_avg': 14144.415507804526, 'sMAPE_avg': 199.61745369090596, 'R2_avg': -36.63498010768891}",13964.4248046875,13958.6220703125,COMPLETE
7,13967.8291015625,2026-02-24 05:26:53.329625,2026-02-24 05:26:54.653681,0 days 00:00:01.324056,0.3,0.0003364867144187955,1,64,,13967.8291015625,,PRUNED
8,13967.744140625,2026-02-24 05:26:54.654245,2026-02-24 05:26:56.845481,0 days 00:00:02.191236,0.2,0.00019657448966046135,2,64,,13967.744140625,,PRUNED
9,13967.828125,2026-02-24 05:26:56.846094,2026-02-24 05:26:59.041370,0 days 00:00:02.195276,0.0,0.0001483039268456802,2,64,,13967.828125,,PRUNED
