number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,13965.99658203125,2026-02-24 05:27:36.708358,2026-02-24 05:27:38.771221,0 days 00:00:02.062863,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 13555.9189453125, 'RMSE_15m': 13751.421744677893, 'sMAPE_15m': 199.9390838286368, 'R2_15m': -34.421887704079815, 'MAE_30m': 14376.07421875, 'RMSE_30m': 14559.386800274247, 'sMAPE_30m': 199.94943491240477, 'R2_30m': -38.96488295942353, 'MAE_avg': 13965.99658203125, 'RMSE_avg': 14155.40427247607, 'sMAPE_avg': 199.9442593705208, 'R2_avg': -36.69338533175167}",13967.5166015625,13966.8818359375,COMPLETE
1,13964.20166015625,2026-02-24 05:27:38.772058,2026-02-24 05:27:40.849024,0 days 00:00:02.076966,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 13554.6162109375, 'RMSE_15m': 13750.162180861722, 'sMAPE_15m': 199.89912428670758, 'R2_15m': -34.41539837243516, 'MAE_30m': 14373.787109375, 'RMSE_30m': 14557.145874105954, 'sMAPE_30m': 199.88385101181086, 'R2_30m': -38.95257661760776, 'MAE_avg': 13964.20166015625, 'RMSE_avg': 14153.654027483837, 'sMAPE_avg': 199.8914876492592, 'R2_avg': -36.68398749502146}",13967.13671875,13966.00390625,COMPLETE
2,13967.671875,2026-02-24 05:27:40.849784,2026-02-24 05:27:42.280767,0 days 00:00:01.430983,0.3,32,5,0.00024112898115291975,lstm,96,,13967.671875,,PRUNED
3,13967.2978515625,2026-02-24 05:27:42.281426,2026-02-24 05:27:43.682949,0 days 00:00:01.401523,0.2,32,7,0.0003023795012558478,gru,64,,13967.2978515625,,PRUNED
4,13960.826171875,2026-02-24 05:27:43.683575,2026-02-24 05:27:45.811072,0 days 00:00:02.127497,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 13550.9033203125, 'RMSE_15m': 13746.473584159685, 'sMAPE_15m': 199.7875061039275, 'R2_15m': -34.39640118951264, 'MAE_30m': 14370.7490234375, 'RMSE_30m': 14554.122440051135, 'sMAPE_30m': 199.7979567186946, 'R2_30m': -38.935984699993924, 'MAE_avg': 13960.826171875, 'RMSE_avg': 14150.29801210541, 'sMAPE_avg': 199.79273141131105, 'R2_avg': -36.66619294475328}",13965.3212890625,13962.4248046875,COMPLETE
5,13967.1748046875,2026-02-24 05:27:45.811810,2026-02-24 05:27:47.807337,0 days 00:00:01.995527,0.3,64,7,0.0004983319160125723,gru,32,,13967.1748046875,,PRUNED
6,13961.11669921875,2026-02-24 05:27:47.807992,2026-02-24 05:27:49.880094,0 days 00:00:02.072102,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 13549.5029296875, 'RMSE_15m': 13745.092506054661, 'sMAPE_15m': 199.7452036988151, 'R2_15m': -34.389290238884165, 'MAE_30m': 14372.73046875, 'RMSE_30m': 14556.078592807886, 'sMAPE_30m': 199.8543583552693, 'R2_30m': -38.94672503441281, 'MAE_avg': 13961.11669921875, 'RMSE_avg': 14150.585549431275, 'sMAPE_avg': 199.7997810270422, 'R2_avg': -36.66800763664848}",13964.1533203125,13962.2021484375,COMPLETE
7,13960.3974609375,2026-02-24 05:27:49.880921,2026-02-24 05:27:51.967969,0 days 00:00:02.087048,0.3,96,7,0.0006261435181296009,gru,64,"{'MAE_15m': 13549.2197265625, 'RMSE_15m': 13744.809638550838, 'sMAPE_15m': 199.73678934880311, 'R2_15m': -34.38783162076893, 'MAE_30m': 14371.5751953125, 'RMSE_30m': 14554.940329661265, 'sMAPE_30m': 199.82142717812195, 'R2_30m': -38.94047444224098, 'MAE_avg': 13960.3974609375, 'RMSE_avg': 14149.874984106053, 'sMAPE_avg': 199.77910826346255, 'R2_avg': -36.66415303150495}",13965.0693359375,13962.0185546875,COMPLETE
8,13958.06396484375,2026-02-24 05:27:51.968781,2026-02-24 05:27:54.113006,0 days 00:00:02.144225,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 13546.7431640625, 'RMSE_15m': 13742.370683401026, 'sMAPE_15m': 199.66173563733278, 'R2_15m': -34.375277314949415, 'MAE_30m': 14369.384765625, 'RMSE_30m': 14552.775130537817, 'sMAPE_30m': 199.7590754664096, 'R2_30m': -38.9285931615346, 'MAE_avg': 13958.06396484375, 'RMSE_avg': 14147.57290696942, 'sMAPE_avg': 199.7104055518712, 'R2_avg': -36.651935238242004}",13964.1728515625,13960.73046875,COMPLETE
9,13967.4462890625,2026-02-24 05:27:54.113801,2026-02-24 05:27:55.491643,0 days 00:00:01.377842,0.0,96,5,0.00025798509464504095,lstm,64,,13967.4462890625,,PRUNED
