number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,972.830810546875,2026-04-03 02:08:45.265383,2026-04-03 02:08:47.623323,0 days 00:00:02.357940,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[65, 63]","{'MAE_15m': 822.1939697265625, 'RMSE_15m': 1736.8730523558709, 'sMAPE_15m': 140.08330866587013, 'R2_15m': 0.9235055213080525, 'MAE_30m': 1123.4676513671875, 'RMSE_30m': 2304.0029296856374, 'sMAPE_30m': 140.68263081151653, 'R2_30m': 0.8653953843713453, 'MAE_avg': 972.830810546875, 'RMSE_avg': 2020.437991020754, 'sMAPE_avg': 140.38296973869333, 'R2_avg': 0.8944504528396989}",COMPLETE
1,918.6267395019531,2026-04-03 02:08:47.627429,2026-04-03 02:08:51.890727,0 days 00:00:04.263298,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[552, 532]","{'MAE_15m': 778.6017456054688, 'RMSE_15m': 1710.8582641469748, 'sMAPE_15m': 139.94171974116546, 'R2_15m': 0.9257798220768855, 'MAE_30m': 1058.6517333984375, 'RMSE_30m': 2291.2175802398165, 'sMAPE_30m': 140.57455082851436, 'R2_30m': 0.8668851291958819, 'MAE_avg': 918.6267395019531, 'RMSE_avg': 2001.0379221933956, 'sMAPE_avg': 140.2581352848399, 'R2_avg': 0.8963324756363837}",COMPLETE
2,919.4681396484375,2026-04-03 02:08:51.892438,2026-04-03 02:08:54.141484,0 days 00:00:02.249046,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[157, 166]","{'MAE_15m': 788.5645751953125, 'RMSE_15m': 1701.8559721668576, 'sMAPE_15m': 140.00738935395856, 'R2_15m': 0.9265588424317632, 'MAE_30m': 1050.3717041015625, 'RMSE_30m': 2311.942581466936, 'sMAPE_30m': 140.88852269937294, 'R2_30m': 0.8644660746224957, 'MAE_avg': 919.4681396484375, 'RMSE_avg': 2006.8992768168969, 'sMAPE_avg': 140.44795602666574, 'R2_avg': 0.8955124585271295}",COMPLETE
3,947.9407958984375,2026-04-03 02:08:54.143248,2026-04-03 02:08:57.509814,0 days 00:00:03.366566,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[307, 318]","{'MAE_15m': 787.8056640625, 'RMSE_15m': 1715.830921157443, 'sMAPE_15m': 140.05372793341465, 'R2_15m': 0.9253477504865562, 'MAE_30m': 1108.075927734375, 'RMSE_30m': 2329.5349321270114, 'sMAPE_30m': 140.62872866656818, 'R2_30m': 0.8623955898223814, 'MAE_avg': 947.9407958984375, 'RMSE_avg': 2022.6829266422274, 'sMAPE_avg': 140.34122829999143, 'R2_avg': 0.8938716701544688}",COMPLETE
4,977.581787109375,2026-04-03 02:08:57.516213,2026-04-03 02:08:59.293378,0 days 00:00:01.777165,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[30, 28]","{'MAE_15m': 820.1097412109375, 'RMSE_15m': 1717.2582799334525, 'sMAPE_15m': 140.1461401827125, 'R2_15m': 0.9252234920900628, 'MAE_30m': 1135.0538330078125, 'RMSE_30m': 2471.6004936073305, 'sMAPE_30m': 140.8831224732551, 'R2_30m': 0.8451003437687608, 'MAE_avg': 977.581787109375, 'RMSE_avg': 2094.4293867703914, 'sMAPE_avg': 140.5146313279838, 'R2_avg': 0.8851619179294118}",COMPLETE
5,1287.7101440429688,2026-04-03 02:08:59.301590,2026-04-03 02:09:01.640925,0 days 00:00:02.339335,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 1152.8460693359375, 'RMSE_15m': 1779.4335475088694, 'sMAPE_15m': 139.83826427286917, 'R2_15m': 0.9197107371371379, 'MAE_30m': 1422.57421875, 'RMSE_30m': 2359.74776194406, 'sMAPE_30m': 140.8356890221083, 'R2_30m': 0.8588031238936241, 'MAE_avg': 1287.7101440429688, 'RMSE_avg': 2069.590654726465, 'sMAPE_avg': 140.33697664748874, 'R2_avg': 0.889256930515381}",COMPLETE
6,906.5481567382812,2026-04-03 02:09:01.646652,2026-04-03 02:09:03.278963,0 days 00:00:01.632311,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[33, 29]","{'MAE_15m': 792.898193359375, 'RMSE_15m': 1761.6517817094275, 'sMAPE_15m': 140.25442124665116, 'R2_15m': 0.9213073723361174, 'MAE_30m': 1020.1981201171875, 'RMSE_30m': 2368.4901308639646, 'sMAPE_30m': 141.30539532238632, 'R2_30m': 0.8577549927704887, 'MAE_avg': 906.5481567382812, 'RMSE_avg': 2065.070956286696, 'sMAPE_avg': 140.77990828451874, 'R2_avg': 0.889531182553303}",COMPLETE
7,1281.5321044921875,2026-04-03 02:09:03.288658,2026-04-03 02:09:05.397353,0 days 00:00:02.108695,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 1147.0814208984375, 'RMSE_15m': 1798.4845009062492, 'sMAPE_15m': 140.06206170267788, 'R2_15m': 0.9179823490274858, 'MAE_30m': 1415.9827880859375, 'RMSE_30m': 2401.556682653982, 'sMAPE_30m': 141.26193493320983, 'R2_30m': 0.8537554709541604, 'MAE_avg': 1281.5321044921875, 'RMSE_avg': 2100.020591780116, 'sMAPE_avg': 140.66199831794387, 'R2_avg': 0.885868909990823}",COMPLETE
8,942.1783142089844,2026-04-03 02:09:05.400703,2026-04-03 02:09:08.346538,0 days 00:00:02.945835,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[371, 315]","{'MAE_15m': 801.9251098632812, 'RMSE_15m': 1702.7715642445994, 'sMAPE_15m': 139.98797217875833, 'R2_15m': 0.926479793721038, 'MAE_30m': 1082.4315185546875, 'RMSE_30m': 2317.635648673018, 'sMAPE_30m': 140.89421163463325, 'R2_30m': 0.8637977612995772, 'MAE_avg': 942.1783142089844, 'RMSE_avg': 2010.2036064588087, 'sMAPE_avg': 140.4410919066958, 'R2_avg': 0.8951387775103076}",COMPLETE
9,971.6149291992188,2026-04-03 02:09:08.358708,2026-04-03 02:09:10.336291,0 days 00:00:01.977583,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[72, 71]","{'MAE_15m': 768.6922607421875, 'RMSE_15m': 1702.1265375993642, 'sMAPE_15m': 139.9610536883174, 'R2_15m': 0.9265354936410385, 'MAE_30m': 1174.53759765625, 'RMSE_30m': 2526.489956441545, 'sMAPE_30m': 141.056080999776, 'R2_30m': 0.838143914434723, 'MAE_avg': 971.6149291992188, 'RMSE_avg': 2114.3082470204545, 'sMAPE_avg': 140.5085673440467, 'R2_avg': 0.8823397040378808}",COMPLETE
