number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.0933462493121624,2026-02-23 02:48:13.798664,2026-02-23 02:48:15.997352,0 days 00:00:02.198688,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.13050875067710876, 'RMSE_15m': 0.1545718676007072, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.056183747947216034, 'RMSE_30m': 0.066893295638653, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.0933462493121624, 'RMSE_avg': 0.11073258161968011, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.19430164992809296,,COMPLETE
1,0.2872479557991028,2026-02-23 02:48:15.997860,2026-02-23 02:48:16.651929,0 days 00:00:00.654069,0.2,64,3,0.0002692655251486473,,0.2872479557991028,,PRUNED
2,0.26527294516563416,2026-02-23 02:48:16.652411,2026-02-23 02:48:17.299310,0 days 00:00:00.646899,0.3,32,7,0.000117115099555241,,0.26527294516563416,,PRUNED
3,0.36352866888046265,2026-02-23 02:48:17.299798,2026-02-23 02:48:17.957817,0 days 00:00:00.658019,0.3,32,5,0.00044684675025045853,,0.36352866888046265,,PRUNED
4,0.410838782787323,2026-02-23 02:48:17.958319,2026-02-23 02:48:18.595904,0 days 00:00:00.637585,0.3,64,3,0.00018752209455786411,,0.410838782787323,,PRUNED
5,0.18648401647806168,2026-02-23 02:48:18.596502,2026-02-23 02:48:19.397887,0 days 00:00:00.801385,0.2,32,7,0.0003023795012558478,"{'MAE_15m': 0.10685472190380096, 'RMSE_15m': 0.12772166833467202, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.2661133110523224, 'RMSE_30m': 0.3252620800312759, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.18648401647806168, 'RMSE_avg': 0.22649187418297395, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.1882472038269043,,COMPLETE
6,0.005267265252768993,2026-02-23 02:48:19.398429,2026-02-23 02:48:20.583414,0 days 00:00:01.184985,0.2,96,7,0.002869139536545374,"{'MAE_15m': 0.006319754756987095, 'RMSE_15m': 0.009111647775333616, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.004214775748550892, 'RMSE_30m': 0.004427741727609381, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.005267265252768993, 'RMSE_avg': 0.0067696947514714985, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06362457573413849,0.007425852119922638,COMPLETE
7,0.3065933585166931,2026-02-23 02:48:20.583941,2026-02-23 02:48:21.233670,0 days 00:00:00.649729,0.0,32,3,0.0001483039268456802,,0.3065933585166931,,PRUNED
8,0.27749761939048767,2026-02-23 02:48:21.234159,2026-02-23 02:48:21.852491,0 days 00:00:00.618332,0.3,32,7,0.0004983319160125723,,0.27749761939048767,,PRUNED
9,0.1329530030488968,2026-02-23 02:48:21.853045,2026-02-23 02:48:22.594144,0 days 00:00:00.741099,0.0,96,5,0.00014433402406338895,,0.15168504416942596,0.1329530030488968,PRUNED
