number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.03242444805800915,2026-02-23 02:47:46.181714,2026-02-23 02:47:48.906689,0 days 00:00:02.724975,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.032951563596725464, 'RMSE_15m': 0.05063259162392607, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.03189733251929283, 'RMSE_30m': 0.04949620961418135, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03242444805800915, 'RMSE_avg': 0.050064400619053706, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.04927902668714523,COMPLETE
1,0.10271582752466202,2026-02-23 02:47:48.907275,2026-02-23 02:47:51.245563,0 days 00:00:02.338288,0.2,64,0.0002692655251486473,32,,0.10271582752466202,PRUNED
2,0.08477313816547394,2026-02-23 02:47:51.246094,2026-02-23 02:47:53.506730,0 days 00:00:02.260636,0.3,32,0.000117115099555241,96,,0.08477313816547394,PRUNED
3,0.06342417746782303,2026-02-23 02:47:53.507243,2026-02-23 02:47:57.035496,0 days 00:00:03.528253,0.3,32,0.00044684675025045853,64,,0.06342417746782303,PRUNED
4,0.17908917367458344,2026-02-23 02:47:57.036017,2026-02-23 02:47:59.633255,0 days 00:00:02.597238,0.3,64,0.00018752209455786411,32,,0.17908917367458344,PRUNED
5,0.10610175132751465,2026-02-23 02:47:59.633783,2026-02-23 02:48:02.009040,0 days 00:00:02.375257,0.2,32,0.0003023795012558478,96,,0.10610175132751465,PRUNED
6,0.0726812556385994,2026-02-23 02:48:02.009522,2026-02-23 02:48:04.296746,0 days 00:00:02.287224,0.2,96,0.002869139536545374,96,,0.0726812556385994,PRUNED
7,0.3009282648563385,2026-02-23 02:48:04.297289,2026-02-23 02:48:06.525201,0 days 00:00:02.227912,0.0,32,0.0001483039268456802,32,,0.3009282648563385,PRUNED
8,0.03513013757765293,2026-02-23 02:48:06.525722,2026-02-23 02:48:09.263889,0 days 00:00:02.738167,0.3,32,0.0004983319160125723,96,"{'MAE_15m': 0.05335436016321182, 'RMSE_15m': 0.07139206982346788, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.01690591499209404, 'RMSE_30m': 0.02134095692044263, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03513013757765293, 'RMSE_avg': 0.046366513371955256, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.04981435090303421,COMPLETE
9,0.08543825149536133,2026-02-23 02:48:09.264465,2026-02-23 02:48:11.453928,0 days 00:00:02.189463,0.0,96,0.00014433402406338895,64,,0.08543825149536133,PRUNED
