number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.03475413657724857,2026-02-23 02:47:17.511098,2026-02-23 02:47:22.283953,0 days 00:00:04.772855,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.024175338447093964, 'RMSE_15m': 0.029158238372152846, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.04533293470740318, 'RMSE_30m': 0.056935610988992136, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03475413657724857, 'RMSE_avg': 0.04304692468057249, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.04801354557275772,,COMPLETE
1,0.056494392454624176,2026-02-23 02:47:22.284519,2026-02-23 02:47:24.706247,0 days 00:00:02.421728,0.0,0.00018659959624904942,2,64,,0.056494392454624176,,PRUNED
2,0.10427169501781464,2026-02-23 02:47:24.706757,2026-02-23 02:47:26.104542,0 days 00:00:01.397785,0.0,0.0003476649150592621,1,64,,0.10427169501781464,,PRUNED
3,0.07795146852731705,2026-02-23 02:47:26.105073,2026-02-23 02:47:28.451559,0 days 00:00:02.346486,0.3,0.0001786013788939711,2,64,,0.07795146852731705,,PRUNED
4,0.05983554199337959,2026-02-23 02:47:28.452063,2026-02-23 02:47:30.765010,0 days 00:00:02.312947,0.3,0.00044684675025045853,2,96,,0.05983554199337959,,PRUNED
5,0.14562872052192688,2026-02-23 02:47:30.765550,2026-02-23 02:47:33.029033,0 days 00:00:02.263483,0.2,0.000586412916969653,2,64,,0.14562872052192688,,PRUNED
6,0.012362063862383366,2026-02-23 02:47:33.029576,2026-02-23 02:47:35.873745,0 days 00:00:02.844169,0.0,0.002299958642814372,2,96,"{'MAE_15m': 0.008987560868263245, 'RMSE_15m': 0.011958659771700991, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.015736566856503487, 'RMSE_30m': 0.018116393720539505, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.012362063862383366, 'RMSE_avg': 0.015037526746120248, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.04898074269294739,0.024814298376441002,COMPLETE
7,0.24149803817272186,2026-02-23 02:47:35.874273,2026-02-23 02:47:38.624519,0 days 00:00:02.750246,0.3,0.0003364867144187955,1,64,,0.24149803817272186,,PRUNED
8,0.09950195252895355,2026-02-23 02:47:38.625032,2026-02-23 02:47:41.251132,0 days 00:00:02.626100,0.2,0.00019657448966046135,2,64,,0.09950195252895355,,PRUNED
9,0.09037704765796661,2026-02-23 02:47:41.251646,2026-02-23 02:47:43.647073,0 days 00:00:02.395427,0.0,0.0001483039268456802,2,64,,0.09037704765796661,,PRUNED
