number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.13356753438711166,2026-02-23 02:48:23.248560,2026-02-23 02:48:25.039652,0 days 00:00:01.791092,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.16865745186805725, 'RMSE_15m': 0.18422001693458176, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.09847761690616608, 'RMSE_30m': 0.13678944667209042, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.13356753438711166, 'RMSE_avg': 0.16050473180333608, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.14480136334896088,,COMPLETE
1,0.21870848536491394,2026-02-23 02:48:25.040170,2026-02-23 02:48:26.515634,0 days 00:00:01.475464,0.3,96,7,0.000117115099555241,gru,96,,0.21870848536491394,,PRUNED
2,0.10341331735253334,2026-02-23 02:48:26.516110,2026-02-23 02:48:28.410503,0 days 00:00:01.894393,0.3,32,5,0.00024112898115291975,lstm,96,"{'MAE_15m': 0.07056782394647598, 'RMSE_15m': 0.13033102612798841, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.1362588107585907, 'RMSE_30m': 0.18517584596424966, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.10341331735253334, 'RMSE_avg': 0.15775343604611902, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.13649435341358185,,COMPLETE
3,0.1939077526330948,2026-02-23 02:48:28.411168,2026-02-23 02:48:29.871234,0 days 00:00:01.460066,0.2,32,7,0.0003023795012558478,gru,64,,0.1939077526330948,,PRUNED
4,0.018519418314099312,2026-02-23 02:48:29.871697,2026-02-23 02:48:32.086225,0 days 00:00:02.214528,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 0.01823948696255684, 'RMSE_15m': 0.02680039611028713, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.018799349665641785, 'RMSE_30m': 0.028704336398510593, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.018519418314099312, 'RMSE_avg': 0.027752366254398864, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.054227374494075775,0.03222448751330376,COMPLETE
5,0.2997801899909973,2026-02-23 02:48:32.086782,2026-02-23 02:48:33.540722,0 days 00:00:01.453940,0.3,64,7,0.0004983319160125723,gru,32,,0.2997801899909973,,PRUNED
6,0.043604955077171326,2026-02-23 02:48:33.541246,2026-02-23 02:48:35.168519,0 days 00:00:01.627273,0.0,96,5,0.0021907142272152816,lstm,32,,0.10711278021335602,0.043604955077171326,PRUNED
7,0.2053467035293579,2026-02-23 02:48:35.169000,2026-02-23 02:48:36.606995,0 days 00:00:01.437995,0.3,96,7,0.0006261435181296009,gru,64,,0.2053467035293579,,PRUNED
8,0.006790483137592673,2026-02-23 02:48:36.607480,2026-02-23 02:48:40.454113,0 days 00:00:03.846633,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 0.00953392032533884, 'RMSE_15m': 0.014112518806448685, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.004047045949846506, 'RMSE_30m': 0.006188383453663314, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.006790483137592673, 'RMSE_avg': 0.010150451130055999, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.10808557271957397,0.013792586512863636,COMPLETE
9,0.13673126697540283,2026-02-23 02:48:40.454694,2026-02-23 02:48:42.020836,0 days 00:00:01.566142,0.0,96,5,0.00025798509464504095,lstm,64,,0.13673126697540283,,PRUNED
