number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,105597.4140625,2026-02-24 05:29:00.158943,2026-02-24 05:29:01.199293,0 days 00:00:01.040350,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 105961.3984375, 'RMSE_15m': 105965.34618449562, 'sMAPE_15m': 199.9642824815234, 'R2_15m': -13404.123901099983, 'MAE_30m': 105233.4296875, 'RMSE_30m': 105253.6720879609, 'sMAPE_30m': 199.9584889873028, 'R2_30m': -2600.7050745964193, 'MAE_avg': 105597.4140625, 'RMSE_avg': 105609.50913622827, 'sMAPE_avg': 199.9613857344131, 'R2_avg': -8002.414487848201}",105606.0703125,105603.5546875,COMPLETE
1,105607.2890625,2026-02-24 05:29:01.200059,2026-02-24 05:29:01.765733,0 days 00:00:00.565674,0.2,64,3,0.0002692655251486473,,105607.2890625,,PRUNED
2,105607.7734375,2026-02-24 05:29:01.766312,2026-02-24 05:29:02.312916,0 days 00:00:00.546604,0.3,32,7,0.000117115099555241,,105607.7734375,,PRUNED
3,105607.1015625,2026-02-24 05:29:02.313663,2026-02-24 05:29:02.855061,0 days 00:00:00.541398,0.3,32,5,0.00044684675025045853,,105607.1015625,,PRUNED
4,105607.4765625,2026-02-24 05:29:02.855663,2026-02-24 05:29:03.395824,0 days 00:00:00.540161,0.3,64,3,0.00018752209455786411,,105607.4765625,,PRUNED
5,105607.7265625,2026-02-24 05:29:03.396400,2026-02-24 05:29:03.944672,0 days 00:00:00.548272,0.2,32,7,0.0003023795012558478,,105607.7265625,,PRUNED
6,105523.32421875,2026-02-24 05:29:03.945252,2026-02-24 05:29:04.978628,0 days 00:00:01.033376,0.2,96,7,0.002869139536545374,"{'MAE_15m': 105906.8046875, 'RMSE_15m': 105910.79597472583, 'sMAPE_15m': 199.75820816835528, 'R2_15m': -13390.325320631928, 'MAE_30m': 105139.84375, 'RMSE_30m': 105160.25774026992, 'sMAPE_30m': 199.60250311661653, 'R2_30m': -2596.088732414424, 'MAE_avg': 105523.32421875, 'RMSE_avg': 105535.52685749787, 'sMAPE_avg': 199.6803556424859, 'R2_avg': -7993.207026523176}",105604.59375,105590.0,COMPLETE
7,105607.7890625,2026-02-24 05:29:04.979375,2026-02-24 05:29:05.498827,0 days 00:00:00.519452,0.0,32,3,0.0001483039268456802,,105607.7890625,,PRUNED
8,105607.2734375,2026-02-24 05:29:05.499435,2026-02-24 05:29:06.039002,0 days 00:00:00.539567,0.3,32,7,0.0004983319160125723,,105607.2734375,,PRUNED
9,105607.4765625,2026-02-24 05:29:06.039575,2026-02-24 05:29:06.553146,0 days 00:00:00.513571,0.0,96,5,0.00014433402406338895,,105607.4765625,,PRUNED
