number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,105606.796875,2026-02-24 05:28:32.229522,2026-02-24 05:28:35.223840,0 days 00:00:02.994318,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 105970.3046875, 'RMSE_15m': 105974.2555906858, 'sMAPE_15m': 199.99793028272396, 'R2_15m': -13406.377345964089, 'MAE_30m': 105243.2890625, 'RMSE_30m': 105263.50752278778, 'sMAPE_30m': 199.99614363755788, 'R2_30m': -2601.1912901343285, 'MAE_avg': 105606.796875, 'RMSE_avg': 105618.8815567368, 'sMAPE_avg': 199.99703696014092, 'R2_avg': -8003.784318049209}",105607.5,105607.2109375,COMPLETE
1,105607.3828125,2026-02-24 05:28:35.224622,2026-02-24 05:28:37.653029,0 days 00:00:02.428407,0.2,64,0.0002692655251486473,32,,105607.4765625,105607.3828125,PRUNED
2,105607.5859375,2026-02-24 05:28:37.653655,2026-02-24 05:28:40.418270,0 days 00:00:02.764615,0.3,32,0.000117115099555241,96,,105607.5859375,,PRUNED
3,105607.6015625,2026-02-24 05:28:40.418936,2026-02-24 05:28:42.589033,0 days 00:00:02.170097,0.3,32,0.00044684675025045853,64,,105607.6015625,,PRUNED
4,105607.6171875,2026-02-24 05:28:42.589678,2026-02-24 05:28:44.830290,0 days 00:00:02.240612,0.3,64,0.00018752209455786411,32,,105607.6171875,,PRUNED
5,105607.6640625,2026-02-24 05:28:44.830955,2026-02-24 05:28:47.054168,0 days 00:00:02.223213,0.2,32,0.0003023795012558478,96,,105607.6640625,,PRUNED
6,105591.984375,2026-02-24 05:28:47.054761,2026-02-24 05:28:50.745002,0 days 00:00:03.690241,0.2,96,0.002869139536545374,96,"{'MAE_15m': 105954.2109375, 'RMSE_15m': 105958.16593354191, 'sMAPE_15m': 199.9371888455401, 'R2_15m': -13402.306679152156, 'MAE_30m': 105229.7578125, 'RMSE_30m': 105249.9945083134, 'sMAPE_30m': 199.94463264781618, 'R2_30m': -2600.523029342674, 'MAE_avg': 105591.984375, 'RMSE_avg': 105604.08022092766, 'sMAPE_avg': 199.94091074667813, 'R2_avg': -8001.414854247415}",105606.6328125,105600.40625,COMPLETE
7,105607.5546875,2026-02-24 05:28:50.745752,2026-02-24 05:28:52.902222,0 days 00:00:02.156470,0.0,32,0.0001483039268456802,32,,105607.5546875,,PRUNED
8,105607.5859375,2026-02-24 05:28:52.902806,2026-02-24 05:28:55.077212,0 days 00:00:02.174406,0.3,32,0.0004983319160125723,96,,105607.5859375,,PRUNED
9,105607.5625,2026-02-24 05:28:55.077859,2026-02-24 05:28:57.242958,0 days 00:00:02.165099,0.0,96,0.00014433402406338895,64,,105607.5625,,PRUNED
