number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,105598.0546875,2026-02-24 05:28:05.780199,2026-02-24 05:28:09.632594,0 days 00:00:03.852395,0.0,0.00190303683817358,2,64,"{'MAE_15m': 105961.3203125, 'RMSE_15m': 105965.27370794641, 'sMAPE_15m': 199.96401954856566, 'R2_15m': -13404.10515635066, 'MAE_30m': 105234.7890625, 'RMSE_30m': 105255.02439313765, 'sMAPE_30m': 199.96375966271006, 'R2_30m': -2600.771688249375, 'MAE_avg': 105598.0546875, 'RMSE_avg': 105610.14905054204, 'sMAPE_avg': 199.96388960563786, 'R2_avg': -8002.438422300018}",105607.34375,105605.34375,COMPLETE
1,105607.5703125,2026-02-24 05:28:09.633313,2026-02-24 05:28:11.822041,0 days 00:00:02.188728,0.0,0.00018659959624904942,2,64,,105607.5703125,,PRUNED
2,105607.4765625,2026-02-24 05:28:11.822678,2026-02-24 05:28:13.141876,0 days 00:00:01.319198,0.0,0.0003476649150592621,1,64,,105607.4765625,,PRUNED
3,105607.4375,2026-02-24 05:28:13.142511,2026-02-24 05:28:15.369275,0 days 00:00:02.226764,0.3,0.0001786013788939711,2,64,,105607.4375,,PRUNED
4,105607.7265625,2026-02-24 05:28:15.369902,2026-02-24 05:28:18.199767,0 days 00:00:02.829865,0.3,0.00044684675025045853,2,96,,105607.7265625,,PRUNED
5,105607.625,2026-02-24 05:28:18.200334,2026-02-24 05:28:20.453781,0 days 00:00:02.253447,0.2,0.000586412916969653,2,64,,105607.625,,PRUNED
6,105592.59765625,2026-02-24 05:28:20.454338,2026-02-24 05:28:23.487632,0 days 00:00:03.033294,0.0,0.002299958642814372,2,96,"{'MAE_15m': 105955.2578125, 'RMSE_15m': 105959.21932517245, 'sMAPE_15m': 199.94115641522592, 'R2_15m': -13402.572773093614, 'MAE_30m': 105229.9375, 'RMSE_30m': 105250.1744986677, 'sMAPE_30m': 199.94533481495782, 'R2_30m': -2600.5320875169027, 'MAE_avg': 105592.59765625, 'RMSE_avg': 105604.69691192007, 'sMAPE_avg': 199.94324561509188, 'R2_avg': -8001.552430305259}",105606.6796875,105598.4453125,COMPLETE
7,105606.9453125,2026-02-24 05:28:23.488600,2026-02-24 05:28:24.956205,0 days 00:00:01.467605,0.3,0.0003364867144187955,1,64,,105607.0546875,105606.9453125,PRUNED
8,105607.7109375,2026-02-24 05:28:24.956780,2026-02-24 05:28:27.137110,0 days 00:00:02.180330,0.2,0.00019657448966046135,2,64,,105607.7109375,,PRUNED
9,105607.7734375,2026-02-24 05:28:27.137675,2026-02-24 05:28:30.011896,0 days 00:00:02.874221,0.0,0.0001483039268456802,2,64,,105607.7734375,,PRUNED
