number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,105606.18359375,2026-02-24 05:29:07.099521,2026-02-24 05:29:09.167612,0 days 00:00:02.068091,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 105969.5234375, 'RMSE_15m': 105973.46324434245, 'sMAPE_15m': 199.994951534201, 'R2_15m': -13406.178692370733, 'MAE_30m': 105242.84375, 'RMSE_30m': 105263.06976333153, 'sMAPE_30m': 199.9943413905579, 'R2_30m': -2601.1695264679297, 'MAE_avg': 105606.18359375, 'RMSE_avg': 105618.26650383699, 'sMAPE_avg': 199.99464646237945, 'R2_avg': -8003.674109419331}",105607.3046875,105606.9140625,COMPLETE
1,105607.4921875,2026-02-24 05:29:09.168416,2026-02-24 05:29:10.609997,0 days 00:00:01.441581,0.3,96,7,0.000117115099555241,gru,96,,105607.4921875,,PRUNED
2,105607.4921875,2026-02-24 05:29:10.610618,2026-02-24 05:29:12.536570,0 days 00:00:01.925952,0.3,32,5,0.00024112898115291975,lstm,96,,105607.4921875,,PRUNED
3,105606.9296875,2026-02-24 05:29:12.537204,2026-02-24 05:29:14.173144,0 days 00:00:01.635940,0.2,32,7,0.0003023795012558478,gru,64,,105607.3046875,105606.9296875,PRUNED
4,105600.65234375,2026-02-24 05:29:14.173806,2026-02-24 05:29:16.336591,0 days 00:00:02.162785,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 105964.25, 'RMSE_15m': 105968.21138435809, 'sMAPE_15m': 199.97510587022617, 'R2_15m': -13404.848222663446, 'MAE_30m': 105237.0546875, 'RMSE_30m': 105257.2717107944, 'sMAPE_30m': 199.97230667017124, 'R2_30m': -2600.882831245552, 'MAE_avg': 105600.65234375, 'RMSE_avg': 105612.74154757624, 'sMAPE_avg': 199.9737062701987, 'R2_avg': -8002.865526954499}",105606.1484375,105602.71875,COMPLETE
5,105605.7265625,2026-02-24 05:29:16.337388,2026-02-24 05:29:17.965946,0 days 00:00:01.628558,0.3,64,7,0.0004983319160125723,gru,32,,105607.09375,105605.7265625,PRUNED
6,105603.1328125,2026-02-24 05:29:17.966571,2026-02-24 05:29:19.558361,0 days 00:00:01.591790,0.0,96,5,0.0021907142272152816,lstm,32,,105605.625,105603.1328125,PRUNED
7,105606.5234375,2026-02-24 05:29:19.559072,2026-02-24 05:29:20.973192,0 days 00:00:01.414120,0.3,96,7,0.0006261435181296009,gru,64,,105606.5234375,,PRUNED
8,105597.30859375,2026-02-24 05:29:20.973824,2026-02-24 05:29:23.035659,0 days 00:00:02.061835,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 105958.5234375, 'RMSE_15m': 105962.4712433605, 'sMAPE_15m': 199.95345542026413, 'R2_15m': -13403.397338316492, 'MAE_30m': 105236.09375, 'RMSE_30m': 105256.32803779542, 'sMAPE_30m': 199.96870430849452, 'R2_30m': -2600.836017318565, 'MAE_avg': 105597.30859375, 'RMSE_avg': 105609.39964057796, 'sMAPE_avg': 199.96107986437931, 'R2_avg': -8002.116677817528}",105604.5625,105600.125,COMPLETE
9,105606.9921875,2026-02-24 05:29:23.036404,2026-02-24 05:29:25.063089,0 days 00:00:02.026685,0.0,96,5,0.00025798509464504095,lstm,64,,105606.9921875,,PRUNED
