number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,1406.16357421875,2026-02-24 05:27:57.013374,2026-02-24 05:27:57.243761,0 days 00:00:00.230387,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,1376.24658203125,2026-02-24 05:27:57.244761,2026-02-24 05:27:57.702425,0 days 00:00:00.457664,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,1249.127197265625,2026-02-24 05:27:57.703447,2026-02-24 05:27:57.960088,0 days 00:00:00.256641,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,1385.5557861328125,2026-02-24 05:27:57.961082,2026-02-24 05:27:58.386631,0 days 00:00:00.425549,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,1371.3660888671875,2026-02-24 05:27:58.387615,2026-02-24 05:27:58.499369,0 days 00:00:00.111754,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,1151.0753173828125,2026-02-24 05:27:58.500257,2026-02-24 05:27:58.601881,0 days 00:00:00.101624,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,1216.0625,2026-02-24 05:27:58.602756,2026-02-24 05:27:58.912232,0 days 00:00:00.309476,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,1453.4498291015625,2026-02-24 05:27:58.913164,2026-02-24 05:27:59.007527,0 days 00:00:00.094363,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,1099.0440673828125,2026-02-24 05:27:59.008389,2026-02-24 05:27:59.165462,0 days 00:00:00.157073,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,1357.23388671875,2026-02-24 05:27:59.166363,2026-02-24 05:27:59.301316,0 days 00:00:00.134953,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,1034.8671875,2026-02-24 05:27:59.302200,2026-02-24 05:27:59.745614,0 days 00:00:00.443414,0.6058268031335812,3.3820892378437524,0.02513734458845407,2,10,1200,15.421779524164808,0.6071847502459278,COMPLETE
11,1043.33984375,2026-02-24 05:27:59.746580,2026-02-24 05:28:00.200683,0 days 00:00:00.454103,0.6094059102390395,3.328467084489836,0.026365703773854412,2,10,1200,18.869952618502094,0.6068744601075835,COMPLETE
12,1103.4765625,2026-02-24 05:28:00.201704,2026-02-24 05:28:00.616392,0 days 00:00:00.414688,0.617976167901816,3.4550491971991457,0.032034784515162056,2,8,1200,19.573581780102383,0.6014562981232444,COMPLETE
