number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.03933181054890156,2026-02-23 02:51:21.962269,2026-02-23 02:51:22.669472,0 days 00:00:00.707203,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.05045466870069504, 'RMSE_15m': 0.06505032061033092, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.028208952397108078, 'RMSE_30m': 0.03757647282949656, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03933181054890156, 'RMSE_avg': 0.05131339671991374, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.07155433297157288,,COMPLETE
1,0.05560401827096939,2026-02-23 02:51:22.669991,2026-02-23 02:51:23.364053,0 days 00:00:00.694062,0.2,64,3,0.0002692655251486473,"{'MAE_15m': 0.05542934685945511, 'RMSE_15m': 0.06533553694255927, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.05577868968248367, 'RMSE_30m': 0.07276724046724597, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.05560401827096939, 'RMSE_avg': 0.06905138870490263, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06724442541599274,,COMPLETE
2,0.20455560088157654,2026-02-23 02:51:23.364595,2026-02-23 02:51:23.919964,0 days 00:00:00.555369,0.3,32,7,0.000117115099555241,,0.20455560088157654,,PRUNED
3,0.08404310047626495,2026-02-23 02:51:23.920447,2026-02-23 02:51:24.479493,0 days 00:00:00.559046,0.3,32,5,0.00044684675025045853,,0.08404310047626495,,PRUNED
4,0.1653144210577011,2026-02-23 02:51:24.479972,2026-02-23 02:51:25.043069,0 days 00:00:00.563097,0.3,64,3,0.00018752209455786411,,0.1653144210577011,,PRUNED
5,0.11511512100696564,2026-02-23 02:51:25.043562,2026-02-23 02:51:25.593605,0 days 00:00:00.550043,0.2,32,7,0.0003023795012558478,,0.11511512100696564,,PRUNED
6,0.001615209854207933,2026-02-23 02:51:25.594134,2026-02-23 02:51:26.588172,0 days 00:00:00.994038,0.2,96,7,0.002869139536545374,"{'MAE_15m': 0.0019489775877445936, 'RMSE_15m': 0.0025469609476133684, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0012814421206712723, 'RMSE_30m': 0.0017800809479280848, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.001615209854207933, 'RMSE_avg': 0.002163520947770727, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.03880086913704872,0.004583318252116442,COMPLETE
7,0.44753867387771606,2026-02-23 02:51:26.588693,2026-02-23 02:51:27.120822,0 days 00:00:00.532129,0.0,32,3,0.0001483039268456802,,0.44753867387771606,,PRUNED
8,0.07991506159305573,2026-02-23 02:51:27.121334,2026-02-23 02:51:27.666494,0 days 00:00:00.545160,0.3,32,7,0.0004983319160125723,,0.07991506159305573,,PRUNED
9,0.07282248884439468,2026-02-23 02:51:27.666976,2026-02-23 02:51:28.199700,0 days 00:00:00.532724,0.0,96,5,0.00014433402406338895,,0.07282248884439468,,PRUNED
