number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.03391805477440357,2026-02-23 02:50:51.905310,2026-02-23 02:50:56.462570,0 days 00:00:04.557260,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.046401478350162506, 'RMSE_15m': 0.05139528474272065, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.021434631198644638, 'RMSE_30m': 0.02597036597014467, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03391805477440357, 'RMSE_avg': 0.03868282535643266, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.03391806036233902,COMPLETE
1,0.12450993061065674,2026-02-23 02:50:56.463144,2026-02-23 02:50:58.960055,0 days 00:00:02.496911,0.2,64,0.0002692655251486473,32,,0.12450993061065674,PRUNED
2,0.03826165944337845,2026-02-23 02:50:58.960624,2026-02-23 02:51:01.314716,0 days 00:00:02.354092,0.3,32,0.000117115099555241,96,,0.03826165944337845,PRUNED
3,0.05446900054812431,2026-02-23 02:51:01.315235,2026-02-23 02:51:03.656343,0 days 00:00:02.341108,0.3,32,0.00044684675025045853,64,,0.05446900054812431,PRUNED
4,0.08574257045984268,2026-02-23 02:51:03.656876,2026-02-23 02:51:05.914164,0 days 00:00:02.257288,0.3,64,0.00018752209455786411,32,,0.08574257045984268,PRUNED
5,0.046573054045438766,2026-02-23 02:51:05.914698,2026-02-23 02:51:08.140097,0 days 00:00:02.225399,0.2,32,0.0003023795012558478,96,,0.046573054045438766,PRUNED
6,0.05496324971318245,2026-02-23 02:51:08.140618,2026-02-23 02:51:10.358646,0 days 00:00:02.218028,0.2,96,0.002869139536545374,96,,0.05496324971318245,PRUNED
7,0.0696878433227539,2026-02-23 02:51:10.359126,2026-02-23 02:51:14.453820,0 days 00:00:04.094694,0.0,32,0.0001483039268456802,32,,0.0696878433227539,PRUNED
8,0.07864777743816376,2026-02-23 02:51:14.454334,2026-02-23 02:51:17.021855,0 days 00:00:02.567521,0.3,32,0.0004983319160125723,96,,0.07864777743816376,PRUNED
9,0.0602150559425354,2026-02-23 02:51:17.022405,2026-02-23 02:51:19.438966,0 days 00:00:02.416561,0.0,96,0.00014433402406338895,64,,0.0602150559425354,PRUNED
