number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.014989811461418867,2026-02-23 02:50:25.037724,2026-02-23 02:50:27.935559,0 days 00:00:02.897835,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.02195618860423565, 'RMSE_15m': 0.02852926981105893, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.008023434318602085, 'RMSE_30m': 0.009848180893131029, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.014989811461418867, 'RMSE_avg': 0.019188725352094982, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.026957010850310326,0.015787187963724136,COMPLETE
1,0.0269578006118536,2026-02-23 02:50:27.936084,2026-02-23 02:50:30.209268,0 days 00:00:02.273184,0.0,0.00018659959624904942,2,64,,0.0269578006118536,,PRUNED
2,0.16084790229797363,2026-02-23 02:50:30.209781,2026-02-23 02:50:31.528567,0 days 00:00:01.318786,0.0,0.0003476649150592621,1,64,,0.16084790229797363,,PRUNED
3,0.12185312807559967,2026-02-23 02:50:31.529063,2026-02-23 02:50:33.774513,0 days 00:00:02.245450,0.3,0.0001786013788939711,2,64,,0.12185312807559967,,PRUNED
4,0.014846372418105602,2026-02-23 02:50:33.774987,2026-02-23 02:50:38.464238,0 days 00:00:04.689251,0.3,0.00044684675025045853,2,96,"{'MAE_15m': 0.012720027938485146, 'RMSE_15m': 0.01593997624621774, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.01697271689772606, 'RMSE_30m': 0.020530627678295173, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.014846372418105602, 'RMSE_avg': 0.018235301962256457, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.014846372418105602,,COMPLETE
5,0.06861945241689682,2026-02-23 02:50:38.464788,2026-02-23 02:50:40.916214,0 days 00:00:02.451426,0.2,0.000586412916969653,2,64,,0.06861945241689682,,PRUNED
6,0.018095189705491066,2026-02-23 02:50:40.916748,2026-02-23 02:50:43.474803,0 days 00:00:02.558055,0.0,0.002299958642814372,2,96,,0.025131117552518845,0.018095189705491066,PRUNED
7,0.12078151851892471,2026-02-23 02:50:43.475353,2026-02-23 02:50:44.840966,0 days 00:00:01.365613,0.3,0.0003364867144187955,1,64,,0.12078151851892471,,PRUNED
8,0.03358582407236099,2026-02-23 02:50:44.841503,2026-02-23 02:50:47.140651,0 days 00:00:02.299148,0.2,0.00019657448966046135,2,64,,0.03358582407236099,,PRUNED
9,0.04934173822402954,2026-02-23 02:50:47.141144,2026-02-23 02:50:49.392229,0 days 00:00:02.251085,0.0,0.0001483039268456802,2,64,,0.04934173822402954,,PRUNED
