number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.04617963545024395,2026-02-23 02:51:28.824974,2026-02-23 02:51:30.669201,0 days 00:00:01.844227,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.03992069512605667, 'RMSE_15m': 0.055682875566055855, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.05243857577443123, 'RMSE_30m': 0.07095183340071866, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.04617963545024395, 'RMSE_avg': 0.06331735448338725, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06512746214866638,,COMPLETE
1,0.1301262080669403,2026-02-23 02:51:30.669736,2026-02-23 02:51:32.088753,0 days 00:00:01.419017,0.3,96,7,0.000117115099555241,gru,96,,0.1301262080669403,,PRUNED
2,0.08091499656438828,2026-02-23 02:51:32.089286,2026-02-23 02:51:33.551843,0 days 00:00:01.462557,0.3,32,5,0.00024112898115291975,lstm,96,,0.08091499656438828,,PRUNED
3,0.11653955280780792,2026-02-23 02:51:33.552370,2026-02-23 02:51:36.555733,0 days 00:00:03.003363,0.2,32,7,0.0003023795012558478,gru,64,,0.11653955280780792,,PRUNED
4,0.005413136212155223,2026-02-23 02:51:36.556265,2026-02-23 02:51:39.056324,0 days 00:00:02.500059,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 0.0050627668388187885, 'RMSE_15m': 0.006623438605688566, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.005763505585491657, 'RMSE_30m': 0.007017946935164416, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.005413136212155223, 'RMSE_avg': 0.006820692770426491, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.039222002029418945,0.013219763524830341,COMPLETE
5,0.12937438488006592,2026-02-23 02:51:39.056895,2026-02-23 02:51:40.612112,0 days 00:00:01.555217,0.3,64,7,0.0004983319160125723,gru,32,,0.12937438488006592,,PRUNED
6,0.07812522351741791,2026-02-23 02:51:40.612656,2026-02-23 02:51:42.124237,0 days 00:00:01.511581,0.0,96,5,0.0021907142272152816,lstm,32,,0.07812522351741791,,PRUNED
7,0.06705424189567566,2026-02-23 02:51:42.124777,2026-02-23 02:51:43.631179,0 days 00:00:01.506402,0.3,96,7,0.0006261435181296009,gru,64,,0.06705424189567566,,PRUNED
8,0.001120347333198879,2026-02-23 02:51:43.631727,2026-02-23 02:51:45.825692,0 days 00:00:02.193965,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 0.00023699489247519523, 'RMSE_15m': 0.0002441703382027695, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0020036997739225626, 'RMSE_30m': 0.002018803289436548, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.001120347333198879, 'RMSE_avg': 0.0011314868138196587, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.018250608816742897,0.002010892378166318,COMPLETE
9,0.026821832172572613,2026-02-23 02:51:45.826249,2026-02-23 02:51:47.667748,0 days 00:00:01.841499,0.0,96,5,0.00025798509464504095,lstm,64,"{'MAE_15m': 0.03544531762599945, 'RMSE_15m': 0.044531353105459144, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.018198346719145775, 'RMSE_30m': 0.025099156572346418, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.026821832172572613, 'RMSE_avg': 0.034815254838902784, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.043208129703998566,,COMPLETE
