number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.2781996577978134,2026-02-23 02:52:55.402455,2026-02-23 02:52:56.136935,0 days 00:00:00.734480,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.32796710729599, 'RMSE_15m': 0.3680940758842712, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.22843220829963684, 'RMSE_30m': 0.2730356124061374, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.2781996577978134, 'RMSE_avg': 0.32056484414520425, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.3360566794872284,COMPLETE
1,0.34810107946395874,2026-02-23 02:52:56.137478,2026-02-23 02:52:56.685473,0 days 00:00:00.547995,0.2,64,3,0.0002692655251486473,,0.34810107946395874,PRUNED
2,0.20669926702976227,2026-02-23 02:52:56.685991,2026-02-23 02:52:57.458978,0 days 00:00:00.772987,0.3,32,7,0.000117115099555241,"{'MAE_15m': 0.13434991240501404, 'RMSE_15m': 0.16707676981839514, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.2790486216545105, 'RMSE_30m': 0.31656607370722395, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.20669926702976227, 'RMSE_avg': 0.24182142176280955, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.21228063106536865,COMPLETE
3,0.3811872601509094,2026-02-23 02:52:57.459506,2026-02-23 02:52:58.008345,0 days 00:00:00.548839,0.3,32,5,0.00044684675025045853,,0.3811872601509094,PRUNED
4,0.11283436045050621,2026-02-23 02:52:58.008928,2026-02-23 02:52:58.732968,0 days 00:00:00.724040,0.3,64,3,0.00018752209455786411,"{'MAE_15m': 0.15028028190135956, 'RMSE_15m': 0.18330761749900507, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.07538843899965286, 'RMSE_30m': 0.10072490665953869, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.11283436045050621, 'RMSE_avg': 0.14201626207927187, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.1216978207230568,COMPLETE
5,0.24046385288238525,2026-02-23 02:52:58.733507,2026-02-23 02:52:59.281599,0 days 00:00:00.548092,0.2,32,7,0.0003023795012558478,,0.24046385288238525,PRUNED
6,0.23565256595611572,2026-02-23 02:52:59.282098,2026-02-23 02:52:59.831267,0 days 00:00:00.549169,0.2,96,7,0.002869139536545374,,0.23565256595611572,PRUNED
7,0.19410287588834763,2026-02-23 02:52:59.831751,2026-02-23 02:53:00.506025,0 days 00:00:00.674274,0.0,32,3,0.0001483039268456802,"{'MAE_15m': 0.29374346137046814, 'RMSE_15m': 0.39365171840791235, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.09446229040622711, 'RMSE_30m': 0.11698151605046635, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.19410287588834763, 'RMSE_avg': 0.25531661722918936, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.19410288333892822,COMPLETE
8,0.23949559032917023,2026-02-23 02:53:00.506650,2026-02-23 02:53:01.054023,0 days 00:00:00.547373,0.3,32,7,0.0004983319160125723,,0.23949559032917023,PRUNED
9,0.10561318695545197,2026-02-23 02:53:01.054495,2026-02-23 02:53:01.702161,0 days 00:00:00.647666,0.0,96,5,0.00014433402406338895,"{'MAE_15m': 0.09472265839576721, 'RMSE_15m': 0.11887632821872338, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.11650371551513672, 'RMSE_30m': 0.1367148535036963, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.10561318695545197, 'RMSE_avg': 0.12779559086120984, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.11731074750423431,COMPLETE
