number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.029185986146330833,2026-02-23 02:52:26.263349,2026-02-23 02:52:29.564571,0 days 00:00:03.301222,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.04214540868997574, 'RMSE_15m': 0.04764858324885809, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.01622656360268593, 'RMSE_30m': 0.019834525677569322, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.029185986146330833, 'RMSE_avg': 0.033741554463213703, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06739024072885513,0.05580779165029526,COMPLETE
1,0.11290717124938965,2026-02-23 02:52:29.565136,2026-02-23 02:52:31.984015,0 days 00:00:02.418879,0.2,64,0.0002692655251486473,32,,0.11290717124938965,,PRUNED
2,0.030952900648117065,2026-02-23 02:52:31.984530,2026-02-23 02:52:34.858483,0 days 00:00:02.873953,0.3,32,0.000117115099555241,96,"{'MAE_15m': 0.03089425340294838, 'RMSE_15m': 0.04328437592910089, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.03101154789328575, 'RMSE_30m': 0.03734722271438108, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.030952900648117065, 'RMSE_avg': 0.04031579932174099, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.03854348510503769,,COMPLETE
3,0.0461190901696682,2026-02-23 02:52:34.859217,2026-02-23 02:52:37.177018,0 days 00:00:02.317801,0.3,32,0.00044684675025045853,64,,0.0461190901696682,,PRUNED
4,0.11778149753808975,2026-02-23 02:52:37.177574,2026-02-23 02:52:39.428530,0 days 00:00:02.250956,0.3,64,0.00018752209455786411,32,,0.11778149753808975,,PRUNED
5,0.03467784449458122,2026-02-23 02:52:39.429047,2026-02-23 02:52:43.521447,0 days 00:00:04.092400,0.2,32,0.0003023795012558478,96,"{'MAE_15m': 0.019914619624614716, 'RMSE_15m': 0.02289245057068448, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.04944106936454773, 'RMSE_30m': 0.06601376460348854, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03467784449458122, 'RMSE_avg': 0.04445310758708651, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.03840715438127518,,COMPLETE
6,0.09768874943256378,2026-02-23 02:52:43.522013,2026-02-23 02:52:46.030531,0 days 00:00:02.508518,0.2,96,0.002869139536545374,96,,0.09768874943256378,,PRUNED
7,0.18587617576122284,2026-02-23 02:52:46.031095,2026-02-23 02:52:48.388998,0 days 00:00:02.357903,0.0,32,0.0001483039268456802,32,,0.18587617576122284,,PRUNED
8,0.054982464760541916,2026-02-23 02:52:48.389515,2026-02-23 02:52:50.682104,0 days 00:00:02.292589,0.3,32,0.0004983319160125723,96,,0.054982464760541916,,PRUNED
9,0.08091770857572556,2026-02-23 02:52:50.682646,2026-02-23 02:52:52.963874,0 days 00:00:02.281228,0.0,96,0.00014433402406338895,64,,0.08091770857572556,,PRUNED
