number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.023651189170777798,2026-02-23 02:51:56.719017,2026-02-23 02:51:59.522603,0 days 00:00:02.803586,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.03608458489179611, 'RMSE_15m': 0.038624160765007125, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.011217793449759483, 'RMSE_30m': 0.013206619667467721, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.023651189170777798, 'RMSE_avg': 0.025915390216237424, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.04673551395535469,COMPLETE
1,0.053322333842515945,2026-02-23 02:51:59.523144,2026-02-23 02:52:01.734738,0 days 00:00:02.211594,0.0,0.00018659959624904942,2,64,,0.053322333842515945,PRUNED
2,0.199059396982193,2026-02-23 02:52:01.735243,2026-02-23 02:52:04.859681,0 days 00:00:03.124438,0.0,0.0003476649150592621,1,64,,0.199059396982193,PRUNED
3,0.06300336867570877,2026-02-23 02:52:04.860158,2026-02-23 02:52:07.740140,0 days 00:00:02.879982,0.3,0.0001786013788939711,2,64,,0.06300336867570877,PRUNED
4,0.0555732436478138,2026-02-23 02:52:07.740652,2026-02-23 02:52:10.339368,0 days 00:00:02.598716,0.3,0.00044684675025045853,2,96,,0.0555732436478138,PRUNED
5,0.06656508147716522,2026-02-23 02:52:10.339931,2026-02-23 02:52:12.815770,0 days 00:00:02.475839,0.2,0.000586412916969653,2,64,,0.06656508147716522,PRUNED
6,0.0369836762547493,2026-02-23 02:52:12.816282,2026-02-23 02:52:15.591992,0 days 00:00:02.775710,0.0,0.002299958642814372,2,96,"{'MAE_15m': 0.026252370327711105, 'RMSE_15m': 0.031112313560839714, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.04771498218178749, 'RMSE_30m': 0.049762607543617575, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.0369836762547493, 'RMSE_avg': 0.040437460552228646, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.03847189620137215,COMPLETE
7,0.20217487215995789,2026-02-23 02:52:15.592510,2026-02-23 02:52:16.938591,0 days 00:00:01.346081,0.3,0.0003364867144187955,1,64,,0.20217487215995789,PRUNED
8,0.09658519178628922,2026-02-23 02:52:16.939100,2026-02-23 02:52:19.239255,0 days 00:00:02.300155,0.2,0.00019657448966046135,2,64,,0.09658519178628922,PRUNED
9,0.03987809084355831,2026-02-23 02:52:19.239768,2026-02-23 02:52:21.961561,0 days 00:00:02.721793,0.0,0.0001483039268456802,2,64,"{'MAE_15m': 0.02994227409362793, 'RMSE_15m': 0.03371119091064667, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.04981390759348869, 'RMSE_30m': 0.05927672110895136, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03987809084355831, 'RMSE_avg': 0.04649395600979901, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.042627088725566864,COMPLETE
