number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.10465782880783081,2026-02-23 02:53:02.316073,2026-02-23 02:53:05.596048,0 days 00:00:03.279975,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.10839611291885376, 'RMSE_15m': 0.12664696382805662, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.10091954469680786, 'RMSE_30m': 0.15535748804007862, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.10465782880783081, 'RMSE_avg': 0.14100222593406764, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.12500715255737305,,COMPLETE
1,0.14259910583496094,2026-02-23 02:53:05.596616,2026-02-23 02:53:07.233595,0 days 00:00:01.636979,0.3,96,7,0.000117115099555241,gru,96,,0.14259910583496094,,PRUNED
2,0.060467325150966644,2026-02-23 02:53:07.234072,2026-02-23 02:53:09.579051,0 days 00:00:02.344979,0.3,32,5,0.00024112898115291975,lstm,96,"{'MAE_15m': 0.0672525092959404, 'RMSE_15m': 0.09475379237861552, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.05368214100599289, 'RMSE_30m': 0.07842656583679034, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.060467325150966644, 'RMSE_avg': 0.08659017910770292, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.10401799529790878,0.08063869178295135,COMPLETE
3,0.18063446879386902,2026-02-23 02:53:09.579640,2026-02-23 02:53:11.086452,0 days 00:00:01.506812,0.2,32,7,0.0003023795012558478,gru,64,,0.18063446879386902,,PRUNED
4,0.15268027782440186,2026-02-23 02:53:11.086964,2026-02-23 02:53:12.628820,0 days 00:00:01.541856,0.3,96,7,0.0011069143219393448,lstm,64,,0.15268027782440186,,PRUNED
5,0.15599820017814636,2026-02-23 02:53:12.629385,2026-02-23 02:53:14.083975,0 days 00:00:01.454590,0.3,64,7,0.0004983319160125723,gru,32,,0.15599820017814636,,PRUNED
6,0.040945326909422874,2026-02-23 02:53:14.084510,2026-02-23 02:53:16.105756,0 days 00:00:02.021246,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 0.04651527479290962, 'RMSE_15m': 0.05671114888370572, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.03537537902593613, 'RMSE_30m': 0.040810382299098225, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.040945326909422874, 'RMSE_avg': 0.048760765591401974, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.12117645889520645,0.052681129425764084,COMPLETE
7,0.19537588953971863,2026-02-23 02:53:16.106442,2026-02-23 02:53:17.579336,0 days 00:00:01.472894,0.3,96,7,0.0006261435181296009,gru,64,,0.19537588953971863,,PRUNED
8,0.0056731735821813345,2026-02-23 02:53:17.579873,2026-02-23 02:53:19.726877,0 days 00:00:02.147004,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 0.006757513619959354, 'RMSE_15m': 0.008950724001465439, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.004588833544403315, 'RMSE_30m': 0.009327996472430914, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.0056731735821813345, 'RMSE_avg': 0.009139360236948176, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.08489508926868439,0.008596053346991539,COMPLETE
9,0.13323576748371124,2026-02-23 02:53:19.727435,2026-02-23 02:53:21.148404,0 days 00:00:01.420969,0.0,96,5,0.00025798509464504095,lstm,64,,0.13323576748371124,,PRUNED
