number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.1884111687541008,2026-02-23 02:54:26.143277,2026-02-23 02:54:28.240053,0 days 00:00:02.096776,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.08342520892620087, 'RMSE_15m': 0.10350431524428362, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.29339712858200073, 'RMSE_30m': 0.3261146380977776, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.1884111687541008, 'RMSE_avg': 0.2148094766710306, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.29815736413002014,COMPLETE
1,0.1266607902944088,2026-02-23 02:54:28.240620,2026-02-23 02:54:29.034505,0 days 00:00:00.793885,0.2,64,3,0.0002692655251486473,"{'MAE_15m': 0.14834538102149963, 'RMSE_15m': 0.21204881734466505, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.10497619956731796, 'RMSE_30m': 0.12517459418248364, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.1266607902944088, 'RMSE_avg': 0.16861170576357434, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.15780499577522278,COMPLETE
2,0.9797729253768921,2026-02-23 02:54:29.035048,2026-02-23 02:54:29.684884,0 days 00:00:00.649836,0.3,32,7,0.000117115099555241,,0.9797729253768921,PRUNED
3,0.4116789400577545,2026-02-23 02:54:29.685383,2026-02-23 02:54:30.324761,0 days 00:00:00.639378,0.3,32,5,0.00044684675025045853,,0.4116789400577545,PRUNED
4,0.16557733714580536,2026-02-23 02:54:30.325237,2026-02-23 02:54:30.949768,0 days 00:00:00.624531,0.3,64,3,0.00018752209455786411,,0.16557733714580536,PRUNED
5,0.36270180344581604,2026-02-23 02:54:30.950368,2026-02-23 02:54:31.584510,0 days 00:00:00.634142,0.2,32,7,0.0003023795012558478,,0.36270180344581604,PRUNED
6,0.2083817422389984,2026-02-23 02:54:31.584992,2026-02-23 02:54:32.198315,0 days 00:00:00.613323,0.2,96,7,0.002869139536545374,,0.2083817422389984,PRUNED
7,0.2853035032749176,2026-02-23 02:54:32.198804,2026-02-23 02:54:32.781967,0 days 00:00:00.583163,0.0,32,3,0.0001483039268456802,,0.2853035032749176,PRUNED
8,0.11755147576332092,2026-02-23 02:54:32.782574,2026-02-23 02:54:33.612811,0 days 00:00:00.830237,0.3,32,7,0.0004983319160125723,"{'MAE_15m': 0.08514299988746643, 'RMSE_15m': 0.10811423513401917, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.14995995163917542, 'RMSE_30m': 0.18452294564356211, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.11755147576332092, 'RMSE_avg': 0.14631859038879064, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.17662854492664337,COMPLETE
9,0.30676043033599854,2026-02-23 02:54:33.613473,2026-02-23 02:54:34.169007,0 days 00:00:00.555534,0.0,96,5,0.00014433402406338895,,0.30676043033599854,PRUNED
