number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.01570745510980487,2026-02-23 02:53:29.567144,2026-02-23 02:53:34.296248,0 days 00:00:04.729104,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.019158627837896347, 'RMSE_15m': 0.022019486722610154, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.01225628238171339, 'RMSE_30m': 0.0177747782919357, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.01570745510980487, 'RMSE_avg': 0.019897132507272926, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06227131932973862,COMPLETE
1,0.10869951546192169,2026-02-23 02:53:34.296774,2026-02-23 02:53:36.797204,0 days 00:00:02.500430,0.0,0.00018659959624904942,2,64,,0.10869951546192169,PRUNED
2,0.11979086697101593,2026-02-23 02:53:36.797784,2026-02-23 02:53:38.198849,0 days 00:00:01.401065,0.0,0.0003476649150592621,1,64,,0.11979086697101593,PRUNED
3,0.0384754678234458,2026-02-23 02:53:38.199340,2026-02-23 02:53:41.099755,0 days 00:00:02.900415,0.3,0.0001786013788939711,2,64,"{'MAE_15m': 0.060896120965480804, 'RMSE_15m': 0.0743476789345479, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.01605481468141079, 'RMSE_30m': 0.019663338743639812, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.0384754678234458, 'RMSE_avg': 0.04700550883909385, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.03847546875476837,COMPLETE
4,0.05779557675123215,2026-02-23 02:53:41.100292,2026-02-23 02:53:43.480640,0 days 00:00:02.380348,0.3,0.00044684675025045853,2,96,,0.05779557675123215,PRUNED
5,0.07146970182657242,2026-02-23 02:53:43.481166,2026-02-23 02:53:45.772464,0 days 00:00:02.291298,0.2,0.000586412916969653,2,64,,0.07146970182657242,PRUNED
6,0.12301719188690186,2026-02-23 02:53:45.772969,2026-02-23 02:53:48.031561,0 days 00:00:02.258592,0.0,0.002299958642814372,2,96,,0.12301719188690186,PRUNED
7,0.12930430471897125,2026-02-23 02:53:48.032099,2026-02-23 02:53:49.370309,0 days 00:00:01.338210,0.3,0.0003364867144187955,1,64,,0.12930430471897125,PRUNED
8,0.07695228606462479,2026-02-23 02:53:49.370924,2026-02-23 02:53:53.339539,0 days 00:00:03.968615,0.2,0.00019657448966046135,2,64,,0.07695228606462479,PRUNED
9,0.11914966255426407,2026-02-23 02:53:53.340134,2026-02-23 02:53:55.765038,0 days 00:00:02.424904,0.0,0.0001483039268456802,2,64,,0.11914966255426407,PRUNED
