number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.047664908692240715,2026-02-23 02:54:34.823364,2026-02-23 02:54:36.791950,0 days 00:00:01.968586,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.04622790217399597, 'RMSE_15m': 0.08158165476581773, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.04910191521048546, 'RMSE_30m': 0.06713062584955068, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.047664908692240715, 'RMSE_avg': 0.0743561403076842, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.1591300517320633,0.07503100484609604,COMPLETE
1,0.17991581559181213,2026-02-23 02:54:36.792468,2026-02-23 02:54:38.305775,0 days 00:00:01.513307,0.3,96,7,0.000117115099555241,gru,96,,0.17991581559181213,,PRUNED
2,0.22942109405994415,2026-02-23 02:54:38.306360,2026-02-23 02:54:39.809197,0 days 00:00:01.502837,0.3,32,5,0.00024112898115291975,lstm,96,,0.22942109405994415,,PRUNED
3,0.25513964891433716,2026-02-23 02:54:39.809735,2026-02-23 02:54:41.291408,0 days 00:00:01.481673,0.2,32,7,0.0003023795012558478,gru,64,,0.25513964891433716,,PRUNED
4,0.05464083515107632,2026-02-23 02:54:41.291896,2026-02-23 02:54:43.154207,0 days 00:00:01.862311,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 0.07225111126899719, 'RMSE_15m': 0.08686679990921947, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.03703055903315544, 'RMSE_30m': 0.04216714799682085, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.05464083515107632, 'RMSE_avg': 0.06451697395302017, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.14883622527122498,,COMPLETE
5,0.4150700569152832,2026-02-23 02:54:43.154766,2026-02-23 02:54:44.641197,0 days 00:00:01.486431,0.3,64,7,0.0004983319160125723,gru,32,,0.4150700569152832,,PRUNED
6,0.20684674382209778,2026-02-23 02:54:44.641759,2026-02-23 02:54:46.070980,0 days 00:00:01.429221,0.0,96,5,0.0021907142272152816,lstm,32,,0.20684674382209778,,PRUNED
7,0.16469737887382507,2026-02-23 02:54:46.071513,2026-02-23 02:54:47.499474,0 days 00:00:01.427961,0.3,96,7,0.0006261435181296009,gru,64,,0.16469737887382507,,PRUNED
8,0.007139965891838074,2026-02-23 02:54:47.500018,2026-02-23 02:54:49.728013,0 days 00:00:02.227995,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 0.006614187266677618, 'RMSE_15m': 0.008561035273385552, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0076657445169985294, 'RMSE_30m': 0.012743374625201458, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.007139965891838074, 'RMSE_avg': 0.010652204949293505, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.12770071625709534,0.015818368643522263,COMPLETE
9,0.06179705262184143,2026-02-23 02:54:49.728533,2026-02-23 02:54:52.918005,0 days 00:00:03.189472,0.0,96,5,0.00025798509464504095,lstm,64,,0.1370706558227539,0.06179705262184143,PRUNED
