number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.11137217283248901,2026-02-23 02:56:00.430400,2026-02-23 02:56:01.432941,0 days 00:00:01.002541,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.150702103972435, 'RMSE_15m': 0.18449104463803612, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.07204224169254303, 'RMSE_30m': 0.09012074892160722, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.11137217283248901, 'RMSE_avg': 0.13730589677982166, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.14182709157466888,0.14682307839393616,COMPLETE
1,0.16694165766239166,2026-02-23 02:56:01.433473,2026-02-23 02:56:02.092624,0 days 00:00:00.659151,0.2,64,3,0.0002692655251486473,,0.16694165766239166,,PRUNED
2,0.23376362025737762,2026-02-23 02:56:02.093129,2026-02-23 02:56:02.736409,0 days 00:00:00.643280,0.3,32,7,0.000117115099555241,,0.23376362025737762,,PRUNED
3,0.15123848617076874,2026-02-23 02:56:02.736970,2026-02-23 02:56:03.368935,0 days 00:00:00.631965,0.3,32,5,0.00044684675025045853,,0.15123848617076874,,PRUNED
4,0.6099462509155273,2026-02-23 02:56:03.369594,2026-02-23 02:56:03.963651,0 days 00:00:00.594057,0.3,64,3,0.00018752209455786411,,0.6099462509155273,,PRUNED
5,0.4920569360256195,2026-02-23 02:56:03.964135,2026-02-23 02:56:04.539536,0 days 00:00:00.575401,0.2,32,7,0.0003023795012558478,,0.4920569360256195,,PRUNED
6,0.22934481501579285,2026-02-23 02:56:04.540096,2026-02-23 02:56:05.112939,0 days 00:00:00.572843,0.2,96,7,0.002869139536545374,,0.22934481501579285,,PRUNED
7,0.4938187599182129,2026-02-23 02:56:05.113523,2026-02-23 02:56:05.655929,0 days 00:00:00.542406,0.0,32,3,0.0001483039268456802,,0.4938187599182129,,PRUNED
8,0.24721428751945496,2026-02-23 02:56:05.656471,2026-02-23 02:56:06.229096,0 days 00:00:00.572625,0.3,32,7,0.0004983319160125723,,0.24721428751945496,,PRUNED
9,0.1706189215183258,2026-02-23 02:56:06.229586,2026-02-23 02:56:06.784827,0 days 00:00:00.555241,0.0,96,5,0.00014433402406338895,,0.1706189215183258,,PRUNED
