number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.031964028254151344,2026-02-23 02:55:30.411643,2026-02-23 02:55:33.294111,0 days 00:00:02.882468,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.022679921239614487, 'RMSE_15m': 0.03065040483160218, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0412481352686882, 'RMSE_30m': 0.05023079334322953, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.031964028254151344, 'RMSE_avg': 0.04044059908741585, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.04086871072649956,0.034821875393390656,COMPLETE
1,0.08616642653942108,2026-02-23 02:55:33.294821,2026-02-23 02:55:35.563034,0 days 00:00:02.268213,0.2,64,0.0002692655251486473,32,,0.08616642653942108,,PRUNED
2,0.16244573891162872,2026-02-23 02:55:35.563529,2026-02-23 02:55:37.799533,0 days 00:00:02.236004,0.3,32,0.000117115099555241,96,,0.16244573891162872,,PRUNED
3,0.060806792229413986,2026-02-23 02:55:37.800027,2026-02-23 02:55:41.880088,0 days 00:00:04.080061,0.3,32,0.00044684675025045853,64,,0.060806792229413986,,PRUNED
4,0.18697302043437958,2026-02-23 02:55:41.880615,2026-02-23 02:55:44.396391,0 days 00:00:02.515776,0.3,64,0.00018752209455786411,32,,0.18697302043437958,,PRUNED
5,0.07409429550170898,2026-02-23 02:55:44.396894,2026-02-23 02:55:46.715246,0 days 00:00:02.318352,0.2,32,0.0003023795012558478,96,,0.07409429550170898,,PRUNED
6,0.06203625723719597,2026-02-23 02:55:46.715770,2026-02-23 02:55:48.974546,0 days 00:00:02.258776,0.2,96,0.002869139536545374,96,,0.06203625723719597,,PRUNED
7,0.10029105842113495,2026-02-23 02:55:48.975082,2026-02-23 02:55:51.223346,0 days 00:00:02.248264,0.0,32,0.0001483039268456802,32,,0.10029105842113495,,PRUNED
8,0.03508616518229246,2026-02-23 02:55:51.223838,2026-02-23 02:55:53.964173,0 days 00:00:02.740335,0.3,32,0.0004983319160125723,96,"{'MAE_15m': 0.01794917695224285, 'RMSE_15m': 0.02222679510564722, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.05222315341234207, 'RMSE_30m': 0.07646033491772432, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03508616518229246, 'RMSE_avg': 0.04934356501168577, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.035086166113615036,,COMPLETE
9,0.19252310693264008,2026-02-23 02:55:53.964725,2026-02-23 02:55:56.154925,0 days 00:00:02.190200,0.0,96,0.00014433402406338895,64,,0.19252310693264008,,PRUNED
