number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.011719237780198455,2026-02-23 02:55:03.477784,2026-02-23 02:55:06.512676,0 days 00:00:03.034892,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.016103530302643776, 'RMSE_15m': 0.018957223171415755, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.007334945257753134, 'RMSE_30m': 0.010381006326043503, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.011719237780198455, 'RMSE_avg': 0.014669114748729629, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.02293504774570465,0.016320379450917244,COMPLETE
1,0.10362371057271957,2026-02-23 02:55:06.513203,2026-02-23 02:55:08.821227,0 days 00:00:02.308024,0.0,0.00018659959624904942,2,64,,0.10362371057271957,,PRUNED
2,0.4187676012516022,2026-02-23 02:55:08.821704,2026-02-23 02:55:10.181205,0 days 00:00:01.359501,0.0,0.0003476649150592621,1,64,,0.4187676012516022,,PRUNED
3,0.053226254880428314,2026-02-23 02:55:10.181693,2026-02-23 02:55:12.464210,0 days 00:00:02.282517,0.3,0.0001786013788939711,2,64,,0.053226254880428314,,PRUNED
4,0.03245951980352402,2026-02-23 02:55:12.464710,2026-02-23 02:55:14.769990,0 days 00:00:02.305280,0.3,0.00044684675025045853,2,96,,0.03245951980352402,,PRUNED
5,0.03612232580780983,2026-02-23 02:55:14.770562,2026-02-23 02:55:17.046838,0 days 00:00:02.276276,0.2,0.000586412916969653,2,64,,0.03612232580780983,,PRUNED
6,0.038250088691711426,2026-02-23 02:55:17.047367,2026-02-23 02:55:21.360522,0 days 00:00:04.313155,0.0,0.002299958642814372,2,96,,0.038250088691711426,,PRUNED
7,0.18485358357429504,2026-02-23 02:55:21.361019,2026-02-23 02:55:23.074952,0 days 00:00:01.713933,0.3,0.0003364867144187955,1,64,,0.18485358357429504,,PRUNED
8,0.06115369126200676,2026-02-23 02:55:23.075424,2026-02-23 02:55:25.626205,0 days 00:00:02.550781,0.2,0.00019657448966046135,2,64,,0.06115369126200676,,PRUNED
9,0.06173276901245117,2026-02-23 02:55:25.626836,2026-02-23 02:55:27.986111,0 days 00:00:02.359275,0.0,0.0001483039268456802,2,64,,0.06173276901245117,,PRUNED
