number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.08884449861943722,2026-02-23 02:56:07.430025,2026-02-23 02:56:09.288485,0 days 00:00:01.858460,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.03394873067736626, 'RMSE_15m': 0.06655748060714906, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.14374026656150818, 'RMSE_30m': 0.16345419964347277, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.08884449861943722, 'RMSE_avg': 0.11500584012531091, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.10972917079925537,,COMPLETE
1,0.15265944600105286,2026-02-23 02:56:09.289019,2026-02-23 02:56:10.779473,0 days 00:00:01.490454,0.3,96,7,0.000117115099555241,gru,96,,0.15265944600105286,,PRUNED
2,0.08781143091619015,2026-02-23 02:56:10.779956,2026-02-23 02:56:12.685601,0 days 00:00:01.905645,0.3,32,5,0.00024112898115291975,lstm,96,"{'MAE_15m': 0.04950911924242973, 'RMSE_15m': 0.06065916216623642, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.12611374258995056, 'RMSE_30m': 0.17321456357792492, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.08781143091619015, 'RMSE_avg': 0.11693686287208067, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.09798786044120789,,COMPLETE
3,0.17080295085906982,2026-02-23 02:56:12.686201,2026-02-23 02:56:14.128425,0 days 00:00:01.442224,0.2,32,7,0.0003023795012558478,gru,64,,0.17080295085906982,,PRUNED
4,0.11787192523479462,2026-02-23 02:56:14.128936,2026-02-23 02:56:15.646120,0 days 00:00:01.517184,0.3,96,7,0.0011069143219393448,lstm,64,,0.11787192523479462,,PRUNED
5,0.15714187920093536,2026-02-23 02:56:15.646659,2026-02-23 02:56:17.094309,0 days 00:00:01.447650,0.3,64,7,0.0004983319160125723,gru,32,,0.15714187920093536,,PRUNED
6,0.03231395501643419,2026-02-23 02:56:17.094830,2026-02-23 02:56:18.984232,0 days 00:00:01.889402,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 0.029375487938523293, 'RMSE_15m': 0.050150758176724625, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.03525242209434509, 'RMSE_30m': 0.044822227313282004, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03231395501643419, 'RMSE_avg': 0.047486492745003314, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.05930289626121521,0.050496965646743774,COMPLETE
7,0.1193024292588234,2026-02-23 02:56:18.984926,2026-02-23 02:56:21.794304,0 days 00:00:02.809378,0.3,96,7,0.0006261435181296009,gru,64,,0.1193024292588234,,PRUNED
8,0.12747561931610107,2026-02-23 02:56:21.794797,2026-02-23 02:56:23.446972,0 days 00:00:01.652175,0.3,64,7,0.002470540427082325,lstm,64,,0.12747561931610107,,PRUNED
9,0.07201965898275375,2026-02-23 02:56:23.447651,2026-02-23 02:56:25.369977,0 days 00:00:01.922326,0.0,96,5,0.00025798509464504095,lstm,64,"{'MAE_15m': 0.07365560531616211, 'RMSE_15m': 0.10256422279120947, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0703837126493454, 'RMSE_30m': 0.09537238268398217, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.07201965898275375, 'RMSE_avg': 0.09896830273759583, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.08395566791296005,,COMPLETE
